iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.06911074977902257,0.9826509368494102,"[0.2864735688781366, 0.06911074977902257]","[0.9380060143418922, 0.9826509368494102]"
0,6,1.2920448029482807,0.45606306515186645,"[1.8540029225526033, 1.2920448029482807]","[0.2657279127867363, 0.45606306515186645]"
0,4,0.05552937161453344,0.9881588112375204,"[0.31450017698936994, 0.05552937161453344]","[0.9198978407244022, 0.9881588112375204]"
0,3,0.05385019297677058,0.9881146585877418,"[0.2987325129409631, 0.05385019297677058]","[0.9340480074574691, 0.9881146585877418]"
0,2,0.06872233322492856,0.9833833371797831,"[0.2912109246039215, 0.06872233322492856]","[0.9388414493422571, 0.9833833371797831]"
0,0,1.1330119844745188,0.700811123986095,"[1.6037634882856817, 1.1330119844745188]","[0.3854262144821265, 0.700811123986095]"
0,1,1.3266551626079224,0.47875742348104156,"[2.020497251082869, 1.3266551626079224]","[0.27785451197053407, 0.47875742348104156]"
0,5,0.07587710636503556,0.9795213989875747,"[0.28387608094250455, 0.07587710636503556]","[0.9385641969627243, 0.9795213989875747]"
1,0,0.8441934995353222,0.6496203662349264,"[1.2448397226193373, 0.8441934995353222]","[0.6610285714285714, 0.6496203662349264]"
1,4,0.03894553230730472,0.9932667750174136,"[0.14983407808122812, 0.03894553230730472]","[0.9688878569770142, 0.9932667750174136]"
1,6,1.152850145543063,0.6691329479768786,"[1.3628746617723395, 1.152850145543063]","[0.6888422035480859, 0.6691329479768786]"
1,7,0.049955464769428706,0.9893592412676382,"[0.13820260970661527, 0.049955464769428706]","[0.9687716863289383, 0.9893592412676382]"
1,3,0.040148346153674304,0.9918433931484503,"[0.1400252406657846, 0.040148346153674304]","[0.9720344907946865, 0.9918433931484503]"
1,5,0.05864712907521821,0.9850437183617119,"[0.14377229537486153, 0.05864712907521821]","[0.9666359871145881, 0.9850437183617119]"
1,1,1.1596827143255402,0.6675761709868122,"[1.42549581168329, 1.1596827143255402]","[0.6893408134642356, 0.6675761709868122]"
1,2,0.05226554668179768,0.9873067159012232,"[0.14240379141205373, 0.05226554668179768]","[0.9716132010154628, 0.9873067159012232]"
2,3,0.031088720548346088,0.9937077604288045,"[0.09447607157958879, 0.031088720548346088]","[0.9804241435562806, 0.9937077604288045]"
2,5,0.04700089973972782,0.9873446847676024,"[0.10427046810988994, 0.04700089973972782]","[0.9744592728946158, 0.9873446847676024]"
2,7,0.03855588589281337,0.9912098080037012,"[0.09285138658699854, 0.03855588589281337]","[0.9782558408512607, 0.9912098080037012]"
2,2,0.040446546990150475,0.9909993076390492,"[0.09902581452008556, 0.040446546990150475]","[0.9785368105238864, 0.9909993076390492]"
2,1,1.2547939226907843,0.6766169154228856,"[1.636123076081276, 1.2547939226907843]","[0.673706196333256, 0.6766169154228856]"
2,4,0.02923970578790263,0.9955885767355468,"[0.09916824049971722, 0.02923970578790263]","[0.977942883677734, 0.9955885767355468]"
2,6,1.1918527210200274,0.6900226757369614,"[1.532871746133875, 1.1918527210200274]","[0.6828767123287671, 0.6900226757369614]"
2,0,0.9219880145700539,0.6600185528756958,"[1.4150054454803467, 0.9219880145700539]","[0.6563386944181646, 0.6600185528756958]"
3,2,0.03192281613112701,0.9923840295407339,"[0.07724426295745242, 0.03192281613112701]","[0.9833833371797831, 0.9923840295407339]"
3,0,0.7564956797834705,0.6939493433395872,"[1.341737158377381, 0.7564956797834705]","[0.6594186312657359, 0.6939493433395872]"
3,3,0.024632689984584295,0.9955721277091587,"[0.07090733991590915, 0.024632689984584295]","[0.9829876485667677, 0.9955721277091587]"
3,4,0.022691438967982928,0.9962851172509868,"[0.07415299770870694, 0.022691438967982928]","[0.984443928488507, 0.9962851172509868]"
3,7,0.03018961805569501,0.9928290538977562,"[0.07060238079729435, 0.03018961805569501]","[0.9831135785334258, 0.9928290538977562]"
3,1,1.1734218774911236,0.6801781737193764,"[1.6172819488188799, 1.1734218774911236]","[0.6776690188936945, 0.6801781737193764]"
