test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
3.3028721321105956,0.2385,0.15126543174550341,0.12083074195246188,0.2385,0.803,0.526,0.144,0.305,0.607,0.0,0.0,0.0,0.0,0.0,orchestrator,0
3.408722713088989,0.2881,0.18754663309222158,0.14239985402824706,0.28809999999999997,0.797,0.784,0.305,0.418,0.577,0.0,0.0,0.0,0.0,0.0,orchestrator,1
3.510643687438965,0.3056,0.20079803201491747,0.15329453800355602,0.3056,0.788,0.825,0.341,0.465,0.637,0.0,0.0,0.0,0.0,0.0,orchestrator,2
3.5059558221817015,0.3193,0.21067717852845566,0.16210245478045746,0.31930000000000003,0.793,0.854,0.358,0.501,0.687,0.0,0.0,0.0,0.0,0.0,orchestrator,3
3.5158126613616942,0.328,0.21634188983022393,0.1666715433125828,0.32799999999999996,0.795,0.879,0.362,0.551,0.693,0.0,0.0,0.0,0.0,0.0,orchestrator,4
3.4832676071166992,0.3336,0.22163231870424016,0.16954981531160276,0.3336,0.794,0.861,0.41,0.564,0.707,0.0,0.0,0.0,0.0,0.0,orchestrator,5
3.4630860358238222,0.3361,0.22404359115472613,0.2733395876716,0.33609999999999995,0.763,0.878,0.386,0.583,0.749,0.0,0.0,0.002,0.0,0.0,orchestrator,6
3.490818429374695,0.3381,0.2256883709788879,0.3717950408355852,0.33809999999999996,0.786,0.875,0.436,0.554,0.724,0.0,0.001,0.005,0.0,0.0,orchestrator,7
3.432946750354767,0.3428,0.2316512523751296,0.4402912986022368,0.3428,0.763,0.886,0.427,0.577,0.753,0.0,0.005,0.016,0.001,0.0,orchestrator,8
3.462576050853729,0.3467,0.23526985262835529,0.45996333413402263,0.3467,0.815,0.866,0.447,0.575,0.731,0.0,0.009,0.019,0.005,0.0,orchestrator,9
