iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,4,1.8552869312245468,0.2057951926243003,"[2.157352889830561, 1.9239714695365435, 1.8552869312245468]","[0.1376193724420191, 0.19105219552609776, 0.2057951926243003]"
0,1,1.2907652084693193,0.4894366197183099,"[1.7053587177803304, 1.4510144071988063, 1.2907652084693193]","[0.28487592219986585, 0.40945674044265595, 0.4894366197183099]"
0,0,1.8522535693549598,0.22395656599932134,"[2.1507826468260616, 1.905319113514059, 1.8522535693549598]","[0.14794197031039136, 0.20953177257525082, 0.22395656599932134]"
0,3,1.2415056228637695,0.49580818242790076,"[1.6298363521974784, 1.368128183060613, 1.2415056228637695]","[0.31572769953051644, 0.43729040912139505, 0.49580818242790076]"
0,2,1.2738078505040493,0.5067069081153588,"[1.6955589334063492, 1.4188546405720648, 1.2738078505040493]","[0.29560697518443996, 0.44818913480885314, 0.5067069081153588]"
1,0,1.4908571444631582,0.4196117471378795,"[1.847702611227777, 1.5773075916492267, 1.4908571444631582]","[0.42925938226502824, 0.43555480378890393, 0.4196117471378795]"
1,1,1.1500046735794232,0.5521462105969148,"[1.4390801477368331, 1.2670527902748885, 1.1500046735794232]","[0.4227028839704896, 0.4968142186452046, 0.5521462105969148]"
1,2,1.13802428515603,0.5647216633132126,"[1.429419335826792, 1.2387577988826557, 1.13802428515603]","[0.443326626425218, 0.5288397048960429, 0.5647216633132126]"
1,4,1.4858437508104954,0.44098032677559185,"[1.8546635280026187, 1.5912100575245098, 1.4858437508104954]","[0.44273089585860337, 0.44676234979973295, 0.44098032677559185]"
1,3,1.1469309162198698,0.5437625754527163,"[1.4021988095610776, 1.2451457397228272, 1.1469309162198698]","[0.4216968477531858, 0.4953051643192488, 0.5437625754527163]"
2,4,1.4150073798348373,0.5071912712845098,"[1.8070483234868293, 1.5461161082295887, 1.4150073798348373]","[0.49556633762757235, 0.5159075686537173, 0.5071912712845098]"
2,3,1.036637040629144,0.5933936955063716,"[1.2453670643929182, 1.1316133061618652, 1.036637040629144]","[0.4983232729711603, 0.5514755197853789, 0.5933936955063716]"
2,0,1.3146874473977026,0.5057219791316055,"[1.7577642296658125, 1.5186227296376675, 1.3146874473977026]","[0.49318666885568874, 0.48031496062992124, 0.5057219791316055]"
2,1,1.081086523731017,0.5838363514419852,"[1.2946096866444032, 1.174907412509816, 1.081086523731017]","[0.49413145539906106, 0.5353789403085177, 0.5838363514419852]"
2,2,1.044418577694062,0.607981220657277,"[1.2751487156341288, 1.141042366903525, 1.044418577694062]","[0.5010060362173038, 0.5658953722334004, 0.607981220657277]"
3,4,1.4877759695212898,0.5315,"[1.92060969901788, 1.6434971669404181, 1.4877759695212898]","[0.5205140879881365, 0.5464627793648127, 0.5315]"
3,0,1.3692709130831762,0.5237856785177767,"[1.7963566527609531, 1.548266286424913, 1.3692709130831762]","[0.5183299389002036, 0.5218274111675127, 0.5237856785177767]"
3,3,0.957631502010867,0.6336351441985245,"[1.1531398778946087, 1.0397945744742019, 0.957631502010867]","[0.5469483568075117, 0.5972501676727029, 0.6336351441985245]"
3,1,0.9807926863831425,0.6250838363514419,"[1.190079676242041, 1.076852701784139, 0.9807926863831425]","[0.540241448692153, 0.5809859154929577, 0.6250838363514419]"
3,2,0.9638012014029812,0.6378269617706237,"[1.166680544534893, 1.053429274552629, 0.9638012014029812]","[0.5513078470824949, 0.6006036217303823, 0.6378269617706237]"
4,2,0.8792725050017917,0.6765593561368209,"[1.0856084191607407, 0.9785052199146383, 0.8792725050017917]","[0.5878604963112005, 0.6331321260898726, 0.6765593561368209]"
4,1,0.9185592450660931,0.6500670690811536,"[1.1083258604555923, 1.0103597281445766, 0.9185592450660931]","[0.5747820254862508, 0.6160295103957075, 0.6500670690811536]"
4,0,1.4150995302935387,0.5385517934964801,"[1.8419292297503904, 1.6061648472384538, 1.4150995302935387]","[0.5427897574123989, 0.5374581939799331, 0.5385517934964801]"
4,3,0.8770745156118122,0.6636485580147552,"[1.0769293116500487, 0.966166350860698, 0.8770745156118122]","[0.5829979879275654, 0.6282696177062375, 0.6636485580147552]"
4,4,1.5811669635548988,0.5525963149078726,"[1.9114173465375925, 1.6891482906271242, 1.5811669635548988]","[0.5502978723404255, 0.5672092632992113, 0.5525963149078726]"
5,4,1.5137417304851415,0.5756869275603663,"[1.8659441096373601, 1.716289351277313, 1.5137417304851415]","[0.5759019741320627, 0.5569852941176471, 0.5756869275603663]"
5,2,0.8083931728598259,0.7040576794097921,"[1.0202463216500373, 0.8946541133099523, 0.8083931728598259]","[0.6155264922870557, 0.6676727028839705, 0.7040576794097921]"
5,1,0.8454164991270121,0.6784037558685446,"[1.0358454195967308, 0.9341509049763309, 0.8454164991270121]","[0.6012743125419182, 0.642018779342723, 0.6784037558685446]"
5,3,0.8082861057395271,0.7008718980549966,"[1.0100511864586745, 0.8980011089877213, 0.8082861057395271]","[0.6130114017437961, 0.6589537223340041, 0.7008718980549966]"
5,0,1.4355606223598882,0.5556685307574988,"[1.7905595265029264, 1.5899439279898882, 1.4355606223598882]","[0.5685423276006011, 0.5609919571045576, 0.5556685307574988]"
6,2,0.7436124719179987,0.7360831656606305,"[0.9691990581178793, 0.8430541708625993, 0.7436124719179987]","[0.6379946344735077, 0.6881287726358148, 0.7360831656606305]"
6,0,1.4398897165587377,0.5729818780889621,"[1.8697427235563702, 1.6473791047171678, 1.4398897165587377]","[0.5642917015926237, 0.5643732970027248, 0.5729818780889621]"
6,3,0.7406835213263616,0.7307176391683434,"[0.9582054485584391, 0.8448082475496042, 0.7406835213263616]","[0.6329644533869886, 0.6797451374916164, 0.7307176391683434]"
6,4,1.5401069228674706,0.5769558547809783,"[1.8665118309352098, 1.656442653437722, 1.5401069228674706]","[0.5904669260700389, 0.5857676630434783, 0.5769558547809783]"
6,1,0.7672203424069581,0.710261569416499,"[0.9854495652399498, 0.8687205893104901, 0.7672203424069581]","[0.6234071093226022, 0.6725352112676056, 0.710261569416499]"
7,0,1.4422952822801574,0.56934064108952,"[1.8460238365801027, 1.6456961009761284, 1.4422952822801574]","[0.5769230769230769, 0.5719532554257095, 0.56934064108952]"
7,3,0.677813976563653,0.7479879275653923,"[0.9028012670237002, 0.7742543483387689, 0.677813976563653]","[0.6525821596244131, 0.7114352783366867, 0.7479879275653923]"
7,1,0.7062922063765513,0.7370892018779343,"[0.9487017180580876, 0.8111728453764008, 0.7062922063765513]","[0.641851106639839, 0.693326626425218, 0.7370892018779343]"
7,2,0.6802349320685256,0.7582159624413145,"[0.9152156900784285, 0.7825155928131722, 0.6802349320685256]","[0.6607981220657277, 0.7126089872568746, 0.7582159624413145]"
7,4,1.570389081262072,0.5879330349743079,"[1.802264618330283, 1.7203654760330036, 1.570389081262072]","[0.6005398110661269, 0.5806292208861802, 0.5879330349743079]"
8,3,0.642763330134246,0.7619047619047619,"[0.8368836441564177, 0.7330603115759969, 0.642763330134246]","[0.6839369550637157, 0.7171361502347418, 0.7619047619047619]"
8,4,1.6190383268505255,0.6054237288135593,"[1.917746559144984, 1.7563472893738235, 1.6190383268505255]","[0.5987571380584481, 0.5971760797342193, 0.6054237288135593]"
8,2,0.6471511017301447,0.7625754527162978,"[0.8526335185638382, 0.7183130240871823, 0.6471511017301447]","[0.682260228034876, 0.7427900737759893, 0.7625754527162978]"
8,1,0.6522270660777514,0.7665995975855131,"[0.8759699676375606, 0.751460898857334, 0.6522270660777514]","[0.6681757209926223, 0.7255197853789404, 0.7665995975855131]"
8,0,1.506741412683083,0.581151832460733,"[1.8934618181102079, 1.673549156885684, 1.506741412683083]","[0.5776173285198556, 0.582102081934184, 0.581151832460733]"
9,3,0.5829482478446679,0.7847082494969819,"[0.7971118832401551, 0.6728691071191998, 0.5829482478446679]","[0.7017102615694165, 0.7478202548625084, 0.7847082494969819]"
9,2,0.583221326944176,0.7940979208584842,"[0.8145385678587905, 0.6645395721611005, 0.583221326944176]","[0.7008718980549966, 0.7644198524480215, 0.7940979208584842]"
9,4,1.590108774382691,0.6076394705980901,"[1.8282709247944502, 1.686176225942517, 1.590108774382691]","[0.6136780650542119, 0.6087915818058385, 0.6076394705980901]"
9,0,1.5184791264281516,0.6027144772117963,"[1.8564643962932976, 1.6821095694965076, 1.5184791264281516]","[0.5945223780895124, 0.6046000338237781, 0.6027144772117963]"
9,1,0.5876219384871603,0.7848759221998659,"[0.8443846958252444, 0.6932469914010638, 0.5876219384871603]","[0.6809188464118041, 0.7360831656606305, 0.7848759221998659]"
10,1,0.5520897198058965,0.7951039570757881,"[0.7718339297950427, 0.6223427144755627, 0.5520897198058965]","[0.7119382964453387, 0.7753185781354796, 0.7951039570757881]"
