test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
3.856782899284363,0.2683,0.1739122342669805,0.13196277386917418,0.26830000000000004,0.783,0.73,0.254,0.494,0.422,0.0,0.0,0.0,0.0,0.0,orchestrator,0
3.8886612714767455,0.305,0.20039165167094844,0.15246714855034824,0.30500000000000005,0.773,0.833,0.345,0.459,0.64,0.0,0.0,0.0,0.0,0.0,orchestrator,1
3.748555115890503,0.3247,0.21471467810657519,0.16175094581404265,0.3247,0.766,0.874,0.448,0.521,0.638,0.0,0.0,0.0,0.0,0.0,orchestrator,2
3.7189175939559935,0.3309,0.22069900384138347,0.16700499719838735,0.3309,0.77,0.864,0.463,0.542,0.67,0.0,0.0,0.0,0.0,0.0,orchestrator,3
3.6258165691375734,0.339,0.22587267802573718,0.1711953515489363,0.33899999999999997,0.766,0.888,0.471,0.567,0.698,0.0,0.0,0.0,0.0,0.0,orchestrator,4
3.6206415925979614,0.3442,0.22874338136935735,0.17327198625445125,0.3442,0.795,0.893,0.491,0.61,0.653,0.0,0.0,0.0,0.0,0.0,orchestrator,5
3.595685243034363,0.3458,0.22977395517207425,0.1737807032888043,0.3458,0.795,0.892,0.499,0.583,0.689,0.0,0.0,0.0,0.0,0.0,orchestrator,6
3.5686422109603884,0.3502,0.2336347292786532,0.17566145744320116,0.3502,0.777,0.887,0.609,0.604,0.625,0.0,0.0,0.0,0.0,0.0,orchestrator,7
3.5868983973503115,0.3478,0.2333188385985281,0.22800318497926425,0.3478,0.771,0.885,0.5,0.585,0.736,0.0,0.0,0.001,0.0,0.0,orchestrator,8
3.631578347492218,0.352,0.23692657807743744,0.34598664560595493,0.352,0.767,0.867,0.554,0.617,0.712,0.0,0.001,0.002,0.0,0.0,orchestrator,9
3.599986577987671,0.3514,0.2360713033740518,0.36048022318114875,0.35140000000000005,0.78,0.876,0.556,0.623,0.672,0.0,0.002,0.005,0.0,0.0,orchestrator,10
3.5652327043533325,0.3565,0.24074624493043953,0.4156861280373757,0.35650000000000004,0.798,0.893,0.538,0.655,0.666,0.0,0.003,0.009,0.0,0.003,orchestrator,11
3.6621812896728514,0.3565,0.2410200118652773,0.4214675596131364,0.35650000000000004,0.791,0.902,0.58,0.617,0.652,0.0,0.006,0.014,0.0,0.003,orchestrator,12
3.6561933115959167,0.359,0.24627870529234702,0.5317023455196769,0.359,0.764,0.884,0.557,0.638,0.713,0.0,0.01,0.011,0.007,0.006,orchestrator,13
3.792027920150757,0.3585,0.24654339535797537,0.5819861229749003,0.35850000000000004,0.77,0.906,0.532,0.636,0.699,0.001,0.012,0.013,0.013,0.003,orchestrator,14
3.6782324488639833,0.3605,0.25205824470915095,0.502764058906181,0.3605,0.803,0.89,0.559,0.591,0.684,0.0,0.03,0.018,0.018,0.012,orchestrator,15
3.7853725946426393,0.3641,0.2575063862853138,0.508258787389375,0.36410000000000003,0.772,0.896,0.589,0.628,0.662,0.0,0.025,0.027,0.027,0.015,orchestrator,16
3.8507926179885863,0.3643,0.25794635182615705,0.5122543592583894,0.3643,0.797,0.864,0.552,0.617,0.726,0.0,0.024,0.013,0.035,0.015,orchestrator,17
3.7299121078491213,0.3706,0.2714489758905931,0.5036617015475152,0.37059999999999993,0.769,0.901,0.583,0.655,0.636,0.0,0.037,0.038,0.069,0.018,orchestrator,18
3.9170914638519285,0.362,0.2635442574058851,0.5400249610605321,0.362,0.751,0.864,0.446,0.731,0.708,0.001,0.017,0.042,0.045,0.015,orchestrator,19
3.8956004461288454,0.3686,0.2703617928424825,0.572859534656059,0.36860000000000004,0.768,0.895,0.517,0.64,0.702,0.004,0.031,0.051,0.051,0.027,orchestrator,20
4.118336849212646,0.3667,0.26587892278829367,0.589388674727354,0.36669999999999997,0.772,0.887,0.563,0.583,0.721,0.003,0.031,0.035,0.051,0.021,orchestrator,21
3.996062506008148,0.3716,0.27309726029808173,0.586085559237759,0.37160000000000004,0.816,0.896,0.537,0.612,0.675,0.009,0.047,0.054,0.047,0.023,orchestrator,22
