test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.79765824997387,0.1694,0.0604712981404429,0.03812147020627586,0.1694,0.0,0.987,0.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orchestrator,0
3.183651905852004,0.1937,0.09188563669301227,0.06836878073153577,0.19369999999999998,0.0,0.941,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orchestrator,1
3.881390331652218,0.1901,0.09957868719523658,0.08180488043778879,0.1901,0.0,0.901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orchestrator,2
3.535469345391368,0.189,0.10644873091928445,0.0949923284025252,0.189,0.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orchestrator,3
2.958845787535841,0.1961,0.09176337654834928,0.06727575091705111,0.1961,0.0,0.965,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orchestrator,4
2.953897080101525,0.1969,0.08891868978875396,0.06339635939962884,0.1969,0.0,0.974,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orchestrator,5
3.111530510381388,0.1975,0.08879386969214262,0.06305730996673206,0.1975,0.0,0.98,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orchestrator,6
2.991691527656092,0.1984,0.09208850294378783,0.32346731692244035,0.1984,0.0,0.979,0.996,0.0,0.0,0.001,0.0,0.002,0.004,0.002,orchestrator,7
2.3499884932947617,0.2917,0.16328111971200238,0.2503693691223744,0.29169999999999996,0.168,0.995,0.971,0.0,0.0,0.0,0.0,0.779,0.004,0.0,orchestrator,8
2.440281410948537,0.2676,0.1545726465240315,0.32508075225770644,0.2676,0.015,0.986,0.991,0.0,0.0,0.027,0.0,0.653,0.004,0.0,orchestrator,9
2.2934327696839842,0.291,0.15899795422963955,0.4108164214748885,0.29100000000000004,0.048,0.989,0.992,0.0,0.0,0.011,0.0,0.862,0.007,0.001,orchestrator,10
2.286144373135064,0.2852,0.17151578491020042,0.36692102701273355,0.2852,0.091,0.987,0.994,0.0,0.0,0.026,0.0,0.731,0.012,0.011,orchestrator,11
2.641151162762992,0.2365,0.15604262298611205,0.2771199838983167,0.23650000000000002,0.003,0.983,0.995,0.0,0.0,0.128,0.0,0.157,0.008,0.091,orchestrator,12
2.302593829913642,0.3054,0.20548514429002193,0.34933286463285473,0.3054,0.075,0.992,0.99,0.0,0.0,0.371,0.0,0.556,0.013,0.057,orchestrator,13
2.349012870377245,0.3054,0.16718386229814744,0.2587185141939944,0.3054,0.078,0.988,0.994,0.0,0.0,0.005,0.0,0.984,0.005,0.0,orchestrator,14
2.151032015538444,0.317,0.17855762930518027,0.35535107727328635,0.317,0.173,0.991,0.989,0.0,0.0,0.005,0.0,0.993,0.011,0.008,orchestrator,15
