iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.36674093830364723,0.9513160959701841,"[1.185517461211593, 0.36674093830364723]","[0.7957139529466574, 0.9513160959701841]"
0,6,0.6522515522109138,0.8653622175634754,"[1.4191102376690616, 0.6522515522109138]","[0.6526904262753319, 0.8653622175634754]"
0,4,0.9278381683208324,0.6363848124854414,"[1.4791400101449754, 0.9278381683208324]","[0.5278360121127417, 0.6363848124854414]"
0,3,0.34747505524644146,0.9487537852317727,"[1.1671693751105556, 0.34747505524644146]","[0.802003261122758, 0.9487537852317727]"
0,2,0.7287612349898727,0.7854647099930119,"[1.3961799674563937, 0.7287612349898727]","[0.6154204518984393, 0.7854647099930119]"
0,0,0.8672850789847197,0.6855345911949685,"[1.3321540801613418, 0.8672850789847197]","[0.6088982063824832, 0.6855345911949685]"
0,1,0.7515070456045645,0.8837642674120662,"[1.4575992977177654, 0.7515070456045645]","[0.676450034940601, 0.8837642674120662]"
0,5,0.29720855879562874,0.9590030281854182,"[1.048079056651504, 0.29720855879562874]","[0.8078266946191475, 0.9590030281854182]"
1,0,0.504333367060732,0.8632657815047752,"[0.8736313109044676, 0.504333367060732]","[0.7379454926624738, 0.8632657815047752]"
1,4,0.6574890699651507,0.7414395527603075,"[0.9911049193806118, 0.6574890699651507]","[0.6363848124854414, 0.7414395527603075]"
1,6,0.3114970978211474,0.9482879105520615,"[0.7484474108174995, 0.3114970978211474]","[0.8413696715583509, 0.9482879105520615]"
1,7,0.15531805875124755,0.980666200791987,"[0.4547284690318284, 0.15531805875124755]","[0.939203354297694, 0.980666200791987]"
1,3,0.17166257721406442,0.9757745166550198,"[0.4592854749825266, 0.17166257721406442]","[0.934777544840438, 0.9757745166550198]"
1,5,0.15127842280047912,0.9822967621709761,"[0.40877736232898854, 0.15127842280047912]","[0.9450267877940834, 0.9822967621709761]"
1,1,0.3508320790750009,0.9329140461215933,"[0.7751790324846903, 0.3508320790750009]","[0.8082925692988586, 0.9329140461215933]"
1,2,0.48336037463612025,0.8367109247612392,"[0.8333099859732168, 0.48336037463612025]","[0.7274633123689728, 0.8367109247612392]"
2,3,0.13084737804752808,0.9813650128115536,"[0.2950935952089451, 0.13084737804752808]","[0.9652923363615188, 0.9813650128115536]"
2,5,0.11379534359331485,0.9860237596086653,"[0.2744495700354929, 0.11379534359331485]","[0.9610994642441183, 0.9860237596086653]"
2,7,0.11503417525026534,0.9864896342883764,"[0.2866879760115235, 0.11503417525026534]","[0.9652923363615188, 0.9864896342883764]"
2,2,0.3954602199572104,0.8723503377591428,"[0.6905428387500622, 0.3954602199572104]","[0.7745166550197997, 0.8723503377591428]"
2,1,0.2873788212736448,0.9412997903563941,"[0.5790579289197921, 0.2873788212736448]","[0.8504542278127184, 0.9412997903563941]"
2,4,0.5582775784863366,0.8045655718611694,"[0.8866447907906991, 0.5582775784863366]","[0.6818075937572793, 0.8045655718611694]"
2,6,0.23185210263839476,0.9590030281854182,"[0.5482165429879118, 0.23185210263839476]","[0.8839972047519218, 0.9590030281854182]"
2,0,0.3625514526058126,0.9068250640577684,"[0.7076773084976055, 0.3625514526058126]","[0.7950151409270906, 0.9068250640577684]"
3,2,0.3682512268975929,0.8819007686932215,"[0.610366925045296, 0.3682512268975929]","[0.7978103890053576, 0.8819007686932215]"
3,0,0.28162542675380353,0.9338457954810157,"[0.5819417523013221, 0.28162542675380353]","[0.8399720475192173, 0.9338457954810157]"
