iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.2107741447056041,0.972704140643072,"[0.6283970158547163, 0.2107741447056041]","[0.9440203562340967, 0.972704140643072]"
0,6,0.27304645429054897,0.962877030162413,"[0.7708345016947499, 0.27304645429054897]","[0.9169373549883991, 0.962877030162413]"
0,4,0.21791927102539274,0.9793359647086138,"[0.7561683358969512, 0.21791927102539274]","[0.9243092639888554, 0.9793359647086138]"
0,3,0.23211831947167713,0.9708692612444652,"[0.7454284584080731, 0.23211831947167713]","[0.9186669773945467, 0.9708692612444652]"
0,2,0.20588422774830284,0.9769213016385876,"[0.7219833628657986, 0.20588422774830284]","[0.9344564966535888, 0.9769213016385876]"
0,0,0.20096320111085386,0.9773828756058158,"[0.6402267546338194, 0.20096320111085386]","[0.9457650588506809, 0.9773828756058158]"
0,1,0.24389892433057814,0.9624250806823421,"[0.7729918700368965, 0.24389892433057814]","[0.9077916090364223, 0.9624250806823421]"
0,5,0.22515783738344908,0.96617579383341,"[0.637275312862852, 0.22515783738344908]","[0.9353428439944776, 0.96617579383341]"
1,0,0.13653712065013893,0.9806138933764136,"[0.33149394305313334, 0.13653712065013893]","[0.9494576505885068, 0.9806138933764136]"
1,4,0.15676321199646703,0.9828186672858138,"[0.4158795392623654, 0.15676321199646703]","[0.9349895518922684, 0.9828186672858138]"
1,6,0.1945989226301511,0.9689095127610209,"[0.4305946618318558, 0.1945989226301511]","[0.9122969837587007, 0.9689095127610209]"
1,7,0.1414042956140988,0.9821882951653944,"[0.3264126912964618, 0.1414042956140988]","[0.9514226231783484, 0.9821882951653944]"
1,3,0.15958876309019548,0.978326730365882,"[0.3844989299222275, 0.15958876309019548]","[0.9384758797483104, 0.978326730365882]"
1,5,0.16446760833701668,0.9721583064887253,"[0.33943969049655337, 0.16446760833701668]","[0.9406350667280258, 0.9721583064887253]"
1,1,0.1749737167676144,0.970954356846473,"[0.4014076601494761, 0.1749737167676144]","[0.9209313047487321, 0.970954356846473]"
1,2,0.14637710986768498,0.98153704131087,"[0.37517192346208234, 0.14637710986768498]","[0.9356104315716594, 0.98153704131087]"
2,3,0.12982608008163946,0.9822885108366348,"[0.2962163963251644, 0.12982608008163946]","[0.9526916802610114, 0.9822885108366348]"
2,5,0.13810372081420877,0.9746893695352048,"[0.28468512535533486, 0.13810372081420877]","[0.9456971928209849, 0.9746893695352048]"
2,7,0.11298765025704223,0.9861207494795281,"[0.25399766210466623, 0.11298765025704223]","[0.9597501734906315, 0.9861207494795281]"
2,2,0.11947308543740827,0.9847680590814678,"[0.28246711484868736, 0.11947308543740827]","[0.9531502423263328, 0.9847680590814678]"
2,1,0.14848696796552224,0.975334255417243,"[0.3171644573483397, 0.14848696796552224]","[0.9356846473029046, 0.975334255417243]"
2,4,0.12609446004584984,0.985837009519387,"[0.30895429579196154, 0.12609446004584984]","[0.9521708846064546, 0.985837009519387]"
2,6,0.16145851780418996,0.9749419953596288,"[0.34312139120366836, 0.16145851780418996]","[0.9248259860788863, 0.9749419953596288]"
2,0,0.11070588198216523,0.9845372720978537,"[0.2539499303435578, 0.11070588198216523]","[0.9598430648511423, 0.9845372720978537]"
3,2,0.10390885779634118,0.9859219939995384,"[0.2369122809237417, 0.10390885779634118]","[0.9644588045234249, 0.9859219939995384]"
3,0,0.09737113337306415,0.9861527809831525,"[0.2170667097739437, 0.09737113337306415]","[0.9672282483267943, 0.9861527809831525]"
3,3,0.11276624909153692,0.9836867862969005,"[0.25193865464793314, 0.11276624909153692]","[0.9624796084828712, 0.9836867862969005]"
3,4,0.10887250894749606,0.987230090550267,"[0.2623863346046872, 0.10887250894749606]","[0.9605293707917344, 0.987230090550267]"
3,7,0.09806308974785839,0.987971316215591,"[0.21968420058050575, 0.09806308974785839]","[0.9676150821188989, 0.987971316215591]"
3,1,0.1318615693051149,0.9781005071461503,"[0.2736304333050023, 0.1318615693051149]","[0.946288612263716, 0.9781005071461503]"
3,5,0.12351913722779821,0.9772204325816843,"[0.25138253811746836, 0.12351913722779821]","[0.9521398987574782, 0.9772204325816843]"
3,6,0.14262099715846557,0.9774941995359628,"[0.3001305556407681, 0.14262099715846557]","[0.9361948955916474, 0.9774941995359628]"
4,3,0.10072360270553166,0.9853181076672104,"[0.22480184129542774, 0.10072360270553166]","[0.967373572593801, 0.9853181076672104]"
4,6,0.12912534536034972,0.9798143851508121,"[0.2688040119078424, 0.12912534536034972]","[0.9459396751740139, 0.9798143851508121]"
4,0,0.08808132058338207,0.9870759289176091,"[0.19632480014115572, 0.08808132058338207]","[0.972074774982691, 0.9870759289176091]"
4,5,0.11405862671980525,0.9795213989875747,"[0.23133095696239786, 0.11405862671980525]","[0.9553612517257248, 0.9795213989875747]"
4,4,0.09803468445660891,0.989319712096587,"[0.22758068050499317, 0.09803468445660891]","[0.9686556768052008, 0.989319712096587]"
4,1,0.12016599525368828,0.979022591055786,"[0.24567393698346088, 0.12016599525368828]","[0.9541263254956202, 0.979022591055786]"
4,2,0.09356208797544241,0.9870759289176091,"[0.20735530746991143, 0.09356208797544241]","[0.9686129702284791, 0.9870759289176091]"
4,7,0.08783389860764146,0.989821882951654,"[0.19501843297963634, 0.08783389860764146]","[0.972472819801064, 0.989821882951654]"
5,2,0.08610929995227386,0.9873067159012232,"[0.18731985723271088, 0.08610929995227386]","[0.9734594968843757, 0.9873067159012232]"
