iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,4,0.9864357843364602,0.6027220537960395,"[1.073121142092135, 1.011880616470018, 0.9864357843364602]","[0.581177836547765, 0.5953686383280655, 0.6027220537960395]"
0,1,0.8477705064153621,0.7095576042979372,"[1.0073719623548987, 0.9192426619638441, 0.8477705064153621]","[0.6715526961597135, 0.6825628440671221, 0.7095576042979372]"
0,0,0.8463367571067006,0.7053977459961774,"[1.056348356764736, 0.9512740464682825, 0.8463367571067006]","[0.6336255190140381, 0.657154155407632, 0.7053977459961774]"
0,3,0.980866897982533,0.5852952285030845,"[1.0646054874974316, 1.0036029693223198, 0.980866897982533]","[0.5638297872340425, 0.577993201561123, 0.5852952285030845]"
0,2,0.8665220422504544,0.7135577309910152,"[0.9591279472888219, 0.9006142328150913, 0.8665220422504544]","[0.707791336998793, 0.7108086361807697, 0.7135577309910152]"
1,0,0.7716372973423989,0.7312990179924866,"[0.9249299347903128, 0.8102232520208469, 0.7716372973423989]","[0.6810123245238252, 0.7189744941672708, 0.7312990179924866]"
1,1,0.7685264283564033,0.7363533859521125,"[0.901462079105802, 0.8064748396423437, 0.7685264283564033]","[0.6976188896995423, 0.7261391523512635, 0.7363533859521125]"
1,2,0.8000921968606252,0.7354163872871128,"[0.8809600941685107, 0.8282453794379709, 0.8000921968606252]","[0.7167091323588575, 0.7269008984846453, 0.7354163872871128]"
1,4,0.9258129450927947,0.6240727601109463,"[1.028804810054531, 0.9581370022766853, 0.9258129450927947]","[0.5871121718377088, 0.6034315938850545, 0.6240727601109463]"
1,3,0.9125620884237453,0.6189726803474758,"[1.0229781046134587, 0.9515998214633323, 0.9125620884237453]","[0.5694322044567544, 0.5942968651642956, 0.6189726803474758]"
2,4,0.8740715167040181,0.6509707798490615,"[0.9741686870131576, 0.9075166183544017, 0.8740715167040181]","[0.6089789073082629, 0.6297490808230665, 0.6509707798490615]"
2,3,0.8599178691705068,0.6552939695329221,"[0.9712622220902765, 0.8987634299925087, 0.8599178691705068]","[0.5957446808510638, 0.6279743170086869, 0.6552939695329221]"
2,0,0.7414912575477042,0.7401304949581493,"[0.8305079365429813, 0.7667023070996629, 0.7414912575477042]","[0.7150860080405984, 0.7338034666842418, 0.7401304949581493]"
2,1,0.7334177954673514,0.7465012933607481,"[0.8203969130397222, 0.7605826635691925, 0.7334177954673514]","[0.7260728261590502, 0.7386748026795782, 0.7465012933607481]"
2,2,0.758074614443963,0.7459434088775647,"[0.8174421109283085, 0.7768254684481973, 0.758074614443963]","[0.7382995842832238, 0.7427249564167896, 0.7459434088775647]"
3,4,0.8389761572159726,0.6698703476746436,"[0.9387964645960013, 0.8707840327323406, 0.8389761572159726]","[0.630845642778817, 0.6545829839385925, 0.6698703476746436]"
3,0,0.7159289356529147,0.7472484017662954,"[0.7949494260065925, 0.7401270111129709, 0.7159289356529147]","[0.727015092598695, 0.7409872800369076, 0.7472484017662954]"
3,3,0.816920914438676,0.6765076167694826,"[0.9281599118270183, 0.8497641350387446, 0.816920914438676]","[0.6274077804356036, 0.6583154979226993, 0.6765076167694826]"
3,1,0.7081061820336643,0.7524706506599456,"[0.7837303315752511, 0.729879811232315, 0.7081061820336643]","[0.7326391191881674, 0.7479604695894408, 0.7524706506599456]"
3,2,0.7363265038878205,0.7499664744535336,"[0.7924833508709491, 0.7594923128684362, 0.7363265038878205]","[0.7430602118814537, 0.7450046935765053, 0.7499664744535336]"
4,2,0.7147668541787394,0.7517098028697867,"[0.771896227731071, 0.7314269750639557, 0.7147668541787394]","[0.7458093066916991, 0.7483572482231461, 0.7517098028697867]"
4,1,0.6841872901767334,0.7572461364993036,"[0.7584992320546416, 0.7076323032695188, 0.6841872901767334]","[0.7403329574849108, 0.7506135172779731, 0.7572461364993036]"
4,0,0.6954513049131952,0.7558821590983985,"[0.7698453827451981, 0.71984972190053, 0.6954513049131952]","[0.7353193172081988, 0.7481710933895735, 0.7558821590983985]"
4,3,0.7908714601220441,0.6866423265768601,"[0.8949355124406824, 0.8195278713890433, 0.7908714601220441]","[0.6491879642452474, 0.6759410801963993, 0.6866423265768601]"
