test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.074841340446472,0.2262,0.1676440237258406,0.30787616250684585,0.2262,0.058,0.888,0.225,0.332,0.0,0.026,0.426,0.276,0.008,0.023,orchestrator,0
1.72831708984375,0.373,0.3424236522744805,0.45676026406108844,0.373,0.296,0.766,0.442,0.334,0.002,0.279,0.521,0.46,0.488,0.142,orchestrator,1
1.6673035333633424,0.3993,0.3589768757891932,0.4442814307077052,0.39929999999999993,0.285,0.817,0.395,0.327,0.013,0.195,0.65,0.487,0.669,0.155,orchestrator,2
1.5908727381706238,0.4291,0.3998664106565071,0.4546937678334741,0.42910000000000004,0.314,0.821,0.382,0.352,0.06,0.274,0.66,0.541,0.65,0.237,orchestrator,3
1.5345336277961732,0.4542,0.42816081833074254,0.4702078900562161,0.4542,0.318,0.81,0.41,0.328,0.12,0.309,0.694,0.626,0.681,0.246,orchestrator,4
1.5228312352180482,0.4746,0.4523587090947327,0.49336703337759935,0.4746,0.387,0.806,0.497,0.329,0.152,0.314,0.706,0.623,0.682,0.25,orchestrator,5
1.506256334400177,0.4892,0.469054839820486,0.4986966072672403,0.4892,0.415,0.821,0.478,0.316,0.177,0.312,0.708,0.66,0.683,0.322,orchestrator,6
1.4941191002845764,0.5008,0.48254468423660785,0.5053856276423947,0.5008,0.393,0.801,0.455,0.289,0.198,0.374,0.727,0.674,0.709,0.388,orchestrator,7
1.5122536185741424,0.5049,0.4884078247034198,0.5096240961097767,0.5048999999999999,0.426,0.819,0.493,0.29,0.231,0.378,0.712,0.649,0.707,0.344,orchestrator,8
1.5400268022537231,0.5089,0.49401697412161977,0.51358687300533,0.5089,0.453,0.843,0.459,0.288,0.244,0.404,0.673,0.667,0.7,0.358,orchestrator,9
1.5149192546367645,0.5265,0.513531102874836,0.5244604643474773,0.5265,0.515,0.829,0.474,0.315,0.253,0.405,0.739,0.634,0.676,0.425,orchestrator,10
1.5355792238712311,0.5281,0.5165722073903927,0.5281725391742891,0.5280999999999999,0.495,0.821,0.457,0.356,0.274,0.387,0.72,0.652,0.708,0.411,orchestrator,11
