iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,4,1.8386002945029027,0.33933125531311986,"[2.2187483411401376, 1.8828900170652834, 1.8386002945029027]","[0.2785755313038484, 0.33624200116346714, 0.33933125531311986]"
0,1,1.4966563717143175,0.46985714285714286,"[1.8705411858210281, 1.6406380979165638, 1.4966563717143175]","[0.3372857142857143, 0.4188571428571429, 0.46985714285714286]"
0,0,1.8811590538177316,0.32390341477353907,"[2.0055331772865226, 1.891273545620104, 1.8811590538177316]","[0.27838774920543197, 0.3241084165477889, 0.32390341477353907]"
0,3,1.540307625651904,0.4482857142857143,"[1.9733944932619731, 1.695503389998658, 1.540307625651904]","[0.269, 0.38857142857142857, 0.4482857142857143]"
0,2,1.360839992353361,0.55,"[1.7656813525173762, 1.5021937474540379, 1.360839992353361]","[0.3792857142857143, 0.5025714285714286, 0.55]"
1,0,1.6661967695031537,0.39991365664124334,"[1.8462591478813728, 1.7004620294048363, 1.6661967695031537]","[0.32143860635009835, 0.3830715532286213, 0.39991365664124334]"
1,1,1.3535421924776139,0.523,"[1.6524007695994964, 1.477909247080485, 1.3535421924776139]","[0.409, 0.4725714285714286, 0.523]"
1,2,1.2387563935970063,0.5962857142857143,"[1.545698065327727, 1.3520987046091524, 1.2387563935970063]","[0.4767142857142857, 0.558, 0.5962857142857143]"
1,4,1.572692360916094,0.4204777162831343,"[1.6704365812480177, 1.58690491032927, 1.572692360916094]","[0.40597057975194695, 0.4011324041811847, 0.4204777162831343]"
1,3,1.3923327812593278,0.5055714285714286,"[1.7092366068874865, 1.5114610165221507, 1.3923327812593278]","[0.3762857142857143, 0.455, 0.5055714285714286]"
2,4,1.4597270262840132,0.4946664770302944,"[1.3835764653878668, 1.4002466109245335, 1.4597270262840132]","[0.5139090118806143, 0.5061044860874503, 0.4946664770302944]"
2,3,1.2507936067232803,0.5578571428571428,"[1.518373222111567, 1.3662412999427482, 1.2507936067232803]","[0.44871428571428573, 0.5128571428571429, 0.5578571428571428]"
2,0,1.4911466985260515,0.44879009566685424,"[1.6463716087275988, 1.49390031186413, 1.4911466985260515]","[0.38403848875053065, 0.44692737430167595, 0.44879009566685424]"
2,1,1.2614794211572709,0.5527142857142857,"[1.4962594447887108, 1.352714372824316, 1.2614794211572709]","[0.468, 0.5181428571428571, 0.5527142857142857]"
2,2,1.1579735582549822,0.6208571428571429,"[1.393011520442353, 1.2493710883948357, 1.1579735582549822]","[0.534, 0.5874285714285714, 0.6208571428571429]"
3,4,1.4474378639840644,0.5497298086753323,"[1.2522822567453122, 1.343506068331466, 1.4474378639840644]","[0.5659200453643323, 0.5519180847995385, 0.5497298086753323]"
3,0,1.41965897986878,0.47738196211478656,"[1.6245910680457338, 1.3984723190466564, 1.41965897986878]","[0.37338686550043015, 0.4932818753573471, 0.47738196211478656]"
3,3,1.192340653236598,0.5828571428571429,"[1.3994507151379434, 1.2796895408739237, 1.192340653236598]","[0.4977142857142857, 0.5455714285714286, 0.5828571428571429]"
3,1,1.1588877123784802,0.5977142857142858,"[1.3809736003614452, 1.258296201082125, 1.1588877123784802]","[0.5088571428571429, 0.5564285714285714, 0.5977142857142858]"
3,2,1.0881765286127727,0.6415714285714286,"[1.2846031957837545, 1.1685793206571988, 1.0881765286127727]","[0.5755714285714286, 0.6151428571428571, 0.6415714285714286]"
4,2,1.0150555711086482,0.6647142857142857,"[1.2126155743315883, 1.1055697659243187, 1.0150555711086482]","[0.5907142857142857, 0.631, 0.6647142857142857]"
4,1,1.093147839517354,0.6171428571428571,"[1.2975330630393878, 1.1997623513006184, 1.093147839517354]","[0.5392857142857143, 0.5798571428571428, 0.6171428571428571]"
4,0,1.410876546412298,0.4945767009437949,"[1.543855429376097, 1.3757576948567614, 1.410876546412298]","[0.417490816614863, 0.49666524762310205, 0.4945767009437949]"
4,3,1.091206034636933,0.6194285714285714,"[1.3139741024742388, 1.2010121951092323, 1.091206034636933]","[0.5325714285714286, 0.5767142857142857, 0.6194285714285714]"
4,4,1.3764322096031143,0.580140622757928,"[1.22909305942113, 1.3268456885667697, 1.3764322096031143]","[0.5794246847102168, 0.5784299757800256, 0.580140622757928]"
5,4,1.3707210498449465,0.5965732087227414,"[1.2083631010224285, 1.3355818324505466, 1.3707210498449465]","[0.5898812888637648, 0.5887611749680716, 0.5965732087227414]"
5,2,0.9281966229007669,0.6887142857142857,"[1.1399241293946358, 1.019660512538261, 0.9281966229007669]","[0.6191428571428571, 0.6567142857142857, 0.6887142857142857]"
5,1,1.002625650194682,0.6511428571428571,"[1.2131167377375032, 1.10871402531454, 1.002625650194682]","[0.5681428571428572, 0.6138571428571429, 0.6511428571428571]"
5,3,1.0444638756312192,0.641,"[1.2467619827076726, 1.146496937291263, 1.0444638756312192]","[0.5608571428571428, 0.5954285714285714, 0.641]"
5,0,1.3604422610372169,0.5143838557320739,"[1.5201766526318032, 1.365694734603847, 1.3604422610372169]","[0.42963068586910025, 0.4948322242673085, 0.5143838557320739]"
6,2,0.8639666648351982,0.71,"[1.0770137603288372, 0.9621829353783229, 0.8639666648351982]","[0.6401428571428571, 0.6817142857142857, 0.71]"
6,0,1.3787258832149853,0.5095835134745641,"[1.5323098948284917, 1.3458855128995904, 1.3787258832149853]","[0.4344867525698567, 0.5051399200456882, 0.5095835134745641]"
6,3,0.9602576653434806,0.6692857142857143,"[1.1850077278537838, 1.0641934089192517, 0.9602576653434806]","[0.5791428571428572, 0.6301428571428571, 0.6692857142857143]"
6,4,1.3773606118137978,0.5938132408210466,"[1.2065926856918423, 1.2859108592617456, 1.3773606118137978]","[0.605707629586488, 0.6040307380020299, 0.5938132408210466]"
6,1,0.9368161312793488,0.6785714285714286,"[1.1710881859608437, 1.0359305886373127, 0.9368161312793488]","[0.5864285714285714, 0.6428571428571429, 0.6785714285714286]"
7,0,1.3545998092655722,0.5248155115034003,"[1.556593990217061, 1.363699909078476, 1.3545998092655722]","[0.43269908386187456, 0.5106142088876309, 0.5248155115034003]"
7,3,0.8971186023732843,0.6934285714285714,"[1.123938596820178, 0.9960614676208801, 0.8971186023732843]","[0.6037142857142858, 0.6538571428571428, 0.6934285714285714]"
7,1,0.8740059587781288,0.6948571428571428,"[1.1025309165318806, 0.9683335280581696, 0.8740059587781288]","[0.6147142857142858, 0.6641428571428571, 0.6948571428571428]"
7,2,0.8028518247958187,0.7328571428571429,"[1.0352758116101566, 0.8989210529210361, 0.8028518247958187]","[0.6537142857142857, 0.6984285714285714, 0.7328571428571429]"
7,4,1.3507010440371896,0.6130483689538808,"[1.1527649929670438, 1.3119803848570069, 1.3507010440371896]","[0.6249645390070921, 0.6072785735165156, 0.6130483689538808]"
8,3,0.8275484932271857,0.7157142857142857,"[1.0724907307864324, 0.949102301916031, 0.8275484932271857]","[0.6252857142857143, 0.6732857142857143, 0.7157142857142857]"
8,4,1.279263969970076,0.6223825693265421,"[1.1513851086298625, 1.2982175647532015, 1.279263969970076]","[0.6275, 0.6071790418294978, 0.6223825693265421]"
8,2,0.7468029565462783,0.7514285714285714,"[0.9747655244722758, 0.8472961216620659, 0.7468029565462783]","[0.6735714285714286, 0.7142857142857143, 0.7514285714285714]"
8,1,0.8050550623163241,0.7264285714285714,"[1.0574528744367704, 0.9114668063104969, 0.8050550623163241]","[0.6332857142857143, 0.6788571428571428, 0.7264285714285714]"
8,0,1.3647833041948816,0.5250741839762612,"[1.4881700050068773, 1.3173489203191784, 1.3647833041948816]","[0.4624556422995032, 0.5250035821750967, 0.5250741839762612]"
9,3,0.7528812952986047,0.7407142857142858,"[1.0207748118464806, 0.8751793875269693, 0.7528812952986047]","[0.64, 0.6985714285714286, 0.7407142857142858]"
9,2,0.6856679413212489,0.7722857142857142,"[0.9271691568774175, 0.7883768439224866, 0.6856679413212489]","[0.6885714285714286, 0.7365714285714285, 0.7722857142857142]"
9,4,1.2825164044760677,0.623781951701737,"[1.1798737660798853, 1.279782067371966, 1.2825164044760677]","[0.6303004773939904, 0.6142918028128995, 0.623781951701737]"
9,0,1.3870418477276145,0.5308326229042342,"[1.560059922470894, 1.3565578484508, 1.3870418477276145]","[0.45500359971202303, 0.5245854774156661, 0.5308326229042342]"
9,1,0.7417271850996365,0.7508571428571429,"[0.9883192989243764, 0.8565171033007913, 0.7417271850996365]","[0.6534285714285715, 0.6997142857142857, 0.7508571428571429]"
10,1,0.6892775976902819,0.765,"[0.9553499970942327, 0.794621717814169, 0.6892775976902819]","[0.6654285714285715, 0.7292857142857143, 0.765]"
10,4,1.2502003740434233,0.6425300515168861,"[1.2216570813497996, 1.2341355829580463, 1.2502003740434233]","[0.6294688088001158, 0.6381655092592593, 0.6425300515168861]"
10,0,1.3952226894631234,0.5432295438088341,"[1.5746645300083508, 1.3575788658775696, 1.3952226894631234]","[0.4619750283768445, 0.5402053036783576, 0.5432295438088341]"
10,2,0.6604699803065491,0.7772857142857142,"[0.8933011913952762, 0.7557758324562687, 0.6604699803065491]","[0.6981428571428572, 0.745, 0.7772857142857142]"
10,3,0.7081762283155907,0.764,"[0.9958439486347921, 0.8209801987153754, 0.7081762283155907]","[0.655, 0.7191428571428572, 0.764]"
