test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
1.0861588657473604,0.7098,0.7045355724366802,0.727512216522413,0.7098,0.869,0.919,0.443,0.638,0.438,0.592,0.464,0.895,0.904,0.936,orchestrator,0
0.6634062987546951,0.7866,0.7804961673415727,0.7852423023884892,0.7866,0.842,0.933,0.606,0.808,0.753,0.747,0.378,0.911,0.941,0.947,orchestrator,1
0.5618906792360373,0.8038,0.7969497310852355,0.802695760003733,0.8038000000000001,0.855,0.941,0.632,0.83,0.802,0.796,0.368,0.913,0.952,0.949,orchestrator,2
0.513923961514482,0.8176,0.8107417951253584,0.816768724111552,0.8176,0.856,0.944,0.662,0.848,0.82,0.853,0.371,0.917,0.954,0.951,orchestrator,3
0.4827065441174248,0.8303,0.824569142897882,0.829423191501891,0.8303,0.861,0.949,0.678,0.86,0.828,0.892,0.407,0.921,0.958,0.949,orchestrator,4
0.46561265108398736,0.8351,0.829694009496469,0.8347372548205312,0.8351,0.865,0.952,0.677,0.865,0.835,0.903,0.42,0.923,0.961,0.95,orchestrator,5
0.452975545185633,0.8398,0.8344360028268346,0.8402872998290493,0.8398,0.869,0.954,0.682,0.87,0.843,0.914,0.427,0.924,0.965,0.95,orchestrator,6
0.441677944585919,0.8427,0.8376603687658234,0.8432048193693399,0.8427,0.872,0.955,0.69,0.873,0.844,0.916,0.435,0.933,0.962,0.947,orchestrator,7
0.4315823286581344,0.8487,0.844734580564238,0.8485851071594457,0.8487,0.871,0.959,0.691,0.875,0.841,0.929,0.475,0.935,0.962,0.949,orchestrator,8
0.42460745700394004,0.8515,0.847544503381221,0.852116886437905,0.8515,0.871,0.96,0.701,0.875,0.841,0.931,0.479,0.938,0.967,0.952,orchestrator,9
0.41930864036035614,0.8547,0.8507767825093305,0.8548345628985183,0.8547,0.875,0.962,0.715,0.88,0.836,0.933,0.485,0.943,0.969,0.949,orchestrator,10
0.4144136948159899,0.8566,0.8528175747899394,0.8566711811055315,0.8566,0.88,0.962,0.721,0.884,0.832,0.94,0.489,0.941,0.969,0.948,orchestrator,11
0.41166601754939214,0.857,0.8533252712492839,0.8569451903963902,0.857,0.88,0.964,0.718,0.884,0.832,0.942,0.495,0.938,0.969,0.948,orchestrator,12
0.4075178008633681,0.8584,0.855149711755017,0.8583292522150445,0.8583999999999999,0.876,0.962,0.719,0.883,0.84,0.94,0.509,0.943,0.968,0.944,orchestrator,13
0.4063951711470898,0.8586,0.8554028525685027,0.85889750432797,0.8586,0.876,0.962,0.715,0.887,0.842,0.942,0.512,0.941,0.969,0.94,orchestrator,14
0.40249555832899797,0.8607,0.8576429536420509,0.8604745483637732,0.8606999999999999,0.878,0.963,0.737,0.885,0.836,0.943,0.516,0.937,0.968,0.944,orchestrator,15
0.4037727303564929,0.8623,0.8592317730608199,0.8621801160248506,0.8623,0.879,0.963,0.743,0.888,0.84,0.947,0.516,0.94,0.965,0.942,orchestrator,16
0.40373954447075583,0.8636,0.8608502943629416,0.8636625214234941,0.8635999999999999,0.878,0.963,0.743,0.884,0.842,0.947,0.527,0.941,0.964,0.947,orchestrator,17
