iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.46417392230395116,0.851047619047619,"[0.8471236260099845, 0.46417392230395116]","[0.7445714285714286, 0.851047619047619]"
0,6,1.9727245843771732,0.30443775855584804,"[2.508939757491603, 1.9727245843771732]","[0.11946308724832215, 0.30443775855584804]"
0,4,0.5636540882966735,0.7975238095238095,"[0.96968544197805, 0.5636540882966735]","[0.6967619047619048, 0.7975238095238095]"
0,3,0.37748127376491375,0.8893333333333333,"[0.7733837263150649, 0.37748127376491375]","[0.8024761904761905, 0.8893333333333333]"
0,2,0.563863319113399,0.8140952380952381,"[1.0063683726119272, 0.563863319113399]","[0.6996190476190476, 0.8140952380952381]"
0,0,2.0222992384072507,0.32887045068828963,"[2.2913528406258785, 2.0222992384072507]","[0.2497177267595032, 0.32887045068828963]"
0,1,2.0374111276684386,0.36575950588689443,"[2.4119920282652885, 2.0374111276684386]","[0.10291858678955453, 0.36575950588689443]"
0,5,0.7588373856111006,0.7201904761904762,"[1.2002081910769145, 0.7588373856111006]","[0.5805714285714285, 0.7201904761904762]"
1,0,0.8305189206744685,0.745423010213914,"[0.9142599441788414, 0.8305189206744685]","[0.772550472309687, 0.745423010213914]"
1,4,0.45644919899376957,0.8367619047619047,"[0.6154197119402163, 0.45644919899376957]","[0.7902857142857143, 0.8367619047619047]"
1,6,0.725461899692362,0.8419634263715111,"[0.905142485372948, 0.725461899692362]","[0.8044315992292871, 0.8419634263715111]"
1,7,0.3844952331122124,0.8714285714285714,"[0.5241965587617773, 0.3844952331122124]","[0.8411428571428572, 0.8714285714285714]"
1,3,0.2899164792714697,0.9144761904761904,"[0.4315479631225268, 0.2899164792714697]","[0.8862857142857142, 0.9144761904761904]"
1,5,0.650285902799982,0.7571428571428571,"[0.8286704861756528, 0.650285902799982]","[0.7059047619047619, 0.7571428571428571]"
1,1,0.8540169896501484,0.7512671297165384,"[0.9246199723446008, 0.8540169896501484]","[0.7615413964135826, 0.7512671297165384]"
1,2,0.46274798514716553,0.8365714285714285,"[0.6332228832624175, 0.46274798514716553]","[0.7927619047619048, 0.8365714285714285]"
2,3,0.24598042231166,0.927047619047619,"[0.32359532619064507, 0.24598042231166]","[0.911047619047619, 0.927047619047619]"
2,5,0.5852684186263518,0.7824761904761904,"[0.7023707701401277, 0.5852684186263518]","[0.7401904761904762, 0.7824761904761904]"
2,7,0.3377516785749432,0.8841904761904762,"[0.42042864403038316, 0.3377516785749432]","[0.8634285714285714, 0.8841904761904762]"
