test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
1.8379863008499147,0.3239,0.30638911079724923,0.3908450850904367,0.32389999999999997,0.359,0.641,0.336,0.52,0.036,0.15,0.387,0.302,0.354,0.154,orchestrator,0
1.5721152810096741,0.4334,0.4272837473291661,0.4374864146332785,0.43339999999999995,0.431,0.651,0.362,0.318,0.242,0.327,0.502,0.534,0.617,0.35,orchestrator,1
1.4627428642272948,0.4823,0.47743531771885006,0.48384025415708604,0.48230000000000006,0.479,0.7,0.395,0.326,0.299,0.386,0.539,0.581,0.666,0.452,orchestrator,2
1.417203375530243,0.5037,0.4988930049437205,0.5056937338687543,0.5037,0.523,0.731,0.434,0.327,0.377,0.36,0.58,0.62,0.659,0.426,orchestrator,3
1.3852227231025696,0.5228,0.5190106626295448,0.5265828817510197,0.5227999999999999,0.553,0.776,0.424,0.353,0.37,0.424,0.61,0.644,0.617,0.457,orchestrator,4
1.3671341202259064,0.5412,0.5368300699636392,0.5422582932040394,0.5412,0.587,0.757,0.498,0.315,0.355,0.451,0.642,0.618,0.674,0.515,orchestrator,5
1.3615881011962891,0.5513,0.5500441638455378,0.5534098459616763,0.5512999999999999,0.567,0.726,0.465,0.337,0.474,0.456,0.647,0.617,0.701,0.523,orchestrator,6
1.3673334022998809,0.5629,0.5596339801254333,0.5639642999251576,0.5629,0.581,0.736,0.497,0.318,0.42,0.466,0.692,0.636,0.723,0.56,orchestrator,7
1.406256635904312,0.5618,0.56128482618756,0.5685490810888655,0.5618000000000001,0.571,0.762,0.52,0.365,0.437,0.454,0.662,0.644,0.675,0.528,orchestrator,8
1.4192006284236909,0.5709,0.567552455904665,0.5719863957127158,0.5709,0.625,0.793,0.54,0.354,0.409,0.439,0.665,0.63,0.691,0.563,orchestrator,9
1.4599447781562804,0.5744,0.5718354948518154,0.5762195961116549,0.5744,0.594,0.76,0.493,0.385,0.429,0.429,0.708,0.617,0.728,0.601,orchestrator,10
1.470591204214096,0.5819,0.5784020649349845,0.5835608598237791,0.5818999999999999,0.603,0.769,0.503,0.368,0.42,0.484,0.7,0.648,0.765,0.559,orchestrator,11
1.4897493903160095,0.5869,0.5829377232033263,0.5823519034739982,0.5869,0.638,0.777,0.459,0.357,0.499,0.479,0.659,0.677,0.737,0.587,orchestrator,12
1.5471483619213104,0.5834,0.5863801319809071,0.5940014668705305,0.5833999999999999,0.586,0.741,0.513,0.43,0.513,0.484,0.667,0.596,0.723,0.581,orchestrator,13
1.5757685947418212,0.5866,0.5842149005344676,0.5892154122238692,0.5866,0.624,0.764,0.527,0.338,0.5,0.492,0.709,0.619,0.755,0.538,orchestrator,14
1.5947303849697112,0.5903,0.5882928058423855,0.5901060067104212,0.5903,0.598,0.763,0.462,0.397,0.514,0.441,0.7,0.688,0.711,0.629,orchestrator,15
1.647592867898941,0.5924,0.5892276190587875,0.5903933800925525,0.5923999999999999,0.636,0.748,0.458,0.363,0.515,0.491,0.735,0.673,0.74,0.565,orchestrator,16
1.6737878175258636,0.5937,0.591376725435489,0.5926735804784518,0.5937,0.679,0.73,0.512,0.355,0.481,0.494,0.679,0.631,0.746,0.63,orchestrator,17
1.7267838397741317,0.5941,0.5968222119425559,0.6037645828284314,0.5941000000000001,0.651,0.745,0.492,0.428,0.512,0.528,0.672,0.654,0.698,0.561,orchestrator,18
1.7342733424186707,0.5953,0.5945782091164473,0.5956720994609951,0.5953,0.645,0.749,0.498,0.389,0.555,0.453,0.678,0.656,0.726,0.604,orchestrator,19
1.7857166792392731,0.5974,0.5954203538918664,0.5998333227954984,0.5973999999999999,0.647,0.76,0.486,0.378,0.469,0.504,0.739,0.643,0.745,0.603,orchestrator,20
1.8349741106033326,0.6002,0.5943751543752339,0.5951072260323407,0.6002,0.698,0.795,0.474,0.322,0.521,0.477,0.715,0.687,0.707,0.606,orchestrator,21
1.8429930810213089,0.6005,0.5973325311506319,0.5983668271104992,0.6005,0.672,0.729,0.424,0.348,0.55,0.519,0.736,0.667,0.751,0.609,orchestrator,22
1.8550936067819594,0.5976,0.5990523394504889,0.604055743729519,0.5976000000000001,0.651,0.706,0.45,0.473,0.504,0.495,0.701,0.663,0.743,0.59,orchestrator,23
1.8932707223892211,0.6043,0.6032398523781606,0.6058107674375979,0.6043000000000001,0.645,0.745,0.48,0.384,0.519,0.52,0.728,0.664,0.723,0.635,orchestrator,24
