iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,1.863846982609142,0.4462857142857143,"[2.1128715536811136, 1.863846982609142]","[0.2613333333333333, 0.4462857142857143]"
0,6,1.9364697261290116,0.43123809523809525,"[2.113119455539819, 1.9364697261290116]","[0.2582857142857143, 0.43123809523809525]"
0,4,1.8353238568161474,0.47104761904761905,"[2.1166689836617674, 1.8353238568161474]","[0.2775238095238095, 0.47104761904761905]"
0,3,1.8951074932560776,0.4184761904761905,"[2.111904026522781, 1.8951074932560776]","[0.2702857142857143, 0.4184761904761905]"
0,2,1.8320443391799928,0.45504761904761903,"[2.1044945709633103, 1.8320443391799928]","[0.27676190476190476, 0.45504761904761903]"
0,0,1.85240992343787,0.4144761904761905,"[2.0983408508878765, 1.85240992343787]","[0.2662857142857143, 0.4144761904761905]"
0,1,1.834129473657319,0.4401904761904762,"[2.1152435483354513, 1.834129473657319]","[0.2885714285714286, 0.4401904761904762]"
0,5,1.9252919673919677,0.4104761904761905,"[2.1079391623988295, 1.9252919673919677]","[0.2744761904761905, 0.4104761904761905]"
1,0,1.3336498545877862,0.6304761904761905,"[1.6540013710657755, 1.3336498545877862]","[0.5276190476190477, 0.6304761904761905]"
1,4,1.3451623569835316,0.6201904761904762,"[1.638195393302224, 1.3451623569835316]","[0.5352380952380953, 0.6201904761904762]"
1,6,1.2948764847986627,0.6487619047619048,"[1.6651771523735739, 1.2948764847986627]","[0.5388571428571428, 0.6487619047619048]"
1,7,1.3389173153674965,0.6247619047619047,"[1.6639004028204716, 1.3389173153674965]","[0.5051428571428571, 0.6247619047619047]"
1,3,1.3788336757457618,0.6131428571428571,"[1.669821973280473, 1.3788336757457618]","[0.5142857142857142, 0.6131428571428571]"
1,5,1.3538400585001165,0.6331428571428571,"[1.651251397710858, 1.3538400585001165]","[0.5276190476190477, 0.6331428571428571]"
1,1,1.36991943879561,0.6064761904761905,"[1.6675682739778, 1.36991943879561]","[0.5211428571428571, 0.6064761904761905]"
1,2,1.3062937284960892,0.6451428571428571,"[1.6333684408303464, 1.3062937284960892]","[0.5422857142857143, 0.6451428571428571]"
2,3,0.9294551751830361,0.7377142857142858,"[1.0970625646186598, 0.9294551751830361]","[0.7013333333333334, 0.7377142857142858]"
2,5,0.9457614822821183,0.7335238095238096,"[1.0886124860156665, 0.9457614822821183]","[0.6956190476190476, 0.7335238095238096]"
2,7,0.9253752704822655,0.7443809523809524,"[1.0955187212337147, 0.9253752704822655]","[0.6996190476190476, 0.7443809523809524]"
2,2,0.9063910141135707,0.7518095238095238,"[1.0620633519057072, 0.9063910141135707]","[0.7116190476190476, 0.7518095238095238]"
2,1,0.9466958905711319,0.7302857142857143,"[1.106486369263042, 0.9466958905711319]","[0.6948571428571428, 0.7302857142857143]"
2,4,0.9120306148673549,0.7445714285714286,"[1.0833843704425927, 0.9120306148673549]","[0.6948571428571428, 0.7445714285714286]"
2,6,0.9159489093404828,0.7453333333333333,"[1.080148088570797, 0.9159489093404828]","[0.7041904761904761, 0.7453333333333333]"
2,0,0.9337322953975562,0.7396190476190476,"[1.0953381856282551, 0.9337322953975562]","[0.6996190476190476, 0.7396190476190476]"
3,2,0.748810008800391,0.780952380952381,"[0.8115327836889209, 0.748810008800391]","[0.7655238095238095, 0.780952380952381]"
3,0,0.7925151741865909,0.772,"[0.8431325406739206, 0.7925151741865909]","[0.7575238095238095, 0.772]"
3,3,0.7733215052070039,0.7636190476190476,"[0.8358429543899767, 0.7733215052070039]","[0.7546666666666667, 0.7636190476190476]"
3,4,0.7502440618746209,0.7748571428571429,"[0.8251928679870837, 0.7502440618746209]","[0.7573333333333333, 0.7748571428571429]"
3,7,0.7515780196045384,0.7860952380952381,"[0.833913812492833, 0.7515780196045384]","[0.7632380952380953, 0.7860952380952381]"
3,1,0.7838107165062066,0.7668571428571429,"[0.8590141547448708, 0.7838107165062066]","[0.7491428571428571, 0.7668571428571429]"
3,5,0.7597029628175678,0.7687619047619048,"[0.8338600527156483, 0.7597029628175678]","[0.7483809523809524, 0.7687619047619048]"
3,6,0.742025616494092,0.7765714285714286,"[0.8204592217098583, 0.742025616494092]","[0.7630476190476191, 0.7765714285714286]"
4,3,0.6674835501295148,0.7904761904761904,"[0.7154661359209002, 0.6674835501295148]","[0.7763809523809524, 0.7904761904761904]"
4,6,0.6528023273655863,0.7925714285714286,"[0.7020740380792907, 0.6528023273655863]","[0.7826666666666666, 0.7925714285714286]"
4,0,0.6774983790787783,0.7937142857142857,"[0.7271437505880992, 0.6774983790787783]","[0.7779047619047619, 0.7937142857142857]"
4,5,0.6774678109270154,0.780952380952381,"[0.7193994444428068, 0.6774678109270154]","[0.7721904761904762, 0.780952380952381]"
4,4,0.664102087056998,0.7948571428571428,"[0.7088836054007213, 0.664102087056998]","[0.7824761904761904, 0.7948571428571428]"
4,1,0.6943401938134973,0.780952380952381,"[0.7433880186442173, 0.6943401938134973]","[0.7685714285714286, 0.780952380952381]"
4,2,0.6798726676088391,0.796,"[0.697833797787175, 0.6798726676088391]","[0.7866666666666666, 0.796]"
4,7,0.6656984208208142,0.7986666666666666,"[0.7133608243682168, 0.6656984208208142]","[0.7902857142857143, 0.7986666666666666]"
5,2,0.593805955395554,0.8161904761904762,"[0.6317725931153153, 0.593805955395554]","[0.8001904761904762, 0.8161904761904762]"
5,6,0.598612113793691,0.8062857142857143,"[0.6321754175605196, 0.598612113793691]","[0.796, 0.8062857142857143]"
5,0,0.6274302265860817,0.8038095238095239,"[0.6608651119651217, 0.6274302265860817]","[0.7939047619047619, 0.8038095238095239]"
5,7,0.6066757955334403,0.8123809523809524,"[0.643120388731812, 0.6066757955334403]","[0.800952380952381, 0.8123809523809524]"
5,5,0.6285279069886063,0.7897142857142857,"[0.654141269308148, 0.6285279069886063]","[0.783047619047619, 0.7897142857142857]"
