test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
1.9390669914245606,0.3223,0.31172295526425237,0.35682262940192994,0.32230000000000003,0.359,0.368,0.461,0.125,0.06,0.377,0.326,0.431,0.221,0.495,orchestrator,0
1.6222854852676392,0.412,0.40338977794236114,0.41084444799869413,0.4120000000000001,0.428,0.6,0.271,0.147,0.409,0.325,0.527,0.508,0.55,0.355,orchestrator,1
1.5331355536460876,0.4552,0.4479205008778533,0.4521578269107753,0.45519999999999994,0.436,0.653,0.343,0.202,0.393,0.391,0.59,0.544,0.609,0.391,orchestrator,2
1.4884681517601013,0.4808,0.47095191306297346,0.4760844642426683,0.4808,0.484,0.694,0.374,0.232,0.307,0.398,0.647,0.597,0.644,0.431,orchestrator,3
1.4677084506034852,0.4906,0.4815585721646299,0.48585848733714354,0.4906,0.486,0.745,0.347,0.255,0.367,0.414,0.643,0.602,0.647,0.4,orchestrator,4
1.4624466186523437,0.5004,0.4898616063335538,0.49912837884359107,0.5004000000000001,0.491,0.754,0.385,0.294,0.297,0.398,0.694,0.633,0.67,0.388,orchestrator,5
1.4687403043746947,0.5091,0.49831052627107997,0.5060002682586424,0.5091,0.499,0.764,0.392,0.253,0.326,0.425,0.7,0.626,0.683,0.423,orchestrator,6
1.477765459394455,0.5167,0.5076788944175556,0.5168048526922375,0.5166999999999999,0.499,0.77,0.391,0.287,0.322,0.424,0.728,0.613,0.669,0.464,orchestrator,7
1.490347878742218,0.5191,0.5085362592446793,0.5161319628000254,0.5191,0.534,0.756,0.4,0.223,0.346,0.447,0.729,0.627,0.678,0.451,orchestrator,8
1.5362985561847686,0.5213,0.5105798288042236,0.5205592361478045,0.5213000000000001,0.489,0.774,0.42,0.282,0.333,0.393,0.734,0.629,0.714,0.445,orchestrator,9
1.5491987706184387,0.5298,0.5192345316572616,0.5234373198355513,0.5298,0.547,0.765,0.394,0.26,0.369,0.449,0.7,0.657,0.717,0.44,orchestrator,10
1.578372310256958,0.5335,0.5248810354776442,0.5321512620699101,0.5335000000000001,0.529,0.771,0.362,0.263,0.402,0.516,0.7,0.615,0.724,0.453,orchestrator,11
1.5737111940383912,0.5408,0.5344454231250346,0.5347842735430832,0.5408,0.585,0.747,0.383,0.316,0.42,0.45,0.684,0.65,0.691,0.482,orchestrator,12
1.628185528755188,0.5437,0.5353960798583699,0.5381545192385981,0.5437000000000001,0.582,0.748,0.368,0.262,0.416,0.485,0.704,0.669,0.687,0.516,orchestrator,13
1.673230352783203,0.5454,0.5348536606364137,0.5384941940652779,0.5453999999999999,0.598,0.766,0.354,0.264,0.414,0.475,0.718,0.669,0.699,0.497,orchestrator,14
1.7197504385948181,0.5429,0.5336828166216143,0.5379446304478577,0.5428999999999999,0.587,0.765,0.38,0.256,0.439,0.474,0.702,0.66,0.704,0.462,orchestrator,15
1.7238020469665527,0.5457,0.5405761621457733,0.5409393489463975,0.5457000000000001,0.594,0.751,0.403,0.325,0.453,0.445,0.649,0.648,0.694,0.495,orchestrator,16
1.7850570871353149,0.5487,0.5442162383900842,0.548962013169626,0.5487,0.597,0.722,0.375,0.324,0.418,0.508,0.738,0.568,0.686,0.551,orchestrator,17
1.7855472097873688,0.5483,0.5434914168127373,0.5427845846599545,0.5483,0.581,0.691,0.449,0.316,0.427,0.447,0.693,0.634,0.721,0.524,orchestrator,18
1.8674508750915528,0.5511,0.5459646806362197,0.5502520966962066,0.5511,0.61,0.773,0.361,0.364,0.443,0.496,0.63,0.662,0.694,0.478,orchestrator,19
1.9133235549211502,0.5544,0.5468499122129767,0.5485040028086184,0.5543999999999999,0.593,0.761,0.371,0.298,0.468,0.453,0.719,0.665,0.677,0.539,orchestrator,20
1.9171088717460631,0.5493,0.5440951156203664,0.5431368904616841,0.5492999999999999,0.616,0.686,0.412,0.325,0.478,0.383,0.672,0.656,0.699,0.566,orchestrator,21
1.9708471041679383,0.5523,0.5459755471914354,0.5489764949527499,0.5523,0.608,0.743,0.373,0.324,0.403,0.521,0.656,0.648,0.721,0.526,orchestrator,22
1.979610030078888,0.5525,0.5479332741436502,0.5491821369162295,0.5525,0.628,0.741,0.401,0.324,0.451,0.486,0.677,0.644,0.668,0.505,orchestrator,23
2.026772701931,0.5584,0.5540292287162676,0.5557826351741733,0.5584,0.625,0.731,0.377,0.408,0.439,0.44,0.7,0.65,0.681,0.533,orchestrator,24
2.0389066069602966,0.5583,0.554278642708584,0.5541910134161008,0.5582999999999999,0.609,0.681,0.453,0.356,0.414,0.417,0.666,0.68,0.693,0.614,orchestrator,25
2.0747960618019103,0.5539,0.5486971706180332,0.5484768323526901,0.5539000000000001,0.628,0.702,0.35,0.344,0.478,0.445,0.675,0.645,0.702,0.57,orchestrator,26
2.1039821602344513,0.5573,0.552594411925468,0.5526241251434996,0.5573,0.602,0.737,0.442,0.32,0.465,0.444,0.699,0.648,0.696,0.52,orchestrator,27
2.130557004880905,0.5617,0.5569378670825748,0.556624755634086,0.5616999999999999,0.615,0.727,0.449,0.362,0.436,0.422,0.713,0.64,0.698,0.555,orchestrator,28
