iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,4,2.2901507202348754,0.13636363636363635,"[2.42303718769387, 2.3007715651978096, 2.2901507202348754]","[0.09801381692573402, 0.12247902252318563, 0.13636363636363635]"
0,1,1.6936142030916257,0.3807142857142857,"[2.1501442746484662, 1.858113436394086, 1.6936142030916257]","[0.20585714285714285, 0.3177142857142857, 0.3807142857142857]"
0,0,2.2951348987344193,0.12378464664054564,"[2.436372189761297, 2.3179857621998545, 2.2951348987344193]","[0.09855802883942322, 0.10215358458486823, 0.12378464664054564]"
0,3,1.7039628186726679,0.3787142857142857,"[2.1452031543810075, 1.8565694507398562, 1.7039628186726679]","[0.195, 0.3162857142857143, 0.3787142857142857]"
0,2,1.762222829474706,0.3578571428571429,"[2.1750194310597633, 1.9174791503714643, 1.762222829474706]","[0.18557142857142858, 0.2907142857142857, 0.3578571428571429]"
1,0,1.8787980242951277,0.34125636672325976,"[1.9082212380078285, 1.887985713950031, 1.8787980242951277]","[0.3339980059820538, 0.34343998882213217, 0.34125636672325976]"
1,1,1.5476179562475039,0.43885714285714283,"[1.856618800664057, 1.6766273923660522, 1.5476179562475039]","[0.31985714285714284, 0.3921428571428571, 0.43885714285714283]"
1,2,1.610111999593369,0.42014285714285715,"[1.8976573783513073, 1.7278671223823339, 1.610111999593369]","[0.2968571428571429, 0.36757142857142855, 0.42014285714285715]"
1,4,1.8627063642898107,0.3542518685657876,"[1.9114821945151237, 1.8699102548703754, 1.8627063642898107]","[0.3379061371841155, 0.3569620253164557, 0.3542518685657876]"
1,3,1.5510148535308228,0.438,"[1.852127621162972, 1.6723637548211503, 1.5510148535308228]","[0.31685714285714284, 0.39385714285714285, 0.438]"
2,4,1.6090091586657311,0.42304409672830723,"[1.612228432202448, 1.5982473819223169, 1.6090091586657311]","[0.41345734631594244, 0.4187220539449012, 0.42304409672830723]"
2,3,1.4163230228913974,0.49457142857142855,"[1.6624249384555643, 1.5322789517167497, 1.4163230228913974]","[0.40614285714285714, 0.44571428571428573, 0.49457142857142855]"
2,0,1.6096696978834666,0.4190205819730305,"[1.6240247207689502, 1.6033073882806246, 1.6096696978834666]","[0.4133996489174956, 0.4183470604941778, 0.4190205819730305]"
2,1,1.4166396931154,0.493,"[1.6599674771909845, 1.5361693577679325, 1.4166396931154]","[0.4005714285714286, 0.4427142857142857, 0.493]"
2,2,1.4648487513468145,0.47414285714285714,"[1.7006297307471707, 1.5680734011680568, 1.4648487513468145]","[0.3842857142857143, 0.43114285714285716, 0.47414285714285714]"
3,4,1.5440310092821514,0.45522717247463607,"[1.5503366426245806, 1.5021808107966157, 1.5440310092821514]","[0.44733829421866056, 0.4624725676664228, 0.45522717247463607]"
3,0,1.5311038070889913,0.4558420976804495,"[1.5294121815461545, 1.5275398880651552, 1.5311038070889913]","[0.4467576311717541, 0.46148287324757914, 0.4558420976804495]"
3,3,1.306068080473164,0.5338571428571428,"[1.5385639689284372, 1.4255460225828163, 1.306068080473164]","[0.44471428571428573, 0.484, 0.5338571428571428]"
3,1,1.306138475872066,0.5351428571428571,"[1.5448131909653477, 1.412923733529435, 1.306138475872066]","[0.4461428571428571, 0.49314285714285716, 0.5351428571428571]"
