iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.3939648693483887,0.9133333333333333,"[1.197474700664029, 0.3939648693483887]","[0.6982857142857143, 0.9133333333333333]"
0,6,2.257298378510909,0.1602368220015279,"[2.370561802025997, 2.257298378510909]","[0.07864741641337386, 0.1602368220015279]"
0,4,0.3906980401638782,0.9112380952380953,"[1.1700721523978495, 0.3906980401638782]","[0.7034285714285714, 0.9112380952380953]"
0,3,0.39585780593933484,0.9051428571428571,"[1.1842440704504649, 0.39585780593933484]","[0.6963809523809524, 0.9051428571428571]"
0,2,0.3997032075668826,0.9047619047619048,"[1.1935647511121, 0.3997032075668826]","[0.700952380952381, 0.9047619047619048]"
0,0,2.2587298263203013,0.13751694751113694,"[2.3731404333403616, 2.2587298263203013]","[0.07388973966309341, 0.13751694751113694]"
0,1,2.2705741130944452,0.12254425209103287,"[2.3829109249692975, 2.2705741130944452]","[0.06747638326585695, 0.12254425209103287]"
0,5,0.3810571778904308,0.919047619047619,"[1.1842028271068226, 0.3810571778904308]","[0.6956190476190476, 0.919047619047619]"
1,0,0.6101120788039583,0.8991860895301517,"[0.6539327756925063, 0.6101120788039583]","[0.8941619585687383, 0.8991860895301517]"
1,4,0.21859684938734228,0.9476190476190476,"[0.3941105820012815, 0.21859684938734228]","[0.9154285714285715, 0.9476190476190476]"
1,6,0.6171677786292452,0.8950995405819295,"[0.6750239030881362, 0.6171677786292452]","[0.8981248791803595, 0.8950995405819295]"
1,7,0.20890444618734447,0.9508571428571428,"[0.3963117212282889, 0.20890444618734447]","[0.9137142857142857, 0.9508571428571428]"
1,3,0.21185837792176188,0.9483809523809524,"[0.3984779133038087, 0.21185837792176188]","[0.9125714285714286, 0.9483809523809524]"
1,5,0.21202477158019037,0.9487619047619048,"[0.38845913328907705, 0.21202477158019037]","[0.9198095238095239, 0.9487619047619048]"
1,1,0.6107611378033956,0.8989767441860466,"[0.6619846129056179, 0.6107611378033956]","[0.9012696607921167, 0.8989767441860466]"
1,2,0.2175865181693525,0.9460952380952381,"[0.40450362653443306, 0.2175865181693525]","[0.9087619047619048, 0.9460952380952381]"
2,3,0.14975126128305088,0.9645714285714285,"[0.23737165629863738, 0.14975126128305088]","[0.94, 0.9645714285714285]"
2,5,0.15460740226236255,0.9634285714285714,"[0.23375108002713232, 0.15460740226236255]","[0.9434285714285714, 0.9634285714285714]"
2,7,0.14762268133009926,0.9651428571428572,"[0.2352876353783138, 0.14762268133009926]","[0.9403809523809524, 0.9651428571428572]"
2,2,0.1560571994180932,0.963047619047619,"[0.24386203559962186, 0.1560571994180932]","[0.9380952380952381, 0.963047619047619]"
2,1,0.2700243297851447,0.9386410690758517,"[0.26239463623726006, 0.2700243297851447]","[0.9442748091603054, 0.9386410690758517]"
2,4,0.15660542805086483,0.9605714285714285,"[0.23887488943609325, 0.15660542805086483]","[0.9380952380952381, 0.9605714285714285]"
2,6,0.277875907357895,0.9333459572050748,"[0.27243683405897834, 0.277875907357895]","[0.9394167450611477, 0.9333459572050748]"
2,0,0.28674415304805295,0.9241787624140565,"[0.2667307614377051, 0.28674415304805295]","[0.9376667937476172, 0.9241787624140565]"
3,2,0.12049184536392038,0.9714285714285714,"[0.1799191934367021, 0.12049184536392038]","[0.9518095238095238, 0.9714285714285714]"
3,0,0.1972844229051561,0.9420731707317073,"[0.19065963544628836, 0.1972844229051561]","[0.9446025422121039, 0.9420731707317073]"
3,3,0.11333567608486522,0.9740952380952381,"[0.1717923287189368, 0.11333567608486522]","[0.9535238095238096, 0.9740952380952381]"
3,4,0.12042288119820031,0.971047619047619,"[0.1792663295837966, 0.12042288119820031]","[0.9481904761904761, 0.971047619047619]"
3,7,0.1135408074341037,0.9756190476190476,"[0.17159718635181587, 0.1135408074341037]","[0.9535238095238096, 0.9756190476190476]"
3,1,0.17980873228022545,0.9520281533617336,"[0.18194691769101404, 0.17980873228022545]","[0.9537235076803422, 0.9520281533617336]"
3,5,0.11985772725081804,0.9739047619047619,"[0.17440158905404987, 0.11985772725081804]","[0.9521904761904761, 0.9739047619047619]"
3,6,0.2001623403393861,0.944177093358999,"[0.20290481398502985, 0.2001623403393861]","[0.9450936746429234, 0.944177093358999]"
4,3,0.08990351746253895,0.9796190476190476,"[0.13662282551328342, 0.08990351746253895]","[0.9617142857142857, 0.9796190476190476]"
4,6,0.16697676197597475,0.9507510933637574,"[0.1564106877215884, 0.16697676197597475]","[0.9562451811873555, 0.9507510933637574]"
4,0,0.1708474808908773,0.9505409582689336,"[0.154246203522339, 0.1708474808908773]","[0.952819332566168, 0.9505409582689336]"
