iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.38041495459549357,0.9177142857142857,"[1.2068251750685952, 0.38041495459549357]","[0.7068571428571429, 0.9177142857142857]"
0,6,2.3022857824961345,0.17108525653251955,"[2.41428836331223, 2.3022857824961345]","[0.12495126705653022, 0.17108525653251955]"
0,4,0.3885398112011678,0.9133333333333333,"[1.2068165309501417, 0.3885398112011678]","[0.6967619047619048, 0.9133333333333333]"
0,3,0.3919605325794581,0.9104761904761904,"[1.2027445820244875, 0.3919605325794581]","[0.708, 0.9104761904761904]"
0,2,0.395329197157513,0.9112380952380953,"[1.208070942849824, 0.395329197157513]","[0.7062857142857143, 0.9112380952380953]"
0,0,2.3049223047314267,0.15497242821829246,"[2.4183173381921015, 2.3049223047314267]","[0.12999806837937028, 0.15497242821829246]"
0,1,2.3092608191750266,0.14908473296848462,"[2.424729974342115, 2.3092608191750266]","[0.11228406909788867, 0.14908473296848462]"
0,5,0.384640061674696,0.9148571428571428,"[1.207179249236078, 0.384640061674696]","[0.6954285714285714, 0.9148571428571428]"
1,0,0.6153590861595039,0.8923611111111112,"[0.6657518394065626, 0.6153590861595039]","[0.8957426679280984, 0.8923611111111112]"
1,4,0.20837630720978434,0.9527619047619048,"[0.3971452450210398, 0.20837630720978434]","[0.9152380952380952, 0.9527619047619048]"
1,6,0.6122513286995165,0.9031764255644853,"[0.6754781874743375, 0.6122513286995165]","[0.8958924853303047, 0.9031764255644853]"
1,7,0.2085775378301288,0.9514285714285714,"[0.3958581707242763, 0.2085775378301288]","[0.9165714285714286, 0.9514285714285714]"
1,3,0.21463419416862906,0.9457142857142857,"[0.40030671014930264, 0.21463419416862906]","[0.9140952380952381, 0.9457142857142857]"
1,5,0.216791598837484,0.9487619047619048,"[0.3999797155008172, 0.216791598837484]","[0.9161904761904762, 0.9487619047619048]"
1,1,0.6470458738731616,0.886273771417812,"[0.6739248145710338, 0.6470458738731616]","[0.8966782541521823, 0.886273771417812]"
1,2,0.22036282371616725,0.9462857142857143,"[0.4044962305011171, 0.22036282371616725]","[0.9125714285714286, 0.9462857142857143]"
2,3,0.1521244082148328,0.9638095238095238,"[0.24024777845902875, 0.1521244082148328]","[0.9411428571428572, 0.9638095238095238]"
2,5,0.15859439982609316,0.964,"[0.23907338922674007, 0.15859439982609316]","[0.9438095238095238, 0.964]"
2,7,0.1494849427631407,0.9651428571428572,"[0.23659567724574695, 0.1494849427631407]","[0.9426666666666667, 0.9651428571428572]"
2,2,0.15873856563685518,0.9641904761904762,"[0.24614085308981665, 0.15873856563685518]","[0.9377142857142857, 0.9641904761904762]"
2,1,0.27617712910428194,0.9358278402481582,"[0.2747495617378842, 0.27617712910428194]","[0.9350574712643678, 0.9358278402481582]"
2,4,0.1481723521017667,0.9695238095238096,"[0.23716711334206841, 0.1481723521017667]","[0.9419047619047619, 0.9695238095238096]"
