test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.1076078833863376,0.196,0.1345660080951985,0.17790721647951208,0.196,0.411,0.991,0.203,0.0,0.081,0.0,0.004,0.0,0.27,0.0,orchestrator,0
1.8366961791492498,0.2152,0.12574285859775639,0.25824420944132165,0.21519999999999997,0.036,0.992,0.0,0.0,0.755,0.0,0.012,0.0,0.356,0.001,orchestrator,1
0.9876442812502194,0.7209,0.7126189565502672,0.7304173558911276,0.7209,0.594,0.943,0.455,0.666,0.841,0.856,0.282,0.755,0.871,0.946,orchestrator,2
0.8757811715237249,0.7424,0.723222116479568,0.7411283771697493,0.7424000000000001,0.759,0.969,0.571,0.68,0.831,0.808,0.157,0.803,0.877,0.969,orchestrator,3
0.7568528858807902,0.7758,0.7679836035389804,0.7782521897071002,0.7758,0.75,0.93,0.696,0.88,0.737,0.804,0.301,0.808,0.877,0.975,orchestrator,4
0.6582873176081112,0.7923,0.786433582302562,0.7933841865752507,0.7922999999999999,0.755,0.947,0.677,0.847,0.815,0.859,0.339,0.829,0.882,0.973,orchestrator,5
0.5909656442392367,0.806,0.8013490908372688,0.8036040605578314,0.806,0.747,0.958,0.699,0.828,0.808,0.847,0.39,0.911,0.922,0.95,orchestrator,6
0.5674960103850014,0.8146,0.8130806285081069,0.8146393721265252,0.8145999999999999,0.747,0.954,0.684,0.813,0.809,0.888,0.498,0.867,0.922,0.964,orchestrator,7
0.5546218492923835,0.8123,0.807453935883116,0.8135757823635524,0.8122999999999999,0.762,0.96,0.674,0.829,0.865,0.865,0.386,0.894,0.923,0.965,orchestrator,8
0.5184609734307463,0.827,0.826572027467846,0.8273764866637926,0.827,0.796,0.957,0.692,0.825,0.74,0.876,0.565,0.921,0.94,0.958,orchestrator,9
0.522873786120369,0.8266,0.8225814124200962,0.8258788859779485,0.8266,0.834,0.937,0.716,0.902,0.765,0.881,0.457,0.855,0.942,0.977,orchestrator,10
0.5132060847438562,0.828,0.8235656966879168,0.8291408942623082,0.828,0.803,0.961,0.642,0.894,0.833,0.899,0.459,0.866,0.948,0.975,orchestrator,11
0.47716466054177514,0.8402,0.8388548955375159,0.8392793901381126,0.8402,0.839,0.961,0.718,0.833,0.781,0.902,0.544,0.922,0.943,0.959,orchestrator,12
0.4618009142696667,0.8406,0.8364882317423368,0.8401275417096343,0.8406,0.836,0.962,0.73,0.891,0.829,0.892,0.46,0.902,0.936,0.968,orchestrator,13
