iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.9739742528308521,0.8476190476190476,"[1.537402874773199, 0.9739742528308521]","[0.6714285714285714, 0.8476190476190476]"
0,6,0.9328343684023077,0.8575238095238096,"[1.4958335305705215, 0.9328343684023077]","[0.6847619047619048, 0.8575238095238096]"
0,4,0.9590168147376089,0.8459047619047619,"[1.5333286079493436, 0.9590168147376089]","[0.6777142857142857, 0.8459047619047619]"
0,3,0.9601688179102811,0.8447619047619047,"[1.5139161619273098, 0.9601688179102811]","[0.680952380952381, 0.8447619047619047]"
0,2,0.9778855276830268,0.8481904761904762,"[1.5374111247785163, 0.9778855276830268]","[0.6897142857142857, 0.8481904761904762]"
0,0,0.9542149402878501,0.8582857142857143,"[1.5257135730801206, 0.9542149402878501]","[0.6643809523809524, 0.8582857142857143]"
0,1,0.9464268185875633,0.8700952380952381,"[1.5324339447599469, 0.9464268185875633]","[0.6998095238095238, 0.8700952380952381]"
0,5,0.9648365931077437,0.8563809523809524,"[1.5337926756251943, 0.9648365931077437]","[0.6918095238095238, 0.8563809523809524]"
1,0,0.5806505409154025,0.9139047619047619,"[0.7876627383810101, 0.5806505409154025]","[0.8876190476190476, 0.9139047619047619]"
1,4,0.5746927906166424,0.9121904761904762,"[0.7816357327230049, 0.5746927906166424]","[0.88, 0.9121904761904762]"
1,6,0.5783857654441487,0.9171428571428571,"[0.7784039947119626, 0.5783857654441487]","[0.8815238095238095, 0.9171428571428571]"
1,7,0.6101671112306191,0.9030476190476191,"[0.7974516677133965, 0.6101671112306191]","[0.8754285714285714, 0.9030476190476191]"
1,3,0.5916681500998411,0.9062857142857143,"[0.7950624722422975, 0.5916681500998411]","[0.8777142857142857, 0.9062857142857143]"
1,5,0.5859411673112349,0.9102857142857143,"[0.796021756439498, 0.5859411673112349]","[0.8784761904761905, 0.9102857142857143]"
1,1,0.5864138010776404,0.911047619047619,"[0.796073393388228, 0.5864138010776404]","[0.8838095238095238, 0.911047619047619]"
1,2,0.5929616026806109,0.9062857142857143,"[0.7907895675211242, 0.5929616026806109]","[0.8744761904761905, 0.9062857142857143]"
2,3,0.4107460123119932,0.927047619047619,"[0.49026750217784537, 0.4107460123119932]","[0.9139047619047619, 0.927047619047619]"
2,5,0.40495595516580524,0.9348571428571428,"[0.49018906102035986, 0.40495595516580524]","[0.9211428571428572, 0.9348571428571428]"
2,7,0.4199651859926455,0.9283809523809524,"[0.4953891071406278, 0.4199651859926455]","[0.9125714285714286, 0.9283809523809524]"
2,2,0.41019373418706834,0.9299047619047619,"[0.4888477858268853, 0.41019373418706834]","[0.9140952380952381, 0.9299047619047619]"
2,1,0.41245075346845567,0.9295238095238095,"[0.49136453397346264, 0.41245075346845567]","[0.9179047619047619, 0.9295238095238095]"
2,4,0.4039864519328782,0.9300952380952381,"[0.4803054713841641, 0.4039864519328782]","[0.9188571428571428, 0.9300952380952381]"
2,6,0.40171054782289445,0.9380952380952381,"[0.48090850963737025, 0.40171054782289445]","[0.9236190476190477, 0.9380952380952381]"
2,0,0.4083358939849969,0.9312380952380952,"[0.48563301834193146, 0.4083358939849969]","[0.92, 0.9312380952380952]"
3,2,0.3329127690105727,0.9401904761904762,"[0.3673687842759219, 0.3329127690105727]","[0.9293333333333333, 0.9401904761904762]"
3,0,0.31792014385714673,0.9424761904761905,"[0.3632424045692791, 0.31792014385714673]","[0.9342857142857143, 0.9424761904761905]"
3,3,0.3230621840917703,0.9394285714285714,"[0.36858891700253343, 0.3230621840917703]","[0.9291428571428572, 0.9394285714285714]"
3,4,0.3345639661406026,0.9354285714285714,"[0.36043219737934346, 0.3345639661406026]","[0.9318095238095238, 0.9354285714285714]"
3,7,0.32463363616755514,0.9396190476190476,"[0.3710457260861541, 0.32463363616755514]","[0.9312380952380952, 0.9396190476190476]"
3,1,0.3186710438041976,0.9411428571428572,"[0.3669661135384531, 0.3186710438041976]","[0.9327619047619048, 0.9411428571428572]"
3,5,0.3160657157500585,0.9426666666666667,"[0.3648316216288191, 0.3160657157500585]","[0.9358095238095238, 0.9426666666666667]"
3,6,0.31484924058119457,0.948,"[0.35963683886961506, 0.31484924058119457]","[0.9379047619047619, 0.948]"
4,3,0.27125606324636575,0.9466666666666667,"[0.3011485581145142, 0.27125606324636575]","[0.94, 0.9466666666666667]"
4,6,0.2628276119177992,0.9527619047619048,"[0.2948161883336125, 0.2628276119177992]","[0.9457142857142857, 0.9527619047619048]"
4,0,0.2663077893130707,0.9508571428571428,"[0.29765483971798057, 0.2663077893130707]","[0.9436190476190476, 0.9508571428571428]"
4,5,0.26457214373530763,0.9506666666666667,"[0.2969338319518349, 0.26457214373530763]","[0.9443809523809524, 0.9506666666666667]"
4,4,0.26750851409001786,0.9472380952380952,"[0.2960562925447117, 0.26750851409001786]","[0.9392380952380952, 0.9472380952380952]"
4,1,0.26923420456322755,0.9485714285714286,"[0.30036401522882056, 0.26923420456322755]","[0.9417142857142857, 0.9485714285714286]"
4,2,0.2692222339637352,0.948952380952381,"[0.3008838176727295, 0.2692222339637352]","[0.9422857142857143, 0.948952380952381]"
4,7,0.2718146347638333,0.9474285714285714,"[0.304113939946348, 0.2718146347638333]","[0.9388571428571428, 0.9474285714285714]"
5,2,0.23353940338799448,0.9540952380952381,"[0.2577218933538957, 0.23353940338799448]","[0.9497142857142857, 0.9540952380952381]"
5,6,0.22757705508759526,0.9571428571428572,"[0.2524519577622414, 0.22757705508759526]","[0.9512380952380952, 0.9571428571428572]"
5,0,0.2340820082209327,0.9561904761904761,"[0.25540508406631873, 0.2340820082209327]","[0.9499047619047619, 0.9561904761904761]"
5,7,0.23721504789410217,0.9539047619047619,"[0.2606769361730778, 0.23721504789410217]","[0.9468571428571428, 0.9539047619047619]"
5,5,0.22775567783550782,0.9571428571428572,"[0.2528623447273717, 0.22775567783550782]","[0.9499047619047619, 0.9571428571428572]"
