2025-02-25 15:13:01,671 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.6955589334063492, accuracy: 0.29560697518443996
2025-02-25 15:13:01,682 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.6298363521974784, accuracy: 0.31572769953051644
2025-02-25 15:13:01,901 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.7053587177803304, accuracy: 0.28487592219986585
2025-02-25 15:13:24,516 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.368128183060613, accuracy: 0.43729040912139505
2025-02-25 15:13:24,888 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.4188546405720648, accuracy: 0.44818913480885314
2025-02-25 15:13:24,997 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.4510144071988063, accuracy: 0.40945674044265595
2025-02-25 15:13:47,353 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.2415056228637695, accuracy: 0.49580818242790076
2025-02-25 15:13:48,150 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.2907652084693193, accuracy: 0.4894366197183099
2025-02-25 15:13:48,267 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.2738078505040493, accuracy: 0.5067069081153588
2025-02-25 15:13:56,396 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.1507826468260616, accuracy: 0.14794197031039136
2025-02-25 15:13:57,312 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.157352889830561, accuracy: 0.1376193724420191
2025-02-25 15:15:15,153 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.905319113514059, accuracy: 0.20953177257525082
2025-02-25 15:15:15,967 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.9239714695365435, accuracy: 0.19105219552609776
2025-02-25 15:16:37,843 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.8522535693549598, accuracy: 0.22395656599932134
2025-02-25 15:16:38,296 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.8552869312245468, accuracy: 0.2057951926243003
2025-02-25 15:22:00,341 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.4390801477368331, accuracy: 0.4227028839704896
2025-02-25 15:22:00,890 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.429419335826792, accuracy: 0.443326626425218
2025-02-25 15:22:01,042 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.4021988095610776, accuracy: 0.4216968477531858
2025-02-25 15:22:23,669 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.2670527902748885, accuracy: 0.4968142186452046
2025-02-25 15:22:23,904 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.2387577988826557, accuracy: 0.5288397048960429
