2025-03-09 14:27:07,867 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.0546901859177484, accuracy: 0.46781833379771526
2025-03-09 14:27:07,881 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.0128449991014268, accuracy: 0.507940930621343
2025-03-09 14:27:08,582 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.0225059201982287, accuracy: 0.5004179437169128
2025-03-09 14:27:09,764 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.0426096018155415, accuracy: 0.48063527444970744
2025-03-09 14:27:10,097 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.0536634585592481, accuracy: 0.48509334076344385
2025-03-09 14:27:27,134 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.7728760796123081, accuracy: 0.6400111451657844
2025-03-09 14:27:27,161 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.8120337396197849, accuracy: 0.6227361382000557
2025-03-09 14:27:27,564 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.7618414358297984, accuracy: 0.6625801058790749
2025-03-09 14:27:29,284 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.8008184223704868, accuracy: 0.6400111451657844
2025-03-09 14:27:29,484 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.8250515970918867, accuracy: 0.6079687935358038
2025-03-09 14:27:46,333 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 0.6257020835081736, accuracy: 0.7408748955140708
2025-03-09 14:27:46,481 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 0.6814767347441779, accuracy: 0.6937865700752298
2025-03-09 14:27:46,810 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 7] Training on 7 results: loss: 0.676207867330975, accuracy: 0.6868208414600168
2025-03-09 14:27:48,499 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 5] Training on 5 results: loss: 0.6477814190917545, accuracy: 0.7319587628865979
2025-03-09 14:27:49,326 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 0.7219755942291683, accuracy: 0.6558930064084704
2025-03-09 14:27:53,580 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.7563657808303832, accuracy: 0.31587885649589587
2025-03-09 14:27:54,546 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.7081933938132392, accuracy: 0.33390508862206975
2025-03-09 14:27:55,810 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.818904276423984, accuracy: 0.327212020033389
2025-03-09 14:28:52,945 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.2912049780951607, accuracy: 0.34418475236505286
2025-03-09 14:28:53,908 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.275398038228353, accuracy: 0.3648533181429792
2025-03-09 14:28:55,074 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.2441146998935275, accuracy: 0.4176762114537445
2025-03-09 14:29:53,772 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 6] Training on 6 results: loss: 1.1821271832784017, accuracy: 0.4226057906458797
