iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.676207867330975,0.6868208414600168,"[1.0128449991014268, 0.7728760796123081, 0.676207867330975]","[0.507940930621343, 0.6400111451657844, 0.6868208414600168]"
0,6,1.1821271832784017,0.4226057906458797,"[1.7563657808303832, 1.2912049780951607, 1.1821271832784017]","[0.31587885649589587, 0.34418475236505286, 0.4226057906458797]"
0,4,0.6257020835081736,0.7408748955140708,"[1.0225059201982287, 0.7618414358297984, 0.6257020835081736]","[0.5004179437169128, 0.6625801058790749, 0.7408748955140708]"
0,3,0.6814767347441779,0.6937865700752298,"[1.0546901859177484, 0.8120337396197849, 0.6814767347441779]","[0.46781833379771526, 0.6227361382000557, 0.6937865700752298]"
0,2,0.7219755942291683,0.6558930064084704,"[1.0426096018155415, 0.8250515970918867, 0.7219755942291683]","[0.48063527444970744, 0.6079687935358038, 0.6558930064084704]"
0,0,1.1569355487823487,0.4392312040700961,"[1.818904276423984, 1.2441146998935275, 1.1569355487823487]","[0.327212020033389, 0.4176762114537445, 0.4392312040700961]"
0,1,1.1798248794343738,0.38812154696132595,"[1.7081933938132392, 1.275398038228353, 1.1798248794343738]","[0.33390508862206975, 0.3648533181429792, 0.38812154696132595]"
0,5,0.6477814190917545,0.7319587628865979,"[1.0536634585592481, 0.8008184223704868, 0.6477814190917545]","[0.48509334076344385, 0.6400111451657844, 0.7319587628865979]"
1,0,0.9770312028461032,0.5688573766021271,"[1.8446197721693252, 1.123456104596456, 0.9770312028461032]","[0.5672448109183964, 0.5717092337917485, 0.5688573766021271]"
1,4,0.5278822587596046,0.7804402340484815,"[0.8229423549440172, 0.639101333088345, 0.5278822587596046]","[0.636110337141265, 0.7249930342713848, 0.7804402340484815]"
1,6,0.9666309834851159,0.5767832167832168,"[1.9794056452645197, 1.205667729112837, 0.9666309834851159]","[0.544355946168635, 0.5601001669449082, 0.5767832167832168]"
