2025-02-11 16:23:06,132 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.549090427381021, accuracy: 0.7612392266480317
2025-02-11 16:23:06,915 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.21221559221545855, accuracy: 0.9627300256231074
2025-02-11 16:23:07,311 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.1769126723072043, accuracy: 0.9699510831586303
2025-02-11 16:23:08,410 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.4830182299569801, accuracy: 0.8068949452597252
2025-02-11 16:23:11,792 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.20370700901581182, accuracy: 0.9610994642441183
2025-02-11 16:23:12,278 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.33992389274968043, accuracy: 0.8588399720475192
2025-02-11 16:23:13,352 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.04502443867839045, accuracy: 0.9909154437456325
2025-02-11 16:23:14,418 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.03868842540239846, accuracy: 0.9904495690659213
2025-02-11 16:23:15,371 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.28761834738155206, accuracy: 0.8825995807127882
2025-02-11 16:23:18,794 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.041569552356722175, accuracy: 0.9888190076869322
2025-02-11 16:23:29,821 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.1826364031544436, accuracy: 0.22846781504986402
2025-02-11 16:23:31,785 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.3054349307660704, accuracy: 0.22068480300187618
2025-02-11 16:23:32,918 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.1041814071160774, accuracy: 0.21927374301675978
2025-02-11 16:23:57,633 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.3231683077635588, accuracy: 0.6622547861025763
2025-02-11 16:24:00,434 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.3447428826932555, accuracy: 0.718225695242473
2025-02-11 16:24:00,703 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.2679200265142652, accuracy: 0.6070048309178744
2025-02-11 16:49:44,266 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.43401190362594744, accuracy: 0.8110878173771255
2025-02-11 16:49:46,760 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.08160828594118356, accuracy: 0.986722571628232
