iteration,node_id,accuracy,test_loss,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9
0,4,0.0,-0.6432815216888601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
0,1,-0.004592977579017332,-0.40252077798442354,-0.01849818330446555,-0.015012541274618665,-0.02078841592521749,0.004833612195575432,0.0,-0.17114093959731544,0.0,0.0,0.0,0.0,0.0,nan,nan
0,0,0.0,-0.7760944466708422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
0,3,-0.0038375536351000217,0.7320962033449252,-0.014438445210371104,-0.13201662022080007,-0.011912654114370702,0.0021379438557352914,0.0,-0.09228187919463088,0.0,0.0,0.0,-0.005157297576070139,0.0,nan,nan
0,2,-0.006738381579742547,-0.26185435364936627,-0.026334530462250053,-0.02083943432478204,-0.03838307745306785,0.015151515151515138,-0.00510204081632653,-0.31711409395973156,0.0,0.0,0.0,0.0,0.0,nan,nan
1,0,0.004864930198827611,-0.47579359086369966,0.01864634629569816,0.0036570997981468234,0.022105193918432492,-0.005205428518311961,0.0,0.1820469798657718,0.0,0.0,0.0,0.0,0.0,nan,nan
1,1,-0.004200157128180282,-0.40943320751651147,-0.007452244978389394,-0.003687946115572903,-0.02045087252065264,0.005856107083100914,0.0,-0.16946308724832215,0.0,0.0,0.0,0.0,0.0,nan,nan
1,2,-0.004169940170423603,-0.22623692347036606,-0.013904033896287957,-0.010416557578656838,-0.03651952661775304,0.0226807956869306,-0.017857142857142856,-0.29697986577181207,0.0,0.0,0.0,0.0,0.0,nan,nan
1,4,0.004955581072097703,-0.21913838507531036,0.019303879195601767,0.015415178820171689,0.022419791233868724,-0.005205428518311961,0.0,0.18456375838926176,0.0,0.0,0.0,0.0,0.0,nan,nan
1,3,-0.004804496283314141,0.7788224795868337,-0.008221457199123552,-0.1279288558902311,-0.017165966790673615,0.006506785647889979,0.0,-0.13506711409395972,0.0,0.0,0.0,-0.008767405879319236,0.0,nan,nan
2,4,0.003595817973046478,0.022556909390150537,0.006030649437898591,0.003124725147989567,0.02115095243620793,-0.00864472950362516,0.0,0.1778523489932886,0.0,0.0,0.0,0.0,0.0,nan,nan
2,3,-0.006677947664229189,0.6267359585736676,-0.007575393968292571,-0.11939344781340397,-0.004084062670208027,-0.002044989775051076,0.0,-0.005872483221476488,0.0,0.0,0.0,-0.02475502836513667,0.0,nan,nan
2,0,0.0027195261981023955,-0.32920182701929424,0.00489638380431473,0.002578453189732932,0.017830105518477912,-0.008365867261572735,0.0,0.15100671140939598,0.0,0.0,0.0,0.0,0.0,nan,nan
2,1,-0.0015108478878346765,-0.40255328138534807,-0.0026853346815203516,-0.0016273757269775133,-0.012143530458369661,0.006878601970626508,0.0,-0.10402684563758385,0.0,0.0,0.0,0.0,0.0,nan,nan
2,2,0.0016619326766181275,-0.2236975582974603,-0.012113879744431094,-0.01065700423825025,-0.026958666956172606,0.03457891801450086,-0.04974489795918367,-0.20050335570469796,0.0,0.0,0.0,0.0,0.0,nan,nan
3,4,0.0013295461412944909,0.10844353819423524,0.0017161491683382324,0.0010016607588318183,0.006385777682536231,-0.0017661275329987625,0.0,0.05285234899328861,0.0,0.0,0.0,0.0,0.0,nan,nan
3,0,0.0007252069861606314,-0.2401744542979225,-0.0014549243172806287,-0.05171387878941883,0.011284886462690102,-0.005391336679680281,0.0,0.11325503355704697,-0.017584605175846053,0.0,0.0,0.0,0.0,nan,nan
3,3,-0.0040792892971535655,0.6233324330460346,-0.004758228152158012,-0.12037229704092818,-0.00011201645230826673,-0.0004647704034207445,0.0,0.019295302013422833,0.0,0.0,0.0,-0.01972666322846828,0.0,nan,nan
3,1,-0.0003021695775669575,-0.5620875632261635,-0.0004204870705151881,-0.0003525705413835456,0.0011892585633166974,-0.002230897936419396,0.0,0.011744966442953031,0.0,0.0,0.0,0.0,0.0,nan,nan
3,2,0.0026590922825889818,-0.22160284423551513,-0.012545910254612658,-0.010665499518288726,-0.02226700407097748,0.033928239449711795,-0.06441326530612244,-0.14765100671140935,0.0,0.0,0.0,0.0,0.0,nan,nan
4,2,0.005167099776394513,-0.3065743324202348,-0.012143042198094839,-0.010904813757632942,-0.018884454800094735,0.03978434653281271,-0.0784438775510204,-0.11241610738255037,0.0,0.0,0.0,0.0,0.0,nan,nan
4,1,0.0006345561128905941,-0.4619825922273222,-0.00010192841506354022,-5.8435631924980136e-05,-0.0019006653079150782,0.004089979550102263,0.0,-0.019295302013422777,0.0,0.0,0.0,0.0,0.0,nan,nan
4,0,-0.009246389073548078,-0.2989206312358412,-0.02551660162363381,-0.055385130813852324,0.003174372121892255,-0.008737683584309375,0.0,0.17281879194630873,-0.1386861313868613,0.0,0.0,0.0,0.0,nan,nan
4,3,-0.017465401583368567,0.5980544194845598,-0.01925632812573856,-0.11802184634930696,-0.009184039941307148,0.002788622420524245,0.0,0.002516778523489971,0.0,0.0,0.0,-0.07877772047447137,0.0,nan,nan
4,4,0.0009367256904574961,0.1131514873177375,0.001178525833845312,0.0007262164666436421,0.0042765505551666805,-0.0010224948875255935,0.0,0.03523489932885904,0.0,0.0,0.0,0.0,0.0,nan,nan
5,4,0.0005136882818637667,0.08360192446157821,0.0007270522348903352,0.0004442137335917279,0.002062457655985034,-0.0002788622420524245,0.0,0.016778523489932806,0.0,0.0,0.0,0.0,0.0,nan,nan
5,2,0.008128361636550396,-0.25931782950635984,-0.01381960503530881,-0.054015617319337184,-0.01969615806368008,0.05224019334448782,-0.11352040816326531,-0.09563758389261745,0.0,0.0,-0.0006514657980456026,0.0,0.0,nan,nan
5,1,9.06508732700928e-05,-0.5336916027811203,-0.00020539191593636763,-0.00012125942672229495,-0.0009908538487356233,0.001301357129578018,0.0,-0.009228187919463116,0.0,0.0,0.0,0.0,0.0,nan,nan
5,3,-0.01809995769625916,0.49075762285824354,-0.01939920343509581,-0.1152215019848861,-0.003670443830161796,-0.002602714259155925,0.0,0.05536912751677847,0.0,0.0,0.0,-0.08212996389891697,0.0,nan,nan
5,0,-0.02139360609173868,-0.18144093855041543,-0.045981527014774815,-0.05874197033925285,-0.010216520884541086,-0.007901096858152101,0.0,0.2197986577181208,-0.29362972793629727,0.0,0.0,0.0,0.0,nan,nan
6,2,0.003474950142019706,-0.3212260790871442,-0.010509263095655627,-0.07243147902361438,-0.01569310191443496,0.030117122141662067,-0.06058673469387755,-0.09312080536912748,0.0,0.0,-0.001954397394136808,0.0,0.0,nan,nan
6,0,-0.020215144739227642,-0.17762360853985193,-0.04400135367277,-0.05806031781465862,-0.010601464728491439,-0.008179959100204526,0.0,0.1921140939597316,-0.26874585268745854,0.0,0.0,0.0,0.0,nan,nan
6,3,-0.028645675953344996,0.48131158053442835,-0.02944465550213768,-0.11414794846399323,-0.010410779024849492,0.0002788622420524245,0.0,0.04614093959731547,0.0,0.0,0.0,-0.129706034038164,0.0,nan,nan
6,4,0.0003323865353236366,0.2153423478374048,0.0004707115903697101,0.00026680936886880335,-5.86811625123973e-05,0.0012084030488939135,0.0,-0.001677852348993203,0.0,0.0,0.0,0.0,0.0,nan,nan
6,1,-6.0433915513358194e-05,-0.5530970151324155,0.0001859559536691313,0.00010085262159476027,0.0035201289254383483,-0.003718163227365623,0.0,0.03187919463087252,0.0,0.0,0.0,0.0,0.0,nan,nan
7,0,-0.019822324288390647,-0.12106247236902679,-0.04436406837135262,-0.05827567991976332,-0.012423705296011056,-0.004182933630786367,0.0,0.1778523489932886,-0.2730590577305906,0.0,0.0,0.0,0.0,nan,nan
7,3,-0.024747688402731616,0.45124300935523065,-0.026074774633152775,-0.12724994271472215,-0.006455158705427094,-0.001301357129578018,-0.0006377551020408163,0.06375838926174504,0.0,0.0,0.0,-0.11346054667354306,0.0,nan,nan
7,1,0.0005136882818637667,-0.5710350942819113,0.0001448577847017185,-1.4288078238777757e-05,0.006072057660227226,-0.004275887711470583,0.0,0.05285234899328861,0.0,0.0,0.0,0.0,0.0,nan,nan
7,2,0.0032634314377228413,-0.3298634775829177,-0.008530227991522588,-0.053465861627438716,-0.015015165359062194,0.027979178285926776,-0.04081632653061224,-0.10402684563758391,0.0,0.0,-0.003257328990228013,0.0,0.0,nan,nan
7,4,0.0005741221973771804,0.2753646566765271,0.0004036798986632034,0.00021562631109790786,-0.0021103968515392424,0.004089979550102263,0.0,-0.02097315436241609,0.0,0.0,0.0,0.0,0.0,nan,nan
8,3,-0.027165045023267054,0.5404387573333915,-0.02831064730955843,-0.11305153491350634,-0.008366283592485757,0.001859081613682867,0.0,0.0587248322147651,0.0,0.0,0.0,-0.1275141825683342,0.0,nan,nan
8,4,0.0003626034930803712,0.23381603657190997,0.0005085764284637473,0.0002598563863876746,-0.0035904293480363003,0.004833612195575432,0.0,-0.03355704697986572,0.0,0.0,0.0,0.0,0.0,nan,nan
8,2,0.001933885296428406,-0.30682329580713574,-0.007210781261905039,-0.06247444594611315,-0.013333760828897201,0.021193530395984372,-0.024872448979591837,-0.09647651006711411,0.0,0.0,-0.006514657980456026,0.0,0.0,nan,nan
8,1,0.001964102254185085,-0.603102181313866,0.0009480087066106313,-0.1248024489765664,0.01320873487269053,-0.006320877486521659,0.0,0.11241610738255037,0.0,-0.0004253509145044662,0.0,0.0,0.0,nan,nan
8,0,-0.013899800568078768,-0.10335059108913836,-0.0348807157323955,-0.05818558641809607,-0.010280424965082663,-0.0023238520171035004,0.0,0.10654362416107388,-0.1864631718646317,0.0,0.0,0.0,0.0,nan,nan
9,3,-0.03441711488487337,0.48022204916969224,-0.0360753673510138,-0.12027418789530797,-0.017538112328685462,0.005856107083101025,-0.0031887755102040817,0.01342281879194629,0.0,0.0,0.0,-0.15639504899432696,0.0,nan,nan
9,2,0.0035656010152897988,-0.4225807891138631,-0.009885754953287876,-0.038299756421918796,-0.009805247292410058,0.024353969139245257,-0.05293367346938776,-0.04530201342281881,0.0,0.0,-0.004560260586319218,0.0,0.0,nan,nan
9,4,0.0001813017465401856,0.2699116269075219,0.0006066888499366846,0.00030908788847182345,0.00025620858396624424,0.00037181632273664,0.0,0.001677852348993314,0.0,0.0,0.0,0.0,0.0,nan,nan
9,0,-0.01770713724542211,-0.11321688689374287,-0.0401509836952158,-0.05536936117222031,-0.012167963463295017,-0.005019520356943641,0.0,0.13926174496644295,-0.23158593231585933,0.0,0.0,0.0,0.0,nan,nan
9,1,0.0005741221973771804,-0.4593966426107263,-6.50319606270433e-05,-3.937863081615589e-05,-0.0011779317342736073,0.003160438743260885,0.0,-0.012583892617449632,0.0,0.0,0.0,0.0,0.0,nan,nan
10,1,0.004955581072097703,-0.7526367880285161,0.0030284243700191837,-0.06319779496941429,0.028304468775913666,-0.01096858152072877,0.0,0.23825503355704697,0.0,-0.0008507018290089324,0.0,0.0,0.0,nan,nan
10,4,0.0004230374085937294,0.2650424803784066,0.0006856944262332021,0.0004953581154586301,-0.004313162921677743,0.00576315300241681,0.0,-0.04026845637583887,0.0,0.0,0.0,0.0,0.0,nan,nan
10,0,-0.018976249471203188,-0.00023997158402710994,-0.04269851790922949,-0.056601088128181556,-0.01747237583385336,0.000743632645473169,0.0,0.11661073825503354,-0.25713337757133375,0.0,0.0,0.0,0.0,nan,nan
10,2,0.0025684414093189445,-0.3524019026191638,-0.012885504346780721,-0.048560314230874146,-0.01779857757220482,0.029187581334820578,-0.04846938775510204,-0.10486577181208057,0.0,0.0,-0.018241042345276872,0.0,0.0,nan,nan
10,3,-0.022269897866682764,0.5207104478382503,-0.02498197741871251,-0.12448125414180196,-0.011802751252504545,0.007343372374047252,-0.001913265306122449,0.005872483221476488,0.0,0.0,0.0,-0.10572460030943785,0.0,nan,nan
11,3,-0.030881730827340304,0.45747777285237046,-0.03372590963531483,-0.11998771046349987,-0.017685086956183177,0.008551775422941055,-0.004464285714285714,-0.003355704697986517,0.0,0.0,0.0,-0.1422124806601341,0.0,nan,nan
11,0,-0.016861062428234708,-0.0961246404053222,-0.03912899560781585,-0.05560942590029602,-0.012860591438997038,-0.002602714259155925,0.0,0.125,-0.22528201725282018,0.0,0.0,0.0,0.0,nan,nan
11,2,0.0013899800568079046,-0.4463491057819535,-0.011994023049589075,-0.058487431101362924,-0.012634287504837138,0.01961331102435404,-0.04017857142857143,-0.06291946308724827,0.0,0.0,-0.01758957654723127,0.0,0.0,nan,nan
11,1,0.0004532543663504085,-0.4564449356165756,-0.0016147189522607575,-0.05049502119729342,0.007533547019640541,-0.005298382598996065,-0.0006377551020408163,0.07130872483221484,0.0,-0.005104210974053594,0.0,0.0,0.0,nan,nan
11,4,0.0006345561128905941,0.29478694287517193,0.0008244282513820145,0.0004948341532903383,0.0009899765556083961,0.0012084030488939135,0.0,0.006711409395973256,0.0,0.0,0.0,0.0,0.0,nan,nan
12,1,0.0002417356620535993,-0.45797050223942826,-0.004088065903562768,-0.04868255646342398,0.0099365449324198,-0.007343372374047252,-0.0006377551020408163,0.10151006711409394,0.0,-0.014036580178647383,0.0,0.0,0.0,nan,nan
12,3,-0.02160512479603549,0.3580865095985746,-0.024465235752741968,-0.12646334599853487,-0.007589560589913946,0.0012084030488938025,-0.004464285714285714,0.04194630872483229,0.0,0.0,0.0,-0.09940691077875194,0.0,nan,nan
12,2,0.0002719526198102784,-0.38367537601723534,-0.01139594615717232,-0.045529073657701424,-0.00834387212295648,0.011247443762781195,-0.0274234693877551,-0.025167785234899265,0.0,0.0,-0.025407166123778503,0.0,0.0,nan,nan
12,0,-0.02323684051489694,-0.1061949922359755,-0.048218195252210105,-0.055508889945071443,-0.019773783234817877,0.000557724484104849,0.0,0.162751677852349,-0.3214996682149967,0.0,0.0,0.0,0.0,nan,nan
12,4,0.0004532543663504085,0.2920835460943554,0.00038012653248924166,0.00022010399060988506,-0.00681919947820947,0.008365867261572735,0.0,-0.06291946308724827,0.0,0.0,0.0,0.0,0.0,nan,nan
13,3,-0.02710461110775364,0.4147168014751301,-0.03048295716850745,-0.11437810798594747,-0.009647671867711677,-0.0025097601784719314,-0.010841836734693877,0.054530201342281925,0.0,0.0,0.0,-0.11835997937080969,0.0,nan,nan
13,1,0.014020668399105596,-0.37998279095157006,0.0010923436406397452,-0.03829801505771949,-0.007568845342709685,0.05633017289458997,-0.0031887755102040817,-0.11241610738255026,0.0,-0.0012760527435133986,0.0,0.0,0.0,nan,nan
13,0,-0.01945972079531033,-0.04018698342472238,-0.037725801636184594,-0.047095386136161085,-0.009474467545300791,-0.018683770217512552,0.0012755102040816326,0.1476510067114094,-0.20603848706038488,0.0,0.0,0.0,0.0,nan,nan
13,4,-0.0018130174654015785,0.25467889247855524,0.0003069467521687186,0.008417525717638083,0.002516179537184693,-0.00883063766499359,0.0012755102040816326,0.027684563758389347,0.0,0.0,0.0,0.0,0.0,nan,nan
13,2,0.0005439052396205013,-0.5129495615426789,-0.01276557577277436,-0.03894856312111368,-0.006539889345055561,0.01059676519799213,-0.026147959183673467,-0.004194630872483174,0.0,0.0,-0.03257328990228013,0.0,0.0,nan,nan
14,1,0.0005136882818637667,-0.4964315158379371,-0.003262185379021579,-0.04462813556154034,0.012476635272493208,-0.009295408068414224,-0.0006377551020408162,0.12080536912751672,0.0,-0.01105912377711612,0.0,0.0,0.0,nan,nan
14,2,0.0044116758324771466,-0.45386766246576293,-0.015058362496901928,-0.03477850134837292,-0.015422174132921213,0.033742331288343475,-0.04336734693877551,-0.07466442953020136,0.0,0.0,-0.03908794788273615,0.0,0.0,nan,nan
14,3,-0.037045990209705726,0.4333643622015799,-0.04116910819802018,-0.11692125560543927,-0.013655143213977011,0.0034393009853131984,-0.017219387755102043,0.0755033557046979,0.0,0.0,0.0,-0.17096441464672513,0.0,nan,nan
14,4,0.0004834713241070876,0.3325381788324764,0.0007673645157208892,-0.012384558669294152,-0.005459175310339431,0.007064510131994717,0.0012755102040816328,-0.052013422818791955,0.0,0.0,0.0,0.0,0.0,nan,nan
