2025-02-24 15:28:49,682 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.8705411858210281, accuracy: 0.3372857142857143
2025-02-24 15:28:50,199 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.7656813525173762, accuracy: 0.3792857142857143
2025-02-24 15:28:50,331 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.9733944932619731, accuracy: 0.269
2025-02-24 15:29:16,686 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.6406380979165638, accuracy: 0.4188571428571429
2025-02-24 15:29:16,976 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.5021937474540379, accuracy: 0.5025714285714286
2025-02-24 15:29:17,141 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.695503389998658, accuracy: 0.38857142857142857
2025-02-24 15:29:44,369 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.4966563717143175, accuracy: 0.46985714285714286
2025-02-24 15:29:45,314 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.360839992353361, accuracy: 0.55
2025-02-24 15:29:45,870 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.540307625651904, accuracy: 0.4482857142857143
2025-02-24 15:29:58,626 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.2187483411401376, accuracy: 0.2785755313038484
2025-02-24 15:29:59,149 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.0055331772865226, accuracy: 0.27838774920543197
2025-02-24 15:31:38,382 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.8828900170652834, accuracy: 0.33624200116346714
2025-02-24 15:31:38,434 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.891273545620104, accuracy: 0.3241084165477889
2025-02-24 15:33:20,545 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.8811590538177316, accuracy: 0.32390341477353907
2025-02-24 15:33:20,868 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.8386002945029027, accuracy: 0.33933125531311986
