2025-02-26 12:51:57,009 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.8754053975108766, accuracy: 0.33805714285714283
2025-02-26 12:51:58,501 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.961143310052635, accuracy: 0.3385142857142857
2025-02-26 12:51:58,622 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.9886028453381392, accuracy: 0.2729142857142857
2025-02-26 12:51:58,973 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.11127307467217, accuracy: 0.24525714285714287
2025-02-26 12:51:59,529 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.7641973445450303, accuracy: 0.4022857142857143
2025-02-26 12:52:13,546 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.6443795270293298, accuracy: 0.4198857142857143
2025-02-26 12:52:14,144 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.759515427759964, accuracy: 0.4038857142857143
2025-02-26 12:52:14,320 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.881460035369344, accuracy: 0.3270857142857143
2025-02-26 12:52:15,015 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.7251886098924345, accuracy: 0.3869714285714286
2025-02-26 12:52:15,797 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.4979614937392465, accuracy: 0.5110857142857143
2025-02-26 12:52:28,645 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 7] Training on 7 results: loss: 1.5045807257185888, accuracy: 0.4667428571428571
2025-02-26 12:52:30,252 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.727879764824888, accuracy: 0.3792
2025-02-26 12:52:30,650 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 5] Training on 5 results: loss: 1.5431459030530748, accuracy: 0.46377142857142856
2025-02-26 12:52:31,238 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.6271670497681974, accuracy: 0.44525714285714285
2025-02-26 12:52:32,017 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.3658456904609708, accuracy: 0.552
2025-02-26 12:52:49,348 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.213646643788275, accuracy: 0.21295876755777074
2025-02-26 12:52:49,914 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.3048718828354438, accuracy: 0.14799350498724195
2025-02-26 12:52:50,342 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.269657101509345, accuracy: 0.19039926148165243
2025-02-26 12:53:49,058 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 2.134296893638416, accuracy: 0.2232784604683515
2025-02-26 12:53:51,270 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 2.2208954078437637, accuracy: 0.16795454545454547
2025-02-26 12:53:54,135 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 2.0797133728535506, accuracy: 0.25188303057155514
2025-02-26 12:54:51,752 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 2.1172378154566687, accuracy: 0.2324833448196646
2025-02-26 12:54:55,512 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 6] Training on 6 results: loss: 2.2034484813683224, accuracy: 0.16674418604651162
2025-02-26 12:54:59,033 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 2.0559478389085646, accuracy: 0.2684472612041648
2025-02-26 13:42:00,273 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.771376314824515, accuracy: 0.3949714285714286
2025-02-26 13:42:00,292 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.8764737657386892, accuracy: 0.32342857142857145
2025-02-26 13:42:00,588 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.7574858678518421, accuracy: 0.36251428571428573
2025-02-26 13:42:00,764 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.5558316281242093, accuracy: 0.4870857142857143
2025-02-26 13:42:01,270 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.6641721960401883, accuracy: 0.39794285714285715
2025-02-26 13:42:15,692 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.6047181065065148, accuracy: 0.4473142857142857
2025-02-26 13:42:15,720 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.6948635234449902, accuracy: 0.39634285714285716
2025-02-26 13:42:15,926 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.5332622532426876, accuracy: 0.4592
2025-02-26 13:42:16,229 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.349663889756168, accuracy: 0.5590857142857143
2025-02-26 13:42:16,601 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.4895427801313192, accuracy: 0.47337142857142855
2025-02-26 13:42:30,907 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.5700961708152381, accuracy: 0.4425142857142857
