test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.088269167709351,0.2483,0.22662029571876302,0.3056722184826917,0.24830000000000002,0.254,0.398,0.077,0.189,0.078,0.076,0.516,0.559,0.189,0.147,orchestrator,0
1.7379467340469361,0.3665,0.3455759920120983,0.38107934426261386,0.3665000000000001,0.504,0.672,0.198,0.175,0.121,0.294,0.636,0.484,0.349,0.232,orchestrator,1
1.6361405385017396,0.3983,0.3757598428656822,0.4122548409519937,0.3983,0.571,0.697,0.265,0.191,0.119,0.292,0.739,0.466,0.417,0.226,orchestrator,2
1.5767777709960937,0.4281,0.4092500886857409,0.4346233087910084,0.4281,0.535,0.711,0.268,0.217,0.155,0.329,0.735,0.532,0.486,0.313,orchestrator,3
1.5591452368736267,0.4417,0.42484956526157625,0.4466539557155212,0.4417000000000001,0.54,0.725,0.308,0.218,0.2,0.346,0.732,0.549,0.511,0.288,orchestrator,4
1.5444866052627564,0.4555,0.43943396653976724,0.45876197390808365,0.45549999999999996,0.557,0.727,0.294,0.23,0.25,0.346,0.736,0.605,0.513,0.297,orchestrator,5
1.543317088317871,0.4632,0.44682178530371264,0.46606490651082966,0.46320000000000006,0.583,0.732,0.303,0.241,0.234,0.325,0.754,0.606,0.526,0.328,orchestrator,6
1.5356768321990968,0.476,0.461083389803146,0.4788641808979402,0.476,0.568,0.728,0.331,0.234,0.229,0.368,0.767,0.601,0.564,0.37,orchestrator,7
1.5677016432762145,0.4778,0.45838679945502514,0.48244363054083383,0.47780000000000006,0.556,0.784,0.331,0.242,0.214,0.333,0.766,0.624,0.6,0.328,orchestrator,8
1.532302163696289,0.4879,0.47300125696948303,0.48843549147392873,0.48789999999999994,0.604,0.747,0.357,0.267,0.236,0.377,0.732,0.645,0.564,0.35,orchestrator,9
1.5257431571006774,0.496,0.4829676592732731,0.49373295405342904,0.496,0.598,0.721,0.371,0.299,0.221,0.4,0.726,0.637,0.594,0.393,orchestrator,10
1.5517407616615295,0.5015,0.4888993442129005,0.49890400093221154,0.5015,0.608,0.763,0.364,0.263,0.281,0.402,0.714,0.647,0.577,0.396,orchestrator,11
1.57163250746727,0.5023,0.48929165094120997,0.500245094453318,0.5023,0.581,0.74,0.343,0.268,0.273,0.394,0.763,0.629,0.626,0.406,orchestrator,12
1.5598927453041076,0.5091,0.4973582128525039,0.5039966223194894,0.5091,0.613,0.723,0.338,0.286,0.293,0.406,0.74,0.654,0.609,0.429,orchestrator,13
1.567266932106018,0.5151,0.5041046385569639,0.5120083578034359,0.5151,0.599,0.729,0.338,0.284,0.287,0.434,0.723,0.689,0.608,0.46,orchestrator,14
1.6006037014484404,0.5143,0.502074348096545,0.5134696333502532,0.5143000000000001,0.627,0.758,0.361,0.257,0.302,0.424,0.745,0.636,0.63,0.403,orchestrator,15
1.634309642124176,0.5176,0.5048249214666258,0.5148783781008286,0.5176000000000001,0.644,0.752,0.32,0.259,0.328,0.43,0.747,0.659,0.607,0.43,orchestrator,16
1.6362311690330504,0.5254,0.513282448758065,0.5205110993168833,0.5254000000000001,0.642,0.724,0.322,0.27,0.298,0.469,0.735,0.66,0.633,0.501,orchestrator,17
1.6391329242229462,0.5278,0.518446963542559,0.5228333503093866,0.5278,0.616,0.726,0.329,0.308,0.342,0.424,0.726,0.678,0.641,0.488,orchestrator,18
1.6794662749290465,0.5293,0.519145310223246,0.5240890650968811,0.5293,0.6,0.742,0.321,0.321,0.343,0.421,0.709,0.702,0.645,0.489,orchestrator,19
1.6767478334903716,0.5303,0.5220420192642481,0.5270203121235435,0.5303,0.582,0.721,0.409,0.289,0.308,0.476,0.685,0.678,0.671,0.484,orchestrator,20
1.6976339997291565,0.5326,0.5252362720302399,0.5288256523179811,0.5326,0.591,0.736,0.386,0.352,0.327,0.439,0.706,0.638,0.681,0.47,orchestrator,21
1.75080048327446,0.5277,0.5186033952389998,0.5246771125599798,0.5277000000000001,0.619,0.725,0.339,0.329,0.38,0.398,0.747,0.63,0.665,0.445,orchestrator,22
1.742638885974884,0.5374,0.5291876243215716,0.5314677750772533,0.5374000000000001,0.617,0.741,0.393,0.303,0.343,0.456,0.709,0.657,0.651,0.504,orchestrator,23
1.7711942047595979,0.5404,0.5323160842887648,0.5329311315290347,0.5404,0.591,0.721,0.418,0.29,0.347,0.454,0.701,0.67,0.676,0.536,orchestrator,24
1.7869372570037843,0.5413,0.5344159740807579,0.5352566256491352,0.5413000000000001,0.63,0.703,0.384,0.311,0.338,0.483,0.686,0.659,0.658,0.561,orchestrator,25
1.8122376982212067,0.539,0.5332174791571669,0.5344414630545844,0.539,0.632,0.712,0.387,0.345,0.363,0.42,0.719,0.618,0.65,0.544,orchestrator,26
1.8380560178756713,0.5402,0.5350524236381721,0.5355747935165106,0.5402000000000001,0.611,0.73,0.4,0.348,0.345,0.45,0.669,0.648,0.676,0.525,orchestrator,27
1.8383581269264222,0.5411,0.536280360038078,0.5355633872107654,0.5410999999999999,0.617,0.692,0.413,0.327,0.377,0.432,0.693,0.648,0.638,0.574,orchestrator,28
1.8971414422273636,0.5377,0.5314816168696244,0.5344163876816751,0.5377,0.646,0.725,0.434,0.296,0.355,0.455,0.712,0.608,0.648,0.498,orchestrator,29
1.9306786561489104,0.5401,0.5334987389178901,0.5361276303871464,0.5401,0.6,0.726,0.358,0.331,0.369,0.484,0.708,0.607,0.694,0.524,orchestrator,30
1.9280720747947693,0.5426,0.536344120000329,0.5364594898464115,0.5426000000000001,0.625,0.698,0.374,0.317,0.407,0.462,0.688,0.649,0.684,0.522,orchestrator,31
1.953127645254135,0.5437,0.5386131697946948,0.5405536211125155,0.5437000000000001,0.607,0.722,0.387,0.349,0.389,0.468,0.7,0.643,0.67,0.502,orchestrator,32
1.9854337271690368,0.5458,0.539815220403929,0.5417575094704449,0.5458000000000001,0.632,0.765,0.408,0.35,0.399,0.422,0.682,0.652,0.666,0.482,orchestrator,33
1.9838284043312073,0.5472,0.5423830316150644,0.5422337165004265,0.5471999999999999,0.649,0.727,0.421,0.352,0.406,0.41,0.691,0.621,0.656,0.539,orchestrator,34
2.008048249387741,0.5436,0.5375245484901604,0.5411954356907913,0.5436,0.656,0.706,0.432,0.279,0.368,0.485,0.718,0.633,0.649,0.51,orchestrator,35
