2025-01-05 19:48:02,320 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.8471236260099845, accuracy: 0.7445714285714286
2025-01-05 19:48:04,542 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.7733837263150649, accuracy: 0.8024761904761905
2025-01-05 19:48:04,740 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.0063683726119272, accuracy: 0.6996190476190476
2025-01-05 19:48:04,773 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.96968544197805, accuracy: 0.6967619047619048
2025-01-05 19:48:05,091 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.2002081910769145, accuracy: 0.5805714285714285
2025-01-05 19:48:08,191 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.46417392230395116, accuracy: 0.851047619047619
2025-01-05 19:48:10,100 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.563863319113399, accuracy: 0.8140952380952381
2025-01-05 19:48:10,502 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.37748127376491375, accuracy: 0.8893333333333333
2025-01-05 19:48:10,594 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.7588373856111006, accuracy: 0.7201904761904762
2025-01-05 19:48:10,596 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.5636540882966735, accuracy: 0.7975238095238095
2025-01-05 19:48:24,799 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.508939757491603, accuracy: 0.11946308724832215
2025-01-05 19:48:25,285 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.2913528406258785, accuracy: 0.2497177267595032
2025-01-05 19:48:25,572 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.4119920282652885, accuracy: 0.10291858678955453
2025-01-05 19:48:52,676 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 2.0222992384072507, accuracy: 0.32887045068828963
2025-01-05 19:48:52,903 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.9727245843771732, accuracy: 0.30443775855584804
2025-01-05 19:48:53,373 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 2.0374111276684386, accuracy: 0.36575950588689443
2025-01-05 20:03:46,060 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.6154197119402163, accuracy: 0.7902857142857143
2025-01-05 20:03:46,581 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.5241965587617773, accuracy: 0.8411428571428572
2025-01-05 20:03:46,634 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.4315479631225268, accuracy: 0.8862857142857142
2025-01-05 20:03:46,950 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.8286704861756528, accuracy: 0.7059047619047619
2025-01-05 20:03:47,233 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.6332228832624175, accuracy: 0.7927619047619048
2025-01-05 20:03:52,070 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.45644919899376957, accuracy: 0.8367619047619047
2025-01-05 20:03:52,331 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.2899164792714697, accuracy: 0.9144761904761904
2025-01-05 20:03:52,776 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.3844952331122124, accuracy: 0.8714285714285714
2025-01-05 20:03:52,870 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.650285902799982, accuracy: 0.7571428571428571
2025-01-05 20:03:53,370 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.46274798514716553, accuracy: 0.8365714285714285
2025-01-05 20:04:05,740 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.9142599441788414, accuracy: 0.772550472309687
2025-01-05 20:04:06,354 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.905142485372948, accuracy: 0.8044315992292871
2025-01-05 20:04:07,055 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.9246199723446008, accuracy: 0.7615413964135826
2025-01-05 20:04:31,304 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.8305189206744685, accuracy: 0.745423010213914
