2025-01-04 16:43:46,102 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.0904860930009321, accuracy: 0.6739047619047619
2025-01-04 16:43:46,964 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.9675144119696184, accuracy: 0.7365714285714285
2025-01-04 16:43:47,033 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.046557997934746, accuracy: 0.7215238095238096
2025-01-04 16:43:48,496 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.0758544100053382, accuracy: 0.6908571428571428
2025-01-04 16:43:52,383 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.8858697340343937, accuracy: 0.7565714285714286
2025-01-04 16:43:53,538 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.4028771845002969, accuracy: 0.8950476190476191
2025-01-04 16:43:55,593 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.3096430356303851, accuracy: 0.924952380952381
2025-01-04 16:43:55,712 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.36130821641647454, accuracy: 0.9154285714285715
2025-01-04 16:43:57,260 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.36382813103722805, accuracy: 0.915047619047619
2025-01-04 16:44:01,857 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.2555871316880891, accuracy: 0.943047619047619
2025-01-04 16:44:28,193 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.2090422160697707, accuracy: 0.18902210565754965
2025-01-04 16:44:31,742 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.1584062829162134, accuracy: 0.2676651305683564
2025-01-04 16:44:33,311 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.266895545612682, accuracy: 0.1529140219272937
2025-01-04 16:45:18,674 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.951222638650374, accuracy: 0.31378299120234604
2025-01-04 16:45:22,145 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.9904558983716099, accuracy: 0.2850028730128328
2025-01-04 16:45:23,460 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 2.1604323242649888, accuracy: 0.20297776102525442
2025-01-04 18:28:56,471 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.3729909346862273, accuracy: 0.9163809523809524
2025-01-04 18:28:58,193 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.4455182242574114, accuracy: 0.9019047619047619
2025-01-04 18:28:59,322 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.4313999571809263, accuracy: 0.9055238095238095
2025-01-04 18:28:59,475 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.42026427216602097, accuracy: 0.911047619047619
2025-01-04 18:28:59,677 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.3301759453433933, accuracy: 0.9356190476190476
2025-01-04 18:29:04,621 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.18646099151987017, accuracy: 0.9533333333333334
2025-01-04 18:29:07,538 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.20758083992157922, accuracy: 0.955047619047619
2025-01-04 18:29:07,804 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.20990112193606117, accuracy: 0.9495238095238095
2025-01-04 18:29:08,245 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.19708775128379014, accuracy: 0.9552380952380952
2025-01-04 18:29:09,425 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.1438271399530949, accuracy: 0.968
2025-01-04 18:29:50,942 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.0053417614012055, accuracy: 0.8457997698504027
2025-01-04 18:29:51,169 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.9828315138816833, accuracy: 0.842690170530753
2025-01-04 18:29:52,406 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.861587879152009, accuracy: 0.8531428571428571
2025-01-04 18:30:53,016 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.9051155686378479, accuracy: 0.8071193654478622
2025-01-04 18:30:54,715 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.8912811600800716, accuracy: 0.8198792908336476
