2025-02-26 17:39:53,930 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.4594539264546478, accuracy: 0.4999730181857428
2025-02-26 17:39:54,272 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.3883585852214857, accuracy: 0.5129242890291943
2025-02-26 17:39:54,715 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.718331086471021, accuracy: 0.3379742053855701
2025-02-26 17:41:10,783 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.5327205711443739, accuracy: 0.4076952134261508
2025-02-26 17:41:10,916 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.2788429754730748, accuracy: 0.5626247908909395
2025-02-26 17:41:11,161 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.2033992738071653, accuracy: 0.5753602072203335
2025-02-26 17:42:24,921 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.460360142719756, accuracy: 0.43634990016728725
2025-02-26 17:42:26,066 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.1415931311941434, accuracy: 0.6027737305056392
2025-02-26 17:42:26,352 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.2160165377790502, accuracy: 0.5789218067022827
2025-02-26 17:43:20,953 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.7614899498311685, accuracy: 0.3414285714285714
2025-02-26 17:43:21,049 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.6966977989087337, accuracy: 0.4870906630581867
2025-02-26 17:48:08,107 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 3.3391279730591457, accuracy: 0.5172244897959184
2025-02-26 17:48:08,791 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.7045004197088576, accuracy: 0.34962672333932754
2025-02-26 17:53:12,363 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 3.3797347917959955, accuracy: 0.5076956310417454
2025-02-26 17:53:15,166 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.691985858011287, accuracy: 0.34404678864624133
2025-02-26 18:09:11,351 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.5882773989742434, accuracy: 0.38179267173924775
2025-02-26 18:09:12,036 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.3462140701061904, accuracy: 0.5429280664831904
2025-02-26 18:09:12,071 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.2540824162589774, accuracy: 0.5539906103286385
2025-02-26 18:10:29,244 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.4848704910977737, accuracy: 0.42226539312503375
2025-02-26 18:10:29,745 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.245287427673883, accuracy: 0.5727699530516432
2025-02-26 18:10:31,264 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.1614184523317914, accuracy: 0.5952188225136258
2025-02-26 18:11:45,756 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.4270678640337624, accuracy: 0.4483298256974799
2025-02-26 18:11:46,213 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.1881045528636913, accuracy: 0.5869084237224111
2025-02-26 18:11:47,542 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.1108943184611095, accuracy: 0.6161567103772058
2025-02-26 18:12:38,888 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.5801300711936226, accuracy: 0.35541842589585365
2025-02-26 18:12:39,497 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.6098770208920357, accuracy: 0.5157377049180328
2025-02-26 18:17:28,868 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 2.8573591422170685, accuracy: 0.5192655667908462
2025-02-26 18:17:29,256 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.5356142547132643, accuracy: 0.37705269936674896
2025-02-26 18:22:32,883 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.4893567711243452, accuracy: 0.40226153762917277
2025-02-26 18:22:34,333 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 0] Training on 0 results: loss: 2.74164260917434, accuracy: 0.5187568157033806
