2025-02-23 20:06:35,533 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 2.1452031543810075, accuracy: 0.195
2025-02-23 20:06:35,939 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.1501442746484662, accuracy: 0.20585714285714285
2025-02-23 20:06:36,090 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 2.1750194310597633, accuracy: 0.18557142857142858
2025-02-23 20:07:01,344 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.8565694507398562, accuracy: 0.3162857142857143
2025-02-23 20:07:02,147 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.858113436394086, accuracy: 0.3177142857142857
2025-02-23 20:07:02,524 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.9174791503714643, accuracy: 0.2907142857142857
2025-02-23 20:07:27,852 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.7039628186726679, accuracy: 0.3787142857142857
2025-02-23 20:07:29,278 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.6936142030916257, accuracy: 0.3807142857142857
2025-02-23 20:07:29,308 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.762222829474706, accuracy: 0.3578571428571429
2025-02-23 20:07:40,434 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.42303718769387, accuracy: 0.09801381692573402
2025-02-23 20:07:41,967 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.436372189761297, accuracy: 0.09855802883942322
2025-02-23 20:09:12,939 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 2.3007715651978096, accuracy: 0.12247902252318563
2025-02-23 20:09:15,273 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 2.3179857621998545, accuracy: 0.10215358458486823
2025-02-23 20:10:49,238 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 2.2901507202348754, accuracy: 0.13636363636363635
2025-02-23 20:10:50,571 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 2.2951348987344193, accuracy: 0.12378464664054564
2025-02-23 20:16:19,699 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.8976573783513073, accuracy: 0.2968571428571429
2025-02-23 20:16:19,930 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.852127621162972, accuracy: 0.31685714285714284
2025-02-23 20:16:20,556 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.856618800664057, accuracy: 0.31985714285714284
2025-02-23 20:16:47,371 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.6723637548211503, accuracy: 0.39385714285714285
2025-02-23 20:16:47,509 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.7278671223823339, accuracy: 0.36757142857142855
2025-02-23 20:16:48,158 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.6766273923660522, accuracy: 0.3921428571428571
2025-02-23 20:17:14,435 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.5510148535308228, accuracy: 0.438
2025-02-23 20:17:14,438 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.610111999593369, accuracy: 0.42014285714285715
2025-02-23 20:17:14,986 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.5476179562475039, accuracy: 0.43885714285714283
2025-02-23 20:17:24,718 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.9114821945151237, accuracy: 0.3379061371841155
2025-02-23 20:17:26,049 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.9082212380078285, accuracy: 0.3339980059820538
2025-02-23 20:18:57,415 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.8699102548703754, accuracy: 0.3569620253164557
2025-02-23 20:19:00,323 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.887985713950031, accuracy: 0.34343998882213217
2025-02-23 20:20:34,058 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.8627063642898107, accuracy: 0.3542518685657876
2025-02-23 20:20:36,502 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.8787980242951277, accuracy: 0.34125636672325976
2025-02-23 20:25:59,405 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.7006297307471707, accuracy: 0.3842857142857143
2025-02-23 20:25:59,514 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.6599674771909845, accuracy: 0.4005714285714286
2025-02-23 20:25:59,717 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.6624249384555643, accuracy: 0.40614285714285714
2025-02-23 20:26:25,932 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.5361693577679325, accuracy: 0.4427142857142857
