2025-02-21 18:35:05,337 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 2.187210652950036, accuracy: 0.18194285714285716
2025-02-21 18:35:06,275 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 2.2013152942170193, accuracy: 0.1785142857142857
2025-02-21 18:35:06,547 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.209646837989779, accuracy: 0.17622857142857143
2025-02-21 18:35:06,875 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 2.1983937586311004, accuracy: 0.18171428571428572
2025-02-21 18:35:07,176 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 2.1995568780133326, accuracy: 0.18057142857142858
2025-02-21 18:35:25,345 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.9546907757320544, accuracy: 0.2729142857142857
2025-02-21 18:35:26,477 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.990222325725277, accuracy: 0.27131428571428573
2025-02-21 18:35:26,593 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.9665731844240733, accuracy: 0.2688
2025-02-21 18:35:26,764 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.9627570670886632, accuracy: 0.27222857142857143
2025-02-21 18:35:27,849 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.9554708378158348, accuracy: 0.2834285714285714
2025-02-21 18:35:43,869 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.8305206220515453, accuracy: 0.33462857142857144
2025-02-21 18:35:45,822 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.8164297559835616, accuracy: 0.3307428571428571
2025-02-21 18:35:46,274 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 5] Training on 5 results: loss: 1.8240491626036428, accuracy: 0.3300571428571429
2025-02-21 18:35:47,102 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 7] Training on 7 results: loss: 1.812702930756729, accuracy: 0.32594285714285715
2025-02-21 18:35:47,993 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.8011052316992822, accuracy: 0.3478857142857143
2025-02-21 18:36:00,351 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.34656494029247, accuracy: 0.10868576625738972
2025-02-21 18:36:01,213 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.3444216669040876, accuracy: 0.10322874033651659
2025-02-21 18:36:02,771 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.3442688971540355, accuracy: 0.09649323859729544
2025-02-21 18:37:09,744 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 2.3124684861106592, accuracy: 0.11422121896162528
2025-02-21 18:37:12,390 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 2.3092604605820926, accuracy: 0.11136209622769369
2025-02-21 18:37:14,111 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 2.3181745135871163, accuracy: 0.12383760489907009
