test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.013729936981201,0.2681,0.23759362995160363,0.2926581811460477,0.2681,0.573,0.36,0.197,0.207,0.043,0.233,0.057,0.197,0.161,0.653,orchestrator,0
1.7097851652145386,0.3808,0.37114763068149814,0.38119362239070653,0.38079999999999997,0.544,0.502,0.24,0.183,0.165,0.438,0.358,0.447,0.432,0.499,orchestrator,1
1.6106756821632384,0.4226,0.41006452714989566,0.4161016519625904,0.4226,0.508,0.606,0.295,0.153,0.198,0.455,0.516,0.468,0.545,0.482,orchestrator,2
1.535354031085968,0.4508,0.43927685653446213,0.4457112591083295,0.4507999999999999,0.512,0.634,0.307,0.156,0.25,0.502,0.57,0.544,0.547,0.486,orchestrator,3
1.5041488057136536,0.4646,0.4552142374696457,0.460060701089816,0.4646,0.555,0.627,0.347,0.205,0.225,0.511,0.518,0.57,0.591,0.497,orchestrator,4
1.4847509259223939,0.4768,0.4648480025701728,0.46961195688657076,0.4768,0.565,0.731,0.319,0.219,0.254,0.447,0.621,0.58,0.576,0.456,orchestrator,5
1.4651327571868897,0.489,0.47701540863783,0.4814603086763728,0.48900000000000005,0.568,0.72,0.343,0.212,0.277,0.471,0.63,0.599,0.625,0.445,orchestrator,6
1.4475448333740235,0.504,0.49301963594945564,0.49457694459151325,0.504,0.583,0.68,0.355,0.199,0.341,0.479,0.628,0.628,0.658,0.489,orchestrator,7
1.4380953136444092,0.5102,0.5030252477603064,0.5048561662673832,0.5102,0.597,0.669,0.362,0.27,0.325,0.472,0.654,0.61,0.641,0.502,orchestrator,8
1.435884007358551,0.5142,0.506466739500755,0.5112337905434021,0.5142,0.586,0.674,0.365,0.235,0.318,0.528,0.659,0.634,0.62,0.523,orchestrator,9
1.437383098220825,0.5246,0.5149745748307099,0.5179595975029175,0.5246000000000001,0.614,0.681,0.387,0.228,0.364,0.464,0.71,0.635,0.649,0.514,orchestrator,10
1.4435310159683228,0.528,0.5216286485959326,0.5256986193300605,0.5279999999999999,0.615,0.666,0.371,0.284,0.326,0.511,0.69,0.621,0.632,0.564,orchestrator,11
1.4578745218276978,0.5325,0.5245861290272159,0.5262785436589452,0.5325,0.671,0.673,0.384,0.266,0.358,0.484,0.652,0.664,0.653,0.52,orchestrator,12
1.469125114917755,0.5383,0.5301157526625871,0.5324421322477196,0.5383,0.62,0.708,0.355,0.292,0.375,0.455,0.711,0.647,0.69,0.53,orchestrator,13
1.484721366930008,0.5405,0.533025917928454,0.5374314007614089,0.5405,0.623,0.7,0.435,0.257,0.352,0.485,0.722,0.63,0.671,0.53,orchestrator,14
1.5074523928165435,0.5439,0.5352635609684238,0.5396223174601154,0.5439,0.608,0.716,0.436,0.258,0.346,0.513,0.671,0.676,0.698,0.517,orchestrator,15
1.5198668024063111,0.5474,0.5394554395399516,0.5425658839397085,0.5474,0.613,0.687,0.408,0.28,0.357,0.496,0.71,0.68,0.702,0.541,orchestrator,16
1.5391218479156494,0.5471,0.5386212340988218,0.5417829030212703,0.5471,0.642,0.721,0.409,0.277,0.357,0.491,0.71,0.667,0.668,0.529,orchestrator,17
