iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,1.812702930756729,0.32594285714285715,"[2.1983937586311004, 1.9665731844240733, 1.812702930756729]","[0.18171428571428572, 0.2688, 0.32594285714285715]"
0,6,2.2950571549199794,0.1196461824953445,"[2.3442688971540355, 2.3092604605820926, 2.2950571549199794]","[0.09649323859729544, 0.11136209622769369, 0.1196461824953445]"
0,4,1.8305206220515453,0.33462857142857144,"[2.209646837989779, 1.990222325725277, 1.8305206220515453]","[0.17622857142857143, 0.27131428571428573, 0.33462857142857144]"
0,3,1.8164297559835616,0.3307428571428571,"[2.187210652950036, 1.9546907757320544, 1.8164297559835616]","[0.18194285714285716, 0.2729142857142857, 0.3307428571428571]"
0,2,1.8011052316992822,0.3478857142857143,"[2.1995568780133326, 1.9554708378158348, 1.8011052316992822]","[0.18057142857142858, 0.2834285714285714, 0.3478857142857143]"
0,0,2.3061692775601017,0.1160322952710496,"[2.34656494029247, 2.3124684861106592, 2.3061692775601017]","[0.10868576625738972, 0.11422121896162528, 0.1160322952710496]"
0,1,2.301594184262909,0.14195804195804196,"[2.3444216669040876, 2.3181745135871163, 2.301594184262909]","[0.10322874033651659, 0.12383760489907009, 0.14195804195804196]"
0,5,1.8240491626036428,0.3300571428571429,"[2.2013152942170193, 1.9627570670886632, 1.8240491626036428]","[0.1785142857142857, 0.27222857142857143, 0.3300571428571429]"
1,0,1.9668607298475111,0.2843973265729431,"[1.9913973460232255, 1.9719196553647953, 1.9668607298475111]","[0.2827285254937988, 0.2908186341022162, 0.2843973265729431]"
1,4,1.67640468652231,0.3940571428571429,"[1.9822018999252877, 1.8042320487273, 1.67640468652231]","[0.2752, 0.352, 0.3940571428571429]"
1,6,1.9667388753299295,0.29253867151956325,"[1.974918932810317, 1.9542624737224439, 1.9667388753299295]","[0.2789115646258503, 0.3052995391705069, 0.29253867151956325]"
1,7,1.654478760531349,0.39154285714285714,"[1.9584641643684275, 1.7821948654460211, 1.654478760531349]","[0.27314285714285713, 0.34422857142857144, 0.39154285714285714]"
1,3,1.6695899210707115,0.39954285714285714,"[1.9662741818567262, 1.807336783757175, 1.6695899210707115]","[0.26765714285714287, 0.3382857142857143, 0.39954285714285714]"
1,5,1.6856460597393286,0.3881142857142857,"[1.9789593772296488, 1.796574119233737, 1.6856460597393286]","[0.26971428571428574, 0.34125714285714287, 0.3881142857142857]"
1,1,1.943330107814204,0.30613636363636365,"[1.977611972902813, 1.943560036864594, 1.943330107814204]","[0.2833911535125759, 0.3072575175220439, 0.30613636363636365]"
1,2,1.6549258910826523,0.39885714285714285,"[1.963600476292798, 1.7792073231543937, 1.6549258910826523]","[0.28114285714285714, 0.35268571428571427, 0.39885714285714285]"
2,3,1.528969009862329,0.4477714285714286,"[1.7835591674721154, 1.6455008820460661, 1.528969009862329]","[0.35314285714285715, 0.4041142857142857, 0.4477714285714286]"
2,5,1.550234960813592,0.43382857142857145,"[1.8050132981182014, 1.6648610973880238, 1.550234960813592]","[0.3414857142857143, 0.39017142857142856, 0.43382857142857145]"
2,7,1.5299441551205015,0.4482285714285714,"[1.7635327621097983, 1.640249524238336, 1.5299441551205015]","[0.35291428571428574, 0.39931428571428573, 0.4482285714285714]"
2,2,1.539450845361626,0.4448,"[1.779717824754924, 1.645388409169051, 1.539450845361626]","[0.34994285714285717, 0.4045714285714286, 0.4448]"
2,1,1.668706700749641,0.3964047015441346,"[1.6855100380243175, 1.6763836924177016, 1.668706700749641]","[0.38124713434204494, 0.3907407407407407, 0.3964047015441346]"
2,4,1.549959238645804,0.4432,"[1.7995347089140954, 1.6808332848722918, 1.549959238645804]","[0.3469714285714286, 0.3949714285714286, 0.4432]"
2,6,1.7099009987211575,0.3733796296296296,"[1.684635915895448, 1.6899287500520692, 1.7099009987211575]","[0.39365371349735573, 0.38245931283905965, 0.3733796296296296]"
