2025-01-02 09:40:48,849 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.197474700664029, accuracy: 0.6982857142857143
2025-01-02 09:40:54,260 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.1700721523978495, accuracy: 0.7034285714285714
2025-01-02 09:40:54,908 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.1842440704504649, accuracy: 0.6963809523809524
2025-01-02 09:40:55,342 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.3939648693483887, accuracy: 0.9133333333333333
2025-01-02 09:40:56,061 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.1935647511121, accuracy: 0.700952380952381
2025-01-02 09:40:56,620 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.1842028271068226, accuracy: 0.6956190476190476
2025-01-02 09:41:00,652 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.3906980401638782, accuracy: 0.9112380952380953
2025-01-02 09:41:01,441 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.39585780593933484, accuracy: 0.9051428571428571
2025-01-02 09:41:02,318 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.3997032075668826, accuracy: 0.9047619047619048
2025-01-02 09:41:02,725 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.3810571778904308, accuracy: 0.919047619047619
2025-01-02 09:41:21,713 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.370561802025997, accuracy: 0.07864741641337386
2025-01-02 09:41:23,587 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.3731404333403616, accuracy: 0.07388973966309341
2025-01-02 09:41:23,630 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.3829109249692975, accuracy: 0.06747638326585695
2025-01-02 09:41:55,959 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 2.2705741130944452, accuracy: 0.12254425209103287
2025-01-02 09:41:56,233 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 2.257298378510909, accuracy: 0.1602368220015279
2025-01-02 09:41:58,235 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 2.2587298263203013, accuracy: 0.13751694751113694
2025-01-02 10:19:24,394 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.3941105820012815, accuracy: 0.9154285714285715
2025-01-02 10:19:28,298 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.38845913328907705, accuracy: 0.9198095238095239
2025-01-02 10:19:28,545 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.3963117212282889, accuracy: 0.9137142857142857
2025-01-02 10:19:28,632 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.3984779133038087, accuracy: 0.9125714285714286
2025-01-02 10:19:28,829 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.40450362653443306, accuracy: 0.9087619047619048
2025-01-02 10:19:31,069 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.21859684938734228, accuracy: 0.9476190476190476
2025-01-02 10:19:35,332 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.21202477158019037, accuracy: 0.9487619047619048
2025-01-02 10:19:35,333 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.20890444618734447, accuracy: 0.9508571428571428
2025-01-02 10:19:35,377 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.2175865181693525, accuracy: 0.9460952380952381
2025-01-02 10:19:35,864 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.21185837792176188, accuracy: 0.9483809523809524
