2024-12-31 13:53:59,906 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.2068165309501417, accuracy: 0.6967619047619048
2024-12-31 13:53:59,980 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.2068251750685952, accuracy: 0.7068571428571429
2024-12-31 13:54:01,873 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.2027445820244875, accuracy: 0.708
2024-12-31 13:54:03,173 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.208070942849824, accuracy: 0.7062857142857143
2024-12-31 13:54:05,998 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.207179249236078, accuracy: 0.6954285714285714
2024-12-31 13:54:06,919 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.38041495459549357, accuracy: 0.9177142857142857
2024-12-31 13:54:09,510 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.3885398112011678, accuracy: 0.9133333333333333
2024-12-31 13:54:10,675 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.395329197157513, accuracy: 0.9112380952380953
2024-12-31 13:54:11,292 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.3919605325794581, accuracy: 0.9104761904761904
2024-12-31 13:54:11,915 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.384640061674696, accuracy: 0.9148571428571428
2024-12-31 13:54:42,073 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.41428836331223, accuracy: 0.12495126705653022
2024-12-31 13:54:43,230 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.4183173381921015, accuracy: 0.12999806837937028
2024-12-31 13:54:43,411 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.424729974342115, accuracy: 0.11228406909788867
2024-12-31 13:55:28,887 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 2.3022857824961345, accuracy: 0.17108525653251955
2024-12-31 13:55:29,655 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 2.3049223047314267, accuracy: 0.15497242821829246
2024-12-31 13:55:30,268 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 2.3092608191750266, accuracy: 0.14908473296848462
2024-12-31 15:17:09,929 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.3971452450210398, accuracy: 0.9152380952380952
2024-12-31 15:17:10,715 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.3958581707242763, accuracy: 0.9165714285714286
2024-12-31 15:17:11,048 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.40030671014930264, accuracy: 0.9140952380952381
2024-12-31 15:17:11,132 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.3999797155008172, accuracy: 0.9161904761904762
2024-12-31 15:17:11,273 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.4044962305011171, accuracy: 0.9125714285714286
2024-12-31 15:17:17,018 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.20837630720978434, accuracy: 0.9527619047619048
2024-12-31 15:17:17,030 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.21463419416862906, accuracy: 0.9457142857142857
2024-12-31 15:17:17,233 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.2085775378301288, accuracy: 0.9514285714285714
2024-12-31 15:17:18,051 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.216791598837484, accuracy: 0.9487619047619048
2024-12-31 15:17:18,234 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.22036282371616725, accuracy: 0.9462857142857143
2024-12-31 15:17:45,426 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.6657518394065626, accuracy: 0.8957426679280984
2024-12-31 15:17:45,781 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.6754781874743375, accuracy: 0.8958924853303047
2024-12-31 15:17:46,360 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.6739248145710338, accuracy: 0.8966782541521823
2024-12-31 15:18:34,065 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.6470458738731616, accuracy: 0.886273771417812
2024-12-31 15:18:38,549 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.6122513286995165, accuracy: 0.9031764255644853
2024-12-31 15:18:39,540 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.6153590861595039, accuracy: 0.8923611111111112
2024-12-31 16:41:50,738 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.24024777845902875, accuracy: 0.9411428571428572
2024-12-31 16:41:52,239 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.23907338922674007, accuracy: 0.9438095238095238
2024-12-31 16:41:53,999 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.23659567724574695, accuracy: 0.9426666666666667
2024-12-31 16:41:54,321 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.24614085308981665, accuracy: 0.9377142857142857
2024-12-31 16:41:55,729 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.23716711334206841, accuracy: 0.9419047619047619
2024-12-31 16:41:57,754 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.1521244082148328, accuracy: 0.9638095238095238
2024-12-31 16:41:58,501 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.15859439982609316, accuracy: 0.964
2024-12-31 16:42:02,699 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.1494849427631407, accuracy: 0.9651428571428572
2024-12-31 16:42:03,209 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.15873856563685518, accuracy: 0.9641904761904762
2024-12-31 16:42:05,555 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.1481723521017667, accuracy: 0.9695238095238096
2024-12-31 16:42:44,613 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.2867480021534544, accuracy: 0.9361621519227127
2024-12-31 16:42:47,120 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.2747495617378842, accuracy: 0.9350574712643678
2024-12-31 16:42:47,369 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.2633466076670271, accuracy: 0.9454475605071072
