iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,4,1.7924367673341521,0.3373604940947015,"[1.848256541697294, 1.8094678466128726, 1.7924367673341521]","[0.3129335183011418, 0.32567008062758773, 0.3373604940947015]"
0,1,1.4764513877880172,0.46006906971724587,"[1.7172026104511529, 1.5426780646787417, 1.4764513877880172]","[0.3830671271314483, 0.4389164688107058, 0.46006906971724587]"
0,0,1.8264505310856751,0.3315276273022752,"[1.8640718300657297, 1.834965769847577, 1.8264505310856751]","[0.31073843657019207, 0.3256050002671083, 0.3315276273022752]"
0,3,1.4525387613191185,0.4706168042739194,"[1.703853478711468, 1.5205505717613246, 1.4525387613191185]","[0.38637958016297014, 0.4495709891533107, 0.4706168042739194]"
0,2,1.4620640916593945,0.46549025956505313,"[1.7030628867659516, 1.5300697820057017, 1.4620640916593945]","[0.38449085316496684, 0.44061302681992337, 0.46549025956505313]"
1,0,1.6405689702967923,0.42592195540308747,"[1.670353641378355, 1.6657301744476694, 1.6405689702967923]","[0.402876526458616, 0.40963334953291214, 0.42592195540308747]"
1,1,1.438688337340038,0.4743686596157997,"[1.5891875698198215, 1.4960838768685862, 1.438688337340038]","[0.4268292682926829, 0.4549428016404058, 0.4743686596157997]"
1,2,1.4407453376018764,0.4754735308402137,"[1.5856270854898935, 1.4951864689768544, 1.4407453376018764]","[0.42248124763909123, 0.45140575252279963, 0.4754735308402137]"
1,4,1.6521838228182097,0.42026623200217333,"[1.6786142045614327, 1.6534383236796204, 1.6521838228182097]","[0.39765200064623835, 0.4138283012786075, 0.42026623200217333]"
1,3,1.4217914728073338,0.4815174572338244,"[1.5825606707975306, 1.4757883100287477, 1.4217914728073338]","[0.42652851977766987, 0.46257622362527656, 0.4815174572338244]"
2,4,1.565822040191285,0.46330966214762215,"[1.5075935835052503, 1.5333937647221312, 1.565822040191285]","[0.45840717469523656, 0.4628757108042242, 0.46330966214762215]"
2,3,1.383149588385772,0.4958717824186498,"[1.4935426625637682, 1.4307653163917318, 1.383149588385772]","[0.4560466245750364, 0.47730829420970267, 0.4958717824186498]"
2,0,1.5883056178393293,0.46284570005953346,"[1.5042557729740818, 1.5558428725258249, 1.5883056178393293]","[0.4655514449627366, 0.4563729218733022, 0.46284570005953346]"
2,1,1.3935151718833305,0.4858622922512411,"[1.5024268005406476, 1.442241053369356, 1.3935151718833305]","[0.4497625728469674, 0.46740772717461687, 0.4858622922512411]"
2,2,1.3973233566086698,0.4872915654848632,"[1.5016250507496265, 1.440065124818639, 1.3973233566086698]","[0.4494630618962819, 0.47191193135826454, 0.4872915654848632]"
3,4,1.697115147725789,0.47300412846496165,"[1.5198938261341493, 1.588339514985385, 1.697115147725789]","[0.4858088674228035, 0.48628106301547086, 0.47300412846496165]"
3,0,1.707741617590729,0.48105320304017374,"[1.5386087589216602, 1.62444173816569, 1.707741617590729]","[0.4814954479340624, 0.4823761941363786, 0.48105320304017374]"
3,3,1.3386835089215336,0.5085532351195294,"[1.4326679456635114, 1.3823755663772201, 1.3386835089215336]","[0.47757811235227454, 0.49608763693270735, 0.5085532351195294]"
3,1,1.3537222697263755,0.5009712928987697,"[1.4420732341520328, 1.3960404755536393, 1.3537222697263755]","[0.4707532916037125, 0.4865098208504209, 0.5009712928987697]"
3,2,1.3518913884529067,0.501699854298203,"[1.4418938537935844, 1.3969791230711062, 1.3518913884529067]","[0.469429604446603, 0.4841616750310291, 0.501699854298203]"
4,2,1.3156827277824528,0.5139495979709676,"[1.4019435208557596, 1.356318537174781, 1.3156827277824528]","[0.4846473476876585, 0.49867789110139765, 0.5139495979709676]"
4,1,1.3109440849812717,0.5144075113317504,"[1.4027939372478218, 1.3557543564809613, 1.3109440849812717]","[0.48149147420677746, 0.500161882149795, 0.5144075113317504]"
4,0,1.69343099446776,0.4925445705024311,"[1.5748091598746075, 1.6530673927639556, 1.69343099446776]","[0.49395770392749244, 0.488519441135059, 0.4925445705024311]"
4,3,1.2953165639979352,0.525335923587502,"[1.3894873714529306, 1.3394371243362493, 1.2953165639979352]","[0.4913388376234418, 0.5136258161998812, 0.525335923587502]"
4,4,1.715240620918784,0.4876807712908409,"[1.5701309610817122, 1.6526709452747168, 1.715240620918784]","[0.49205308864492875, 0.4946387197586077, 0.4876807712908409]"
5,4,1.6839847213189287,0.497153391530662,"[1.5573221499211218, 1.6521877625103754, 1.6839847213189287]","[0.505741469816273, 0.49816533563565724, 0.497153391530662]"
5,2,1.2838012021713159,0.5275484323565917,"[1.3710668219174673, 1.3243616799839208, 1.2838012021713159]","[0.49409098267767526, 0.5115212346878204, 0.5275484323565917]"
5,1,1.283951935118082,0.5274660047485431,"[1.3689115883668401, 1.324944287461387, 1.283951935118082]","[0.4930930282754155, 0.5119792790848262, 0.5274660047485431]"
5,3,1.265636963665331,0.5390426852301549,"[1.3542959821748775, 1.3087373429377394, 1.265636963665331]","[0.5015919270411743, 0.5209648696778372, 0.5390426852301549]"
5,0,1.6616130315660915,0.5045871559633027,"[1.5908713072821228, 1.649346613775974, 1.6616130315660915]","[0.4947058181421242, 0.498276604911676, 0.5045871559633027]"
6,2,1.2540465234887301,0.5397981760293562,"[1.3414430469145953, 1.2955969542239225, 1.2540465234887301]","[0.5061248718363823, 0.5206410879067509, 0.5397981760293562]"
6,0,1.6700063223232988,0.5004533575124006,"[1.5568280370200471, 1.6418271339767652, 1.6700063223232988]","[0.508764383267018, 0.5066353557970619, 0.5004533575124006]"
6,3,1.2306180619494065,0.5502131563326318,"[1.3241734671839565, 1.2781458856526688, 1.2306180619494065]","[0.5150828341697695, 0.5314877772381414, 0.5502131563326318]"
6,4,1.6577298199698471,0.5009914786430141,"[1.5802256944135307, 1.6290422411341416, 1.6577298199698471]","[0.5062402074666379, 0.5051109177903437, 0.5009914786430141]"
6,1,1.2498315160288906,0.5402546945823441,"[1.339268949599591, 1.2953327927638787, 1.2498315160288906]","[0.5078782646233542, 0.5236347938700626, 0.5402546945823441]"
7,0,1.6553105700880006,0.5173791018998273,"[1.5386310022282539, 1.6415724977272352, 1.6553105700880006]","[0.5187006810074587, 0.5074046452162796, 0.5173791018998273]"
7,3,1.201763576197151,0.5630025362905402,"[1.3004825503996882, 1.2473371155926438, 1.201763576197151]","[0.5245264691597863, 0.5445469753386217, 0.5630025362905402]"
7,1,1.2235161290794123,0.5498597021368444,"[1.3137094493669308, 1.2615292745998339, 1.2235161290794123]","[0.5156486078135117, 0.5367472480034535, 0.5498597021368444]"
7,2,1.2234009931167722,0.5475689385354271,"[1.3167806026028395, 1.2675334464074004, 1.2234009931167722]","[0.5133559980573094, 0.5341859586638605, 0.5475689385354271]"
7,4,1.6645440320139615,0.5112508810930977,"[1.542974458366144, 1.6356670244518954, 1.6645440320139615]","[0.5172488257841602, 0.512144870960746, 0.5112508810930977]"
8,3,1.1803095025220136,0.5686687172845503,"[1.2724537294264802, 1.2233724975195088, 1.1803095025220136]","[0.5329447952080298, 0.5525335923587502, 0.5686687172845503]"
8,4,1.6989806935486864,0.5111220150474322,"[1.537605997763182, 1.6617613970667664, 1.6989806935486864]","[0.5253870304211324, 0.5067607606529118, 0.5111220150474322]"
8,2,1.196832490954757,0.5583616642383034,"[1.2937293003302797, 1.240874708161671, 1.196832490954757]","[0.524904214559387, 0.5427122119691328, 0.5583616642383034]"
8,1,1.1946410528537628,0.5598963954241313,"[1.291817647048993, 1.2414416672084947, 1.1946410528537628]","[0.5249298510684222, 0.5439240233110296, 0.5598963954241313]"
8,0,1.6446407172600703,0.5185445122280408,"[1.540286898767259, 1.6398776259732926, 1.6446407172600703]","[0.5183523433699119, 0.512796826604358, 0.5185445122280408]"
9,3,1.1538000727543243,0.5811343154713723,"[1.2522518125148145, 1.1983292386694342, 1.1538000727543243]","[0.5399600669148994, 0.5604662457503643, 0.5811343154713723]"
9,2,1.1729042271378742,0.5701257352544385,"[1.2726315670840385, 1.2146594439527925, 1.1729042271378742]","[0.5291133775835087, 0.5529653013868653, 0.5701257352544385]"
9,4,1.666490615314199,0.5195998031818927,"[1.545767541213011, 1.6384875159051728, 1.666490615314199]","[0.5199003628093356, 0.5125013471279233, 0.5195998031818927]"
9,0,1.6525635001112202,0.5232757696020595,"[1.5467797602471398, 1.6404308603435267, 1.6525635001112202]","[0.5199609459752658, 0.5188757233397631, 0.5232757696020595]"
9,1,1.1692087303933858,0.5706885387437945,"[1.2706779372188117, 1.2137531951596965, 1.1692087303933858]","[0.5368551694366501, 0.5568206345780272, 0.5706885387437945]"
10,1,1.1429310965322028,0.5822361320958342,"[1.2448239324162806, 1.1905397544450242, 1.1429310965322028]","[0.5443557090438161, 0.5631879991366285, 0.5822361320958342]"
10,4,1.634391381835197,0.521589132661312,"[1.555867118810764, 1.650309879053143, 1.634391381835197]","[0.5228571428571429, 0.5188259868244872, 0.521589132661312]"
10,0,1.6224762128024806,0.521004810261892,"[1.5632997861548268, 1.6525571555850627, 1.6224762128024806]","[0.5198285101822079, 0.5166294703608949, 0.521004810261892]"
10,2,1.1399994628299814,0.5806486428147428,"[1.2512865261953385, 1.1945076638300733, 1.1399994628299814]","[0.5385030489450111, 0.5588473368949328, 0.5806486428147428]"
10,3,1.1258124165796226,0.5877718417786412,"[1.2347503675274853, 1.1758336659337654, 1.1258124165796226]","[0.5477308294209703, 0.5701796988829528, 0.5877718417786412]"
11,3,1.0987454453246979,0.596513949597971,"[1.2147533317081263, 1.1525722952419772, 1.0987454453246979]","[0.5530192650153797, 0.5748205709351897, 0.596513949597971]"
11,0,1.6827945992851998,0.5212285947268279,"[1.554277477630055, 1.6345973274798307, 1.6827945992851998]","[0.5278655174259864, 0.5254643180245863, 0.5212285947268279]"
11,2,1.124733752094537,0.5865846419513248,"[1.2296943078275586, 1.1682226433128606, 1.124733752094537]","[0.549241811019373, 0.5723922076520426, 0.5865846419513248]"
11,1,1.126338560818803,0.5872005180228793,"[1.2312621318440278, 1.1725774672496307, 1.126338560818803]","[0.5481329592056983, 0.5691236779624433, 0.5872005180228793]"
