2025-02-25 22:47:17,855 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.6567962971833052, accuracy: 0.2996311200536553
2025-02-25 22:47:18,238 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.6451452932153248, accuracy: 0.3054996646545942
2025-02-25 22:47:18,469 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.7216523662009764, accuracy: 0.2780013413816231
2025-02-25 22:47:19,264 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.6966189871524677, accuracy: 0.2892354124748491
2025-02-25 22:47:19,940 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.7057469255483182, accuracy: 0.2961099932930919
2025-02-25 22:47:36,145 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.3865509308055644, accuracy: 0.43611670020120724
2025-02-25 22:47:36,398 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.4566655243689508, accuracy: 0.41230717639168346
2025-02-25 22:47:37,824 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.3793051899598048, accuracy: 0.43091884641180417
2025-02-25 22:47:38,445 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.4392693749062178, accuracy: 0.4367873910127431
2025-02-25 22:47:38,515 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.4373312860967007, accuracy: 0.41951710261569414
2025-02-25 22:47:55,220 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.30501224080615, accuracy: 0.4859154929577465
2025-02-25 22:47:55,432 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.2547760987729233, accuracy: 0.5021797451374916
2025-02-25 22:47:57,020 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.2943570973406529, accuracy: 0.5018443997317237
2025-02-25 22:47:57,388 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.2992529538297781, accuracy: 0.47920858484238765
2025-02-25 22:47:57,509 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.247211405003678, accuracy: 0.500335345405768
2025-02-25 22:53:12,555 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.3421694732223695, accuracy: 0.4535546613011402
2025-02-25 22:53:12,909 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.3940453072335701, accuracy: 0.460093896713615
2025-02-25 22:53:12,986 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.3955151208603989, accuracy: 0.43561368209255535
2025-02-25 22:53:13,543 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.406758027326006, accuracy: 0.43443997317236754
2025-02-25 22:53:14,091 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.3734937612236984, accuracy: 0.44047619047619047
