2024-12-07 17:18:49,695 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.808832471830803, accuracy: 0.42769573697408747
2024-12-07 17:18:49,785 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.7991091201179905, accuracy: 0.44357759821677345
2024-12-07 17:18:49,838 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.8881133585645442, accuracy: 0.3680691000278629
2024-12-07 17:18:49,843 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.9276332917966341, accuracy: 0.36388966285873503
2024-12-07 17:18:49,873 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.7796677790190045, accuracy: 0.4594594594594595
2024-12-07 17:18:49,988 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.9324179281268203, accuracy: 0.35803845082195596
2024-12-07 17:18:50,190 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.8718847224586888, accuracy: 0.3711340206185567
2024-12-07 17:18:50,237 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.8840937175248798, accuracy: 0.37308442463081637
2024-12-07 17:18:55,904 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.4231105980120207, accuracy: 0.47311228754527723
2024-12-07 17:18:55,949 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.2923754547771655, accuracy: 0.5611590972415714
2024-12-07 17:18:55,974 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.4346004766330385, accuracy: 0.46753970465310674
2024-12-07 17:18:56,035 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.2855022957450466, accuracy: 0.5689607132906102
2024-12-07 17:18:56,059 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.3361961716099788, accuracy: 0.5210365004179437
2024-12-07 17:18:56,240 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.4451543531919782, accuracy: 0.4622457509055447
2024-12-07 17:18:56,250 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.433068413483469, accuracy: 0.4480356645305099
2024-12-07 17:18:56,422 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.4124840728023595, accuracy: 0.4639175257731959
2024-12-07 17:19:02,069 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.1356384022194042, accuracy: 0.58790749512399
2024-12-07 17:19:02,104 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.253514990471957, accuracy: 0.4876010030649206
2024-12-07 17:19:02,169 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.2542062757308023, accuracy: 0.48704374477570356
2024-12-07 17:19:02,228 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 7] Training on 7 results: loss: 1.1773170170031095, accuracy: 0.5422123154081917
2024-12-07 17:19:02,318 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 6] Training on 6 results: loss: 1.1154016977862309, accuracy: 0.599609919197548
2024-12-07 17:19:02,367 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.2643385937339382, accuracy: 0.47757035385901364
2024-12-07 17:19:02,396 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 5] Training on 5 results: loss: 1.2692117879265232, accuracy: 0.4589022011702424
2024-12-07 17:19:02,701 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.2423234393722133, accuracy: 0.4934522151016996
