iteration,node_id,accuracy,test_loss,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9
0,7,-0.0041471428571428605,-0.07094849942668412,-0.003949974433833674,-0.0010897440168304998,-0.004147142857142857,-0.010220238095238093,-0.011520238095238063,0.026667857142857142,-0.007273809523809523,-0.008767857142857141,-0.00775,-0.008374999999999999,-0.003839285714285714,-0.010624999999999999,0.00023214285714285714
0,6,-0.0037378571428571413,-0.030209285047945938,-0.003525607280324057,-0.0032344818287882316,-0.0037378571428571456,-0.010220238095238093,0.03377857142857141,-0.013919047619047633,-0.007273809523809523,-0.008767857142857141,-0.00775,-0.008374999999999999,-0.003839285714285714,7.142857142857142e-05,-0.011083333333333332
0,4,-0.0025101190476190497,-0.03160883525953104,-0.0032861351748713122,-0.0036276772688504056,-0.0025101190476190492,-0.010220238095238093,0.03803095238095236,-0.0032154761904761952,-0.007273809523809523,-0.008767857142857141,-0.00775,0.0,-0.003839285714285714,-0.010720238095238093,-0.011345238095238094
0,3,-0.0023563095238095227,-0.04311207671182825,-0.0033468557173826404,-0.003571213535663464,-0.002356309523809519,-0.010220238095238093,0.022484523809523812,0.014470238095238102,-0.007273809523809523,-0.008767857142857141,0.0,-0.008374999999999999,-0.003839285714285714,-0.010720238095238093,-0.01132142857142857
0,2,-0.0032895238095238108,-0.05677034272039737,-0.0035361557920893967,-0.0023662767847015386,-0.003289523809523807,-0.01019642857142857,0.03392857142857143,-0.007347619047619049,-0.0072499999999999995,0.0,-0.00775,-0.008374999999999999,-0.003839285714285714,-0.010720238095238093,-0.011345238095238094
0,0,-0.0024990476190476173,-0.026496586401534176,-0.003249054826529603,-0.0004447684721205689,-0.0024990476190476204,1.7857142857142855e-05,0.028301190476190455,0.004738095238095237,-0.007273809523809523,-0.008767857142857141,-0.00775,-0.008374999999999999,-0.003839285714285714,-0.010720238095238093,-0.01132142857142857
0,1,-0.0018683333333333338,-0.036730478238003614,-0.003260882276518917,-0.0031125104507908168,-0.001868333333333329,-0.010220238095238093,0.012783333333333362,0.02953333333333335,1.7857142857142855e-05,-0.008767857142857141,-0.00775,-0.008374999999999999,-0.003839285714285714,-0.010720238095238093,-0.011345238095238094
0,5,-0.0026041666666666657,-0.026682605964326887,-0.0036327498167916606,-0.003920949907179247,-0.0026041666666666618,-0.010220238095238093,-0.0001619047619047338,0.03857261904761909,-0.007273809523809523,-0.008767857142857141,-0.00775,-0.008374999999999999,0.0,-0.010720238095238093,-0.011345238095238094
1,0,-0.0015754761904761918,-0.03781208394150096,-0.00299589099734482,-0.0026266210002908064,-0.0015754761904761925,0.0,0.041376190476190476,-0.0026607142857142984,-0.006220238095238095,-0.0074821428571428565,-0.005910714285714286,-0.007928571428571429,-0.004125,-0.011767857142857142,-0.011035714285714286
1,4,-0.0016538095238095238,-0.04868547244978776,-0.003137663081532272,-0.0027432704582530964,-0.0016538095238095229,-0.011642857142857142,0.027642857142857153,0.014003571428571426,-0.006220238095238095,-0.0074821428571428565,-0.005910714285714286,0.0,-0.004125,-0.011767857142857142,-0.011035714285714286
1,6,-0.002036785714285713,-0.02552415088591952,-0.0031609703499913848,-0.002738498025662094,-0.0020367857142857115,-0.011642857142857142,0.02949047619047617,0.0044869047619047545,-0.006220238095238095,-0.0074821428571428565,-0.005910714285714286,-0.007928571428571429,-0.004125,0.0,-0.011035714285714286
