2024-11-28 11:51:50,628 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.4191102376690616, accuracy: 0.6526904262753319
2024-11-28 11:51:50,712 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.4791400101449754, accuracy: 0.5278360121127417
2024-11-28 11:51:50,791 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.185517461211593, accuracy: 0.7957139529466574
2024-11-28 11:51:51,118 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.4575992977177654, accuracy: 0.676450034940601
2024-11-28 11:51:51,157 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.1671693751105556, accuracy: 0.802003261122758
2024-11-28 11:51:51,196 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.3321540801613418, accuracy: 0.6088982063824832
2024-11-28 11:51:51,235 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.048079056651504, accuracy: 0.8078266946191475
2024-11-28 11:51:51,269 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.3961799674563937, accuracy: 0.6154204518984393
2024-11-28 11:51:55,841 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.6522515522109138, accuracy: 0.8653622175634754
2024-11-28 11:51:55,952 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.9278381683208324, accuracy: 0.6363848124854414
2024-11-28 11:51:56,019 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.36674093830364723, accuracy: 0.9513160959701841
2024-11-28 11:51:56,298 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.7515070456045645, accuracy: 0.8837642674120662
2024-11-28 11:51:56,323 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.8672850789847197, accuracy: 0.6855345911949685
2024-11-28 11:51:56,346 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.34747505524644146, accuracy: 0.9487537852317727
2024-11-28 11:51:56,386 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.29720855879562874, accuracy: 0.9590030281854182
2024-11-28 11:51:56,403 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.7287612349898727, accuracy: 0.7854647099930119
2024-11-28 12:11:53,330 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.9911049193806118, accuracy: 0.6363848124854414
2024-11-28 12:11:53,519 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.8736313109044676, accuracy: 0.7379454926624738
2024-11-28 12:11:53,805 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.7484474108174995, accuracy: 0.8413696715583509
2024-11-28 12:11:54,046 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.4547284690318284, accuracy: 0.939203354297694
2024-11-28 12:11:54,124 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.40877736232898854, accuracy: 0.9450267877940834
2024-11-28 12:11:54,181 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.4592854749825266, accuracy: 0.934777544840438
2024-11-28 12:11:54,226 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.8333099859732168, accuracy: 0.7274633123689728
2024-11-28 12:11:54,283 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.7751790324846903, accuracy: 0.8082925692988586
2024-11-28 12:11:58,969 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.6574890699651507, accuracy: 0.7414395527603075
2024-11-28 12:11:59,124 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.504333367060732, accuracy: 0.8632657815047752
