2024-11-26 13:50:17,795 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.7561683358969512, accuracy: 0.9243092639888554
2024-11-26 13:50:18,200 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.7454284584080731, accuracy: 0.9186669773945467
2024-11-26 13:50:18,205 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.7708345016947499, accuracy: 0.9169373549883991
2024-11-26 13:50:18,292 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.6283970158547163, accuracy: 0.9440203562340967
2024-11-26 13:50:18,419 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.6402267546338194, accuracy: 0.9457650588506809
2024-11-26 13:50:18,502 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.7219833628657986, accuracy: 0.9344564966535888
2024-11-26 13:50:18,801 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.637275312862852, accuracy: 0.9353428439944776
2024-11-26 13:50:18,826 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.7729918700368965, accuracy: 0.9077916090364223
2024-11-26 13:50:22,922 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.21791927102539274, accuracy: 0.9793359647086138
2024-11-26 13:50:23,284 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.27304645429054897, accuracy: 0.962877030162413
2024-11-26 13:50:23,367 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.2107741447056041, accuracy: 0.972704140643072
2024-11-26 13:50:23,433 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.23211831947167713, accuracy: 0.9708692612444652
2024-11-26 13:50:23,507 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.20588422774830284, accuracy: 0.9769213016385876
2024-11-26 13:50:23,625 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.20096320111085386, accuracy: 0.9773828756058158
2024-11-26 13:50:23,732 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.22515783738344908, accuracy: 0.96617579383341
2024-11-26 13:50:23,794 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.24389892433057814, accuracy: 0.9624250806823421
2024-11-26 14:05:29,987 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.33149394305313334, accuracy: 0.9494576505885068
2024-11-26 14:05:31,818 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.4158795392623654, accuracy: 0.9349895518922684
2024-11-26 14:05:32,019 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.4305946618318558, accuracy: 0.9122969837587007
2024-11-26 14:05:32,188 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.3264126912964618, accuracy: 0.9514226231783484
2024-11-26 14:05:32,317 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.33943969049655337, accuracy: 0.9406350667280258
2024-11-26 14:05:32,449 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.4014076601494761, accuracy: 0.9209313047487321
2024-11-26 14:05:32,670 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.37517192346208234, accuracy: 0.9356104315716594
2024-11-26 14:05:32,702 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.3844989299222275, accuracy: 0.9384758797483104
2024-11-26 14:05:35,247 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.13653712065013893, accuracy: 0.9806138933764136
2024-11-26 14:05:36,757 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.15676321199646703, accuracy: 0.9828186672858138
2024-11-26 14:05:36,929 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.1945989226301511, accuracy: 0.9689095127610209
2024-11-26 14:05:37,233 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.1414042956140988, accuracy: 0.9821882951653944
2024-11-26 14:05:37,249 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.16446760833701668, accuracy: 0.9721583064887253
2024-11-26 14:05:37,267 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.1749737167676144, accuracy: 0.970954356846473
2024-11-26 14:05:37,456 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.15958876309019548, accuracy: 0.978326730365882
2024-11-26 14:05:37,526 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.14637710986768498, accuracy: 0.98153704131087
2024-11-26 14:20:34,270 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.28468512535533486, accuracy: 0.9456971928209849
2024-11-26 14:20:35,356 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.2962163963251644, accuracy: 0.9526916802610114
2024-11-26 14:20:35,524 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.25399766210466623, accuracy: 0.9597501734906315
2024-11-26 14:20:36,236 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.28246711484868736, accuracy: 0.9531502423263328
2024-11-26 14:20:36,378 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.34312139120366836, accuracy: 0.9248259860788863
2024-11-26 14:20:36,623 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.30895429579196154, accuracy: 0.9521708846064546
2024-11-26 14:20:36,746 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.2539499303435578, accuracy: 0.9598430648511423
2024-11-26 14:20:36,879 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.3171644573483397, accuracy: 0.9356846473029046
2024-11-26 14:20:39,308 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.13810372081420877, accuracy: 0.9746893695352048
2024-11-26 14:20:40,229 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.12982608008163946, accuracy: 0.9822885108366348
2024-11-26 14:20:40,298 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.11298765025704223, accuracy: 0.9861207494795281
2024-11-26 14:20:41,062 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.16145851780418996, accuracy: 0.9749419953596288
2024-11-26 14:20:41,195 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.11947308543740827, accuracy: 0.9847680590814678
2024-11-26 14:20:41,336 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.12609446004584984, accuracy: 0.985837009519387
2024-11-26 14:20:41,373 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.11070588198216523, accuracy: 0.9845372720978537
2024-11-26 14:20:41,520 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.14848696796552224, accuracy: 0.975334255417243
