2025-02-25 00:28:12,253 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.750644378466149, accuracy: 0.38642857142857145
2025-02-25 00:28:12,584 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.7887149436833107, accuracy: 0.35828571428571426
2025-02-25 00:28:13,010 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.872913386179432, accuracy: 0.34385714285714286
2025-02-25 00:28:13,829 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.6478817711954248, accuracy: 0.41414285714285715
2025-02-25 00:28:14,276 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.9827578516855633, accuracy: 0.2562857142857143
2025-02-25 00:28:33,582 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.3848272191879412, accuracy: 0.5227142857142857
2025-02-25 00:28:33,884 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.6189951006680319, accuracy: 0.43614285714285717
2025-02-25 00:28:34,578 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.630236420729389, accuracy: 0.42514285714285716
2025-02-25 00:28:34,934 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.4946180999823357, accuracy: 0.498
2025-02-25 00:28:36,335 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.7060026763236686, accuracy: 0.37914285714285717
2025-02-25 00:28:54,752 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.4783603250980377, accuracy: 0.48542857142857143
2025-02-25 00:28:55,251 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.2506533482847693, accuracy: 0.5722857142857143
2025-02-25 00:28:56,722 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.509515537382805, accuracy: 0.4677142857142857
2025-02-25 00:28:56,903 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.3502496795295036, accuracy: 0.5494285714285714
2025-02-25 00:28:57,232 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.528998982552524, accuracy: 0.45185714285714285
2025-02-25 00:34:24,434 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.588745692821398, accuracy: 0.4227142857142857
2025-02-25 00:34:25,038 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.6461976916278334, accuracy: 0.4062857142857143
2025-02-25 00:34:25,214 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.6078992366246436, accuracy: 0.42228571428571426
2025-02-25 00:34:25,460 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.5013553690692605, accuracy: 0.49042857142857144
2025-02-25 00:34:25,746 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.3806542926999532, accuracy: 0.5152857142857142
2025-02-25 00:34:46,693 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.4738636124351798, accuracy: 0.4705714285714286
2025-02-25 00:34:46,993 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.4654976430276758, accuracy: 0.47414285714285714
2025-02-25 00:34:47,476 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.4553807884046477, accuracy: 0.48414285714285715
2025-02-25 00:34:47,667 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.3199512269943272, accuracy: 0.561
2025-02-25 00:34:48,413 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.2147958652886082, accuracy: 0.5821428571428572
2025-02-25 00:35:08,366 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.3548253407217052, accuracy: 0.519
2025-02-25 00:35:08,620 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.3415296347173926, accuracy: 0.5201428571428571
2025-02-25 00:35:09,259 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.2117634663298793, accuracy: 0.6028571428571429
2025-02-25 00:35:09,262 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.3849814104162939, accuracy: 0.49942857142857144
2025-02-25 00:35:09,316 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.1039554222261525, accuracy: 0.6185714285714285
2025-02-25 00:40:33,000 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.4314466849581835, accuracy: 0.47985714285714287
2025-02-25 00:40:33,231 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.2198913303548342, accuracy: 0.5754285714285714
2025-02-25 00:40:35,310 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.4483576074038467, accuracy: 0.4835714285714286
2025-02-25 00:40:35,785 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.3180387997191791, accuracy: 0.5527142857142857
2025-02-25 00:40:35,937 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.4255223351798645, accuracy: 0.49742857142857144
2025-02-25 00:40:54,225 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.3320935301856907, accuracy: 0.5122857142857142
2025-02-25 00:40:55,984 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.0961799252795301, accuracy: 0.6187142857142857
2025-02-25 00:40:57,772 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.1897768155080544, accuracy: 0.607
2025-02-25 00:40:57,965 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.3098634516811807, accuracy: 0.5368571428571428
2025-02-25 00:40:59,060 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.3022285645410894, accuracy: 0.539
2025-02-25 00:41:15,013 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.2569434494460554, accuracy: 0.5431428571428571
2025-02-25 00:41:18,529 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 4] Training on 4 results: loss: 0.9947598805846689, accuracy: 0.6575714285714286
2025-02-25 00:41:18,755 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.21099112308733, accuracy: 0.5734285714285714
2025-02-25 00:41:19,376 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.0923185566244604, accuracy: 0.6404285714285715
2025-02-25 00:41:20,827 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.1980071209337069, accuracy: 0.5815714285714285
