test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
1.9676861404418946,0.2895,0.24828927726578617,0.3068283605924755,0.2895,0.64,0.783,0.332,0.25,0.0,0.04,0.237,0.243,0.183,0.187,orchestrator,0
1.6718434577941894,0.3973,0.3673347108978056,0.4283248979295786,0.3973,0.53,0.78,0.375,0.279,0.066,0.146,0.562,0.469,0.553,0.213,orchestrator,1
1.5479980318069457,0.4496,0.42465130287620934,0.46291490911220656,0.44959999999999994,0.476,0.806,0.415,0.327,0.126,0.196,0.68,0.532,0.673,0.265,orchestrator,2
1.4939653188705444,0.4736,0.45136494178551106,0.4806245687394385,0.4736000000000001,0.519,0.782,0.419,0.312,0.146,0.24,0.753,0.601,0.653,0.311,orchestrator,3
1.4555655172348023,0.4951,0.4769707311266808,0.5058083250641203,0.49510000000000004,0.479,0.807,0.42,0.358,0.181,0.272,0.754,0.617,0.692,0.371,orchestrator,4
1.4484814519405365,0.5089,0.49302667266453576,0.5136896664765312,0.5088999999999999,0.552,0.813,0.443,0.381,0.239,0.254,0.698,0.621,0.718,0.37,orchestrator,5
1.4285964009284973,0.5216,0.5104547386271264,0.5260450456200877,0.5216000000000001,0.553,0.761,0.387,0.404,0.255,0.324,0.78,0.621,0.697,0.434,orchestrator,6
1.4275631021499633,0.5312,0.5199350934246286,0.5337997560770719,0.5312,0.56,0.77,0.429,0.42,0.256,0.313,0.762,0.617,0.72,0.465,orchestrator,7
1.4383248391628265,0.5396,0.5294979470110611,0.5400212059496451,0.5396000000000001,0.563,0.791,0.384,0.428,0.274,0.372,0.746,0.643,0.716,0.479,orchestrator,8
1.4265662352085113,0.5499,0.5436275950442759,0.5506627389538821,0.5499,0.592,0.741,0.424,0.458,0.314,0.364,0.716,0.682,0.679,0.529,orchestrator,9
1.4560799686431884,0.5511,0.5443738046140568,0.5514089983165527,0.5510999999999999,0.562,0.718,0.385,0.438,0.298,0.405,0.739,0.696,0.693,0.577,orchestrator,10
1.4613875544548034,0.5634,0.5586085377033386,0.5623932908767417,0.5634,0.587,0.719,0.366,0.428,0.42,0.413,0.736,0.696,0.708,0.561,orchestrator,11
1.5004657289028167,0.5632,0.5555947866281199,0.5591678083670198,0.5631999999999999,0.581,0.792,0.426,0.367,0.405,0.408,0.751,0.684,0.721,0.497,orchestrator,12
1.5474969465970994,0.5662,0.5598074693013186,0.5670180417477451,0.5662,0.584,0.761,0.469,0.444,0.364,0.352,0.75,0.654,0.726,0.558,orchestrator,13
1.5889877263069152,0.568,0.5612795387413738,0.5641938186216466,0.5680000000000001,0.631,0.776,0.423,0.37,0.373,0.454,0.702,0.692,0.689,0.57,orchestrator,14
1.5938404197454452,0.5682,0.5645560839262539,0.570273846547076,0.5681999999999999,0.604,0.708,0.428,0.478,0.396,0.369,0.745,0.668,0.715,0.571,orchestrator,15
1.6261689319133759,0.5755,0.5731664563987191,0.5766510856729191,0.5754999999999999,0.627,0.737,0.471,0.446,0.36,0.482,0.696,0.686,0.685,0.565,orchestrator,16
1.6689491495132447,0.5736,0.5684817645525273,0.5727219745628152,0.5736,0.621,0.755,0.45,0.397,0.369,0.48,0.743,0.679,0.72,0.522,orchestrator,17
