iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,4,1.2506533482847693,0.5722857142857143,"[1.6478817711954248, 1.3848272191879412, 1.2506533482847693]","[0.41414285714285715, 0.5227142857142857, 0.5722857142857143]"
0,1,1.4783603250980377,0.48542857142857143,"[1.872913386179432, 1.630236420729389, 1.4783603250980377]","[0.34385714285714286, 0.42514285714285716, 0.48542857142857143]"
0,0,1.509515537382805,0.4677142857142857,"[1.7887149436833107, 1.6189951006680319, 1.509515537382805]","[0.35828571428571426, 0.43614285714285717, 0.4677142857142857]"
0,3,1.528998982552524,0.45185714285714285,"[1.9827578516855633, 1.7060026763236686, 1.528998982552524]","[0.2562857142857143, 0.37914285714285717, 0.45185714285714285]"
0,2,1.3502496795295036,0.5494285714285714,"[1.750644378466149, 1.4946180999823357, 1.3502496795295036]","[0.38642857142857145, 0.498, 0.5494285714285714]"
1,0,1.3849814104162939,0.49942857142857144,"[1.588745692821398, 1.4654976430276758, 1.3849814104162939]","[0.4227142857142857, 0.47414285714285714, 0.49942857142857144]"
1,1,1.3415296347173926,0.5201428571428571,"[1.6078992366246436, 1.4553807884046477, 1.3415296347173926]","[0.42228571428571426, 0.48414285714285715, 0.5201428571428571]"
1,2,1.2117634663298793,0.6028571428571429,"[1.5013553690692605, 1.3199512269943272, 1.2117634663298793]","[0.49042857142857144, 0.561, 0.6028571428571429]"
1,4,1.1039554222261525,0.6185714285714285,"[1.3806542926999532, 1.2147958652886082, 1.1039554222261525]","[0.5152857142857142, 0.5821428571428572, 0.6185714285714285]"
1,3,1.3548253407217052,0.519,"[1.6461976916278334, 1.4738636124351798, 1.3548253407217052]","[0.4062857142857143, 0.4705714285714286, 0.519]"
2,4,0.9947598805846689,0.6575714285714286,"[1.2198913303548342, 1.0961799252795301, 0.9947598805846689]","[0.5754285714285714, 0.6187142857142857, 0.6575714285714286]"
2,3,1.21099112308733,0.5734285714285714,"[1.4483576074038467, 1.3098634516811807, 1.21099112308733]","[0.4835714285714286, 0.5368571428571428, 0.5734285714285714]"
2,0,1.2569434494460554,0.5431428571428571,"[1.4314466849581835, 1.3320935301856907, 1.2569434494460554]","[0.47985714285714287, 0.5122857142857142, 0.5431428571428571]"
2,1,1.1980071209337069,0.5815714285714285,"[1.4255223351798645, 1.3022285645410894, 1.1980071209337069]","[0.49742857142857144, 0.539, 0.5815714285714285]"
2,2,1.0923185566244604,0.6404285714285715,"[1.3180387997191791, 1.1897768155080544, 1.0923185566244604]","[0.5527142857142857, 0.607, 0.6404285714285715]"
3,4,0.8876258138244011,0.693,"[1.1058707238604488, 0.9894646044871579, 0.8876258138244011]","[0.6161428571428571, 0.655, 0.693]"
