2024-12-03 13:42:26,253 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 2.1417786072993623, accuracy: 0.2678857142857143
2024-12-03 13:42:26,614 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.2595605642899224, accuracy: 0.15702857142857143
2024-12-03 13:42:28,948 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.2371147646420244, accuracy: 0.2064
2024-12-03 13:42:29,184 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 2.182126014128975, accuracy: 0.25348571428571426
2024-12-03 13:42:29,441 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 2.0308628427809565, accuracy: 0.3494857142857143
2024-12-03 13:42:30,135 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.11681688522947, accuracy: 0.2557714285714286
2024-12-03 13:42:30,226 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 2.177131065423938, accuracy: 0.24777142857142856
2024-12-03 13:42:30,547 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.158098283021346, accuracy: 0.2422857142857143
2024-12-03 13:42:33,610 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.9307143204454063, accuracy: 0.3568
2024-12-03 13:42:34,467 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 2.135046022525732, accuracy: 0.23611428571428572
2024-12-03 13:42:35,724 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 2.1107294991396475, accuracy: 0.26445714285714284
2024-12-03 13:42:36,081 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.9882860529249993, accuracy: 0.35474285714285714
2024-12-03 13:42:36,858 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.8092952966690063, accuracy: 0.42834285714285714
2024-12-03 13:42:36,978 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.9852328058602153, accuracy: 0.31405714285714287
2024-12-03 13:42:37,355 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.9596961391144905, accuracy: 0.32457142857142857
2024-12-03 13:42:38,722 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 2.0014944923096807, accuracy: 0.3232
2024-12-03 13:42:40,962 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 7] Training on 7 results: loss: 1.8588424540948176, accuracy: 0.3570285714285714
2024-12-03 13:42:44,135 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 2.065512610518414, accuracy: 0.28182857142857143
2024-12-03 13:42:44,299 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 6] Training on 6 results: loss: 2.0841192093448364, accuracy: 0.25234285714285715
2024-12-03 13:42:44,787 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.9107420738192573, accuracy: 0.3369142857142857
2024-12-03 13:42:45,173 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.741099945013074, accuracy: 0.4395428571428571
2024-12-03 13:42:45,294 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.9283873361089956, accuracy: 0.3670857142857143
2024-12-03 13:42:46,287 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 5] Training on 5 results: loss: 1.9207487451857415, accuracy: 0.3273142857142857
2024-12-03 13:42:48,019 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.9521191258361374, accuracy: 0.32594285714285715
2024-12-03 16:23:49,645 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.035779255023901, accuracy: 0.2870857142857143
2024-12-03 16:23:50,590 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.129668626232424, accuracy: 0.25234285714285715
2024-12-03 16:23:50,885 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 2.066837645959163, accuracy: 0.3124571428571429
2024-12-03 16:23:51,010 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.1427428100420083, accuracy: 0.2198857142857143
2024-12-03 16:23:51,181 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 2.0578921549562095, accuracy: 0.30034285714285713
2024-12-03 16:23:51,332 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 2.0363779551741006, accuracy: 0.32525714285714286
2024-12-03 16:23:51,608 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.9290775820828867, accuracy: 0.39017142857142856
2024-12-03 16:23:51,665 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.0494341556576714, accuracy: 0.29645714285714286
2024-12-03 16:23:59,499 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.920802394549052, accuracy: 0.33234285714285716
2024-12-03 16:24:00,384 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.9328940692155256, accuracy: 0.3659428571428571
2024-12-03 16:24:00,442 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 2.0589934086454087, accuracy: 0.28182857142857143
2024-12-03 16:24:00,665 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 2.07918764024541, accuracy: 0.25097142857142857
2024-12-03 16:24:01,003 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.931486231693323, accuracy: 0.328
2024-12-03 16:24:01,307 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.7589889661125515, accuracy: 0.4413714285714286
2024-12-03 16:24:01,472 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.8747153731359951, accuracy: 0.368
2024-12-03 16:24:01,472 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.9559396626292795, accuracy: 0.3264
2024-12-03 16:24:09,290 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.8806852465090544, accuracy: 0.34217142857142857
2024-12-03 16:24:09,681 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.8905281795971636, accuracy: 0.37257142857142855
2024-12-03 16:24:09,722 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 4] Training on 4 results: loss: 2.0292354511178057, accuracy: 0.2912
