test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.17692424233552,0.1921,0.17334111249638645,0.18312198352706435,0.1921,0.3,0.03,0.057,0.172,0.105,0.093,0.361,0.122,0.364,0.317,orchestrator,0
2.12969701229387,0.2095,0.19494557870566062,0.20362167548541826,0.20949999999999996,0.326,0.045,0.135,0.169,0.141,0.14,0.367,0.089,0.348,0.335,orchestrator,1
2.104473605277432,0.2181,0.20363866933599822,0.2127483326353113,0.21809999999999996,0.307,0.049,0.189,0.16,0.144,0.15,0.382,0.093,0.368,0.339,orchestrator,2
2.0889528875897643,0.2245,0.21006598040044105,0.21853098287624156,0.2245,0.284,0.052,0.205,0.19,0.147,0.146,0.384,0.095,0.402,0.34,orchestrator,3
2.0779138249196825,0.2293,0.2151400579183771,0.2246204774600161,0.2293,0.268,0.058,0.215,0.191,0.159,0.152,0.38,0.102,0.449,0.319,orchestrator,4
2.0701677404391536,0.2298,0.21648839462138744,0.22751141541224937,0.2298,0.265,0.059,0.231,0.184,0.181,0.14,0.366,0.111,0.44,0.321,orchestrator,5
2.0643311321355733,0.2308,0.2171512625703867,0.22745019696819488,0.23079999999999998,0.257,0.062,0.244,0.181,0.192,0.129,0.361,0.111,0.465,0.306,orchestrator,6
2.0598375242986497,0.2312,0.2167010690516523,0.22723569206160366,0.2312,0.25,0.062,0.244,0.177,0.193,0.122,0.374,0.109,0.485,0.296,orchestrator,7
2.0537825078721257,0.2315,0.21765062925825873,0.2269130700627328,0.23149999999999998,0.268,0.066,0.236,0.193,0.192,0.121,0.364,0.104,0.469,0.302,orchestrator,8
2.050582096075556,0.2353,0.22101075381694982,0.23177008225305434,0.2353,0.239,0.068,0.253,0.198,0.191,0.125,0.364,0.108,0.492,0.315,orchestrator,9
2.0459670496594375,0.2353,0.22085833655827886,0.231996562926503,0.2353,0.249,0.071,0.227,0.22,0.204,0.113,0.371,0.104,0.484,0.31,orchestrator,10
2.043253890268362,0.2368,0.22197695521456282,0.2328938940229724,0.23679999999999998,0.241,0.074,0.222,0.225,0.212,0.111,0.373,0.102,0.501,0.307,orchestrator,11
2.040052488351324,0.2389,0.22526068992019727,0.2354463323087987,0.23889999999999997,0.256,0.073,0.234,0.199,0.229,0.123,0.366,0.113,0.489,0.307,orchestrator,12
2.037494888730869,0.24,0.22557042598986138,0.23596261430736779,0.24,0.239,0.078,0.238,0.204,0.225,0.128,0.36,0.105,0.527,0.296,orchestrator,13
2.0347839715374505,0.2412,0.22760384045437446,0.23716431958780104,0.2412,0.244,0.081,0.243,0.197,0.235,0.134,0.358,0.112,0.518,0.29,orchestrator,14
2.031768517889035,0.2421,0.22844092320894246,0.23847659157682588,0.24210000000000004,0.239,0.085,0.238,0.208,0.237,0.128,0.362,0.11,0.516,0.298,orchestrator,15
2.0295535234888646,0.242,0.2268337480971523,0.23803847917050644,0.24200000000000005,0.23,0.088,0.251,0.178,0.245,0.124,0.369,0.103,0.535,0.297,orchestrator,16
2.0274321159739404,0.2428,0.2273015995440198,0.23993139474289443,0.2428,0.208,0.088,0.266,0.177,0.238,0.121,0.372,0.117,0.556,0.285,orchestrator,17
2.0235737296426373,0.2453,0.23085183265851553,0.24193764981498317,0.2453,0.22,0.091,0.253,0.187,0.25,0.129,0.369,0.115,0.539,0.3,orchestrator,18
2.020567980541545,0.2464,0.23198379822389428,0.24409352881583657,0.2464,0.218,0.091,0.252,0.178,0.266,0.131,0.361,0.126,0.55,0.291,orchestrator,19
2.017734213239828,0.2467,0.23206796200402793,0.24504910076203906,0.2467,0.219,0.096,0.254,0.182,0.248,0.125,0.374,0.128,0.556,0.285,orchestrator,20
2.0148616831773407,0.2495,0.23564667504667205,0.24855379620616133,0.2495,0.227,0.099,0.256,0.188,0.267,0.127,0.368,0.131,0.548,0.284,orchestrator,21
2.0109279034244025,0.2509,0.23693040500024448,0.24916402506794003,0.2509,0.223,0.101,0.25,0.175,0.275,0.143,0.371,0.132,0.561,0.278,orchestrator,22
2.0072744629185673,0.2523,0.2384530440194764,0.2506812520247786,0.25229999999999997,0.241,0.106,0.236,0.184,0.263,0.161,0.37,0.118,0.575,0.269,orchestrator,23
2.0028608839982636,0.2541,0.241129277533713,0.2521008489890776,0.2541,0.24,0.106,0.243,0.177,0.302,0.143,0.355,0.128,0.534,0.313,orchestrator,24
1.999823213382891,0.2565,0.24343426693789513,0.25614972255104673,0.2565,0.226,0.116,0.242,0.19,0.301,0.144,0.363,0.133,0.561,0.289,orchestrator,25
1.9949668736974144,0.2578,0.2451871390901379,0.25731190693467804,0.25780000000000003,0.222,0.119,0.248,0.204,0.29,0.145,0.362,0.136,0.562,0.29,orchestrator,26
1.9906584905211333,0.2598,0.24654263251577327,0.2612157921051168,0.2598,0.226,0.124,0.239,0.197,0.303,0.15,0.365,0.134,0.589,0.271,orchestrator,27
