iteration,node_id,accuracy,test_loss,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9
0,7,0.004299999999999998,-0.026083607582529478,0.040362310970730175,0.018251027581322327,0.0042999999999999705,-0.22100000000000003,-0.018000000000000002,-0.433,0.146,0.105,-0.24000000000000002,0.316,0.106,0.34299999999999997,-0.061
0,6,-0.007500000000000007,-0.0019474712906366598,0.002651842783519792,-0.012814600503882334,-0.007500000000000034,-0.08400000000000002,-0.020000000000000004,-0.087,0.15999999999999998,0.086,-0.347,0.09199999999999997,0.021999999999999992,0.08999999999999997,0.013000000000000012
0,4,0.007500000000000007,-0.01006017217210875,0.029152046390658465,-0.021719182952936317,0.007499999999999979,0.017000000000000015,-0.0020000000000000018,0.033,-0.243,-0.269,0.086,0.307,0.013999999999999999,0.296,-0.16399999999999998
0,3,0.013399999999999995,-0.026233999592483404,0.04957963700208211,0.007320692673521062,0.013399999999999995,0.10999999999999999,0.022,0.057,0.011999999999999983,-0.602,0.092,0.354,0.020000000000000004,0.26,-0.191
0,2,0.018299999999999983,-0.03411753769892778,0.07572015346482887,0.03440540962530808,0.018299999999999983,0.295,0.024,0.057,0.16799999999999998,0.105,-0.51,0.317,0.036000000000000004,-0.40900000000000003,0.1
0,0,0.018799999999999983,-0.02924415867799368,0.060944483807106986,0.029522930999588776,0.01880000000000001,-0.38799999999999996,0.03,0.011000000000000003,-0.14500000000000002,0.095,0.093,0.33699999999999997,-0.348,0.34099999999999997,0.162
0,1,0.014999999999999986,-0.014496352262557632,0.053761560322182544,0.028683439045369852,0.014999999999999986,-0.26299999999999996,-0.024,0.057,0.142,-0.06600000000000002,0.091,-0.23099999999999998,0.079,0.07600000000000001,0.289
0,5,0.014600000000000002,-0.031774394831080244,0.06057194277398756,-0.031303249515972686,0.014600000000000002,0.239,-0.176,0.051000000000000004,-0.08800000000000002,0.105,0.092,-0.258,0.08499999999999999,-0.21999999999999997,0.316
1,0,0.017600000000000005,-0.022800731810794783,0.04913292008187123,0.010720359685990832,0.01759999999999995,-0.322,0.043,-0.0069999999999999785,-0.204,0.119,0.14,0.277,-0.28900000000000003,0.27399999999999997,0.14500000000000002
1,4,0.004599999999999993,-0.01232018212603947,0.02109032029125546,-0.019048469754622405,0.004599999999999965,0.007000000000000006,0.009000000000000001,0.067,-0.208,-0.27,0.131,0.262,0.0,0.176,-0.128
1,6,-0.002600000000000019,-0.005872007388218581,0.011367775468460878,-0.009696759917723674,-0.0026000000000000467,-0.11099999999999999,-0.010000000000000002,-0.07899999999999999,0.161,0.09,-0.293,0.068,0.0010000000000000009,0.11899999999999997,0.028000000000000025
1,7,0.014899999999999997,-0.031245210368162635,0.06030614431155598,0.015002600287662843,0.014899999999999969,-0.197,-0.011000000000000003,-0.355,0.14900000000000002,0.141,-0.239,0.324,0.08199999999999999,0.33099999999999996,-0.07599999999999996
1,3,0.013999999999999985,-0.023772524420623053,0.051570453421351,-0.02963371272761975,0.013999999999999985,0.05399999999999999,0.034,0.10700000000000001,-0.032,-0.574,0.139,0.357,0.011999999999999997,0.20199999999999999,-0.15899999999999997
1,5,0.022499999999999992,-0.03459539990516225,0.070341393188114,0.023227658623525937,0.022499999999999964,0.21600000000000003,-0.16299999999999998,0.12100000000000001,-0.206,0.141,0.139,-0.22799999999999998,0.057999999999999996,-0.18800000000000006,0.335
1,1,0.011399999999999993,-0.015286882212207864,0.04496141310051352,-0.016801004039226408,0.011399999999999966,-0.23100000000000004,-0.028999999999999998,0.13,0.131,-0.098,0.132,-0.22199999999999998,0.03899999999999999,0.08299999999999996,0.17900000000000002
