iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,1.8588424540948176,0.3570285714285714,"[2.1417786072993623, 1.9307143204454063, 1.8588424540948176]","[0.2678857142857143, 0.3568, 0.3570285714285714]"
0,6,2.0841192093448364,0.25234285714285715,"[2.2595605642899224, 2.135046022525732, 2.0841192093448364]","[0.15702857142857143, 0.23611428571428572, 0.25234285714285715]"
0,4,2.065512610518414,0.28182857142857143,"[2.2371147646420244, 2.1107294991396475, 2.065512610518414]","[0.2064, 0.26445714285714284, 0.28182857142857143]"
0,3,1.9283873361089956,0.3670857142857143,"[2.182126014128975, 1.9882860529249993, 1.9283873361089956]","[0.25348571428571426, 0.35474285714285714, 0.3670857142857143]"
0,2,1.741099945013074,0.4395428571428571,"[2.0308628427809565, 1.8092952966690063, 1.741099945013074]","[0.3494857142857143, 0.42834285714285714, 0.4395428571428571]"
0,0,1.9107420738192573,0.3369142857142857,"[2.11681688522947, 1.9596961391144905, 1.9107420738192573]","[0.2557714285714286, 0.32457142857142857, 0.3369142857142857]"
0,1,1.9521191258361374,0.32594285714285715,"[2.158098283021346, 2.0014944923096807, 1.9521191258361374]","[0.2422857142857143, 0.3232, 0.32594285714285715]"
0,5,1.9207487451857415,0.3273142857142857,"[2.177131065423938, 1.9852328058602153, 1.9207487451857415]","[0.24777142857142856, 0.31405714285714287, 0.3273142857142857]"
1,0,1.8806852465090544,0.34217142857142857,"[2.035779255023901, 1.920802394549052, 1.8806852465090544]","[0.2870857142857143, 0.33234285714285716, 0.34217142857142857]"
1,4,2.0292354511178057,0.2912,"[2.129668626232424, 2.0589934086454087, 2.0292354511178057]","[0.25234285714285715, 0.28182857142857143, 0.2912]"
1,6,2.04703554554262,0.2592,"[2.1427428100420083, 2.07918764024541, 2.04703554554262]","[0.2198857142857143, 0.25097142857142857, 0.2592]"
1,7,1.823776139729265,0.3686857142857143,"[2.0363779551741006, 1.8747153731359951, 1.823776139729265]","[0.32525714285714286, 0.368, 0.3686857142857143]"
1,3,1.8905281795971636,0.37257142857142855,"[2.066837645959163, 1.9328940692155256, 1.8905281795971636]","[0.3124571428571429, 0.3659428571428571, 0.37257142857142855]"
1,5,1.8839019381481668,0.3328,"[2.0578921549562095, 1.931486231693323, 1.8839019381481668]","[0.30034285714285713, 0.328, 0.3328]"
1,1,1.920669258504674,0.32754285714285714,"[2.0494341556576714, 1.9559396626292795, 1.920669258504674]","[0.29645714285714286, 0.3264, 0.32754285714285714]"
1,2,1.7076040281765703,0.44685714285714284,"[1.9290775820828867, 1.7589889661125515, 1.7076040281765703]","[0.39017142857142856, 0.4413714285714286, 0.44685714285714284]"
2,3,1.8725245344466057,0.37325714285714284,"[2.032269733539526, 1.9089774618978086, 1.8725245344466057]","[0.32548571428571427, 0.37211428571428573, 0.37325714285714284]"
2,5,1.865718680879344,0.34285714285714286,"[2.019181462301724, 1.9041503080423328, 1.865718680879344]","[0.3001142857142857, 0.33417142857142856, 0.34285714285714286]"
2,7,1.8079058657521787,0.37074285714285715,"[1.9986685756323994, 1.852131358091382, 1.8079058657521787]","[0.3296, 0.36914285714285716, 0.37074285714285715]"
