2024-11-24 19:03:39,618 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.9602700500777273, accuracy: 0.43142857142857144
2024-11-24 19:03:41,158 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.6692913120443171, accuracy: 0.49314285714285716
2024-11-24 19:03:43,027 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.8034833171150901, accuracy: 0.484
2024-11-24 19:03:43,910 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.7261945688363278, accuracy: 0.44685714285714284
2024-11-24 19:03:44,487 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.9802493781754464, accuracy: 0.38571428571428573
2024-11-24 19:03:45,192 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.9248008886973063, accuracy: 0.42838095238095236
2024-11-24 19:03:45,714 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.4098567243778344, accuracy: 0.6335238095238095
2024-11-24 19:03:45,887 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.9573713432658801, accuracy: 0.3036190476190476
2024-11-24 19:03:45,989 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.8229258508393258, accuracy: 0.4899047619047619
2024-11-24 19:03:47,314 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.1215410167520696, accuracy: 0.6761904761904762
2024-11-24 19:03:48,871 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.2992141564687094, accuracy: 0.5779047619047619
2024-11-24 19:03:49,619 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.2251736969658822, accuracy: 0.6565714285714286
2024-11-24 19:03:49,986 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.499939050096454, accuracy: 0.5628571428571428
2024-11-24 19:03:50,443 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.401493614731413, accuracy: 0.5622857142857143
2024-11-24 19:03:50,823 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.7260421593983968, accuracy: 0.42038095238095236
2024-11-24 19:03:50,879 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.3810281049121509, accuracy: 0.5542857142857143
2024-11-24 19:27:43,922 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.349563587434364, accuracy: 0.6441904761904762
2024-11-24 19:27:44,355 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.2594274831540657, accuracy: 0.6297142857142857
2024-11-24 19:27:45,554 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.0758702791098393, accuracy: 0.7558095238095238
2024-11-24 19:27:45,874 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.3911379572116966, accuracy: 0.6624761904761904
2024-11-24 19:27:46,030 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.175338707186959, accuracy: 0.7521904761904762
2024-11-24 19:27:46,106 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.5537187728014858, accuracy: 0.4980952380952381
2024-11-24 19:27:46,763 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.2588110703410524, accuracy: 0.6721904761904762
2024-11-24 19:27:46,939 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.3757567044460413, accuracy: 0.6318095238095238
2024-11-24 19:27:49,556 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.9406206701741074, accuracy: 0.7255238095238096
2024-11-24 19:27:49,963 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.9218658487002055, accuracy: 0.733904761904762
2024-11-24 19:27:51,360 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.6995521796472145, accuracy: 0.8165714285714286
2024-11-24 19:27:51,388 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.8971367622866775, accuracy: 0.7603809523809524
2024-11-24 19:27:51,572 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.2252654884800767, accuracy: 0.6175238095238095
2024-11-24 19:27:51,675 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.7667771603121902, accuracy: 0.816
2024-11-24 19:27:52,002 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.9295531941182685, accuracy: 0.737904761904762
2024-11-24 19:27:52,087 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.9967817133123225, accuracy: 0.7194285714285714
2024-11-24 19:56:12,185 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.8000185699173898, accuracy: 0.820952380952381
2024-11-24 19:56:12,240 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.199394777326873, accuracy: 0.6377142857142857
2024-11-24 19:56:13,060 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.9107119693900599, accuracy: 0.7561904761904762
2024-11-24 19:56:13,187 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.9569047245112332, accuracy: 0.7801904761904762
