iteration,node_id,accuracy,test_loss,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9
0,7,-0.10470000000000002,0.01420206574205407,-0.06772474850180832,-0.04449593458017913,-0.10469999999999996,0.321,0.0,0.0,-0.966,0.0,0.0,0.031,0.0,-0.45099999999999996,0.018000000000000016
0,6,0.012199999999999989,-0.018011829342704733,0.023636402185917407,0.018662447788531406,0.012199999999999989,-0.039000000000000035,0.0,0.0,0.0,0.0,-1.0,0.107,0.0,0.055999999999999994,0.998
0,4,-0.02840000000000001,0.03171490023311341,-0.05472301129165441,-0.15606102127494975,-0.02839999999999998,0.172,0.0,-0.092,0.0,0.0,0.0,-0.194,-0.325,0.134,0.02100000000000002
0,3,-0.0695,-0.17076414956833208,-0.04870355820026165,-0.0652394107591499,-0.0695,0.137,0.0,-0.001,0.0,0.0,-0.975,0.104,0.0,-0.344,0.384
0,2,0.0031999999999999806,0.01661761500203207,0.003972265016554927,0.025639301705228185,0.0031999999999999806,0.07299999999999995,0.0,0.0,0.0,0.0,0.0,0.019000000000000003,-1.0,-0.057999999999999996,0.998
0,0,0.0739,-0.06701804883182971,0.0712238986950014,-0.01099827106237318,0.0739,0.606,0.0,0.0,0.0,0.0,-0.002,-0.06100000000000001,-0.002,-0.7999999999999999,0.998
0,1,0.0041999999999999815,-0.16146722502601785,0.009427757922074842,-0.03979310337801585,0.0041999999999999815,0.05799999999999994,0.0,0.0,0.0,0.0,0.0,-0.16200000000000003,0.0,0.147,-0.0010000000000000009
0,5,0.06209999999999999,0.07518459470889072,0.04453748546315771,0.027374711577627983,0.06209999999999999,0.323,0.0,-0.053,0.0,0.0,0.0,-0.804,0.0,0.157,0.998
1,0,0.04089999999999999,0.20317445776333076,0.04129630583624719,-0.09169273798498001,0.04089999999999999,0.192,-0.321,0.0,0.03300000000000003,0.0,-0.06299999999999994,0.003,0.0,-0.40199999999999997,0.967
1,4,-0.02080000000000004,0.1534007399226911,-0.054151516317520854,-0.13515998638645327,-0.02080000000000004,0.179,0.0,0.0,-0.247,0.0,0.16300000000000003,-0.035,-0.576,0.294,0.014000000000000012
1,6,-0.03290000000000004,0.2744033176678058,-0.025870695341562,-0.08535082068786809,-0.032899999999999985,-0.33199999999999996,-0.389,0.0,-0.051000000000000045,-0.033,-0.06299999999999994,0.005,0.0,-0.434,0.968
1,7,0.08939999999999998,-0.09171690575230995,0.10013852909861554,0.05106511738466041,0.08939999999999998,0.332,0.0,0.0,-0.19599999999999995,0.0,0.937,0.0,0.0,-0.14800000000000002,-0.031000000000000028
1,3,0.09209999999999999,-0.06098281232693692,0.04672082775879932,-0.12103983457512557,0.09209999999999996,-0.23199999999999998,-0.128,0.0,0.746,0.0,0.6480000000000001,0.004,0.0,-0.08600000000000002,-0.031000000000000028
1,5,-0.07519999999999999,0.19082487772067136,-0.06084918084355678,-0.1425449002388559,-0.07519999999999999,-0.248,-0.084,0.0,-0.009000000000000008,-0.002,0.015000000000000013,-0.715,0.0,0.287,0.0040000000000000036
1,1,0.13779999999999998,0.011318723614604398,0.10625837910130032,-0.05744910113071289,0.13779999999999998,-0.18900000000000006,0.0,0.0,0.74,-0.006,0.886,0.002,0.0,-0.025000000000000022,-0.030000000000000027
1,2,-0.010699999999999987,0.2030209980833646,-0.038962865907234856,-0.20353014375590578,-0.010699999999999932,0.268,0.0,0.0,-0.239,-0.045,-0.041999999999999926,-0.027000000000000003,-0.076,-0.35100000000000003,0.405
2,3,-0.06300000000000006,0.01752310439039717,-0.04322779024563639,-0.014155683768192318,-0.06300000000000006,0.09799999999999998,-0.08099999999999996,-0.584,0.04699999999999993,0.244,-0.38,0.004999999999999999,0.32699999999999996,-0.17500000000000004,-0.131
2,5,-0.08479999999999999,0.06549945673622637,-0.11293485487238308,-0.058858305919535114,-0.08479999999999999,-0.04800000000000004,-0.124,0.016000000000000014,0.21799999999999997,-0.26999999999999996,-0.0020000000000000018,-0.27299999999999996,0.028000000000000025,0.09499999999999997,-0.48800000000000004
2,7,0.050899999999999945,-0.12149105570948548,0.0550149572791615,0.05711201039982783,0.050899999999999945,0.18099999999999994,0.462,-0.048000000000000015,-0.124,0.309,0.11199999999999999,-0.061,0.0050000000000000044,-0.125,-0.202
2,2,0.16799999999999998,-0.21038697302912746,0.1932040412529129,0.053291151069881915,0.16800000000000004,0.373,0.672,0.23,-0.139,0.019000000000000017,0.185,0.006999999999999999,-0.0020000000000000018,0.05399999999999994,0.281
2,1,-0.12030000000000007,0.10564588948179732,-0.11236678521636168,-0.05566768777569242,-0.12030000000000007,-0.0040000000000000036,-0.10799999999999998,0.15300000000000002,0.08399999999999996,-0.5189999999999999,-0.29600000000000004,-0.055999999999999994,0.11599999999999999,-0.016000000000000014,-0.5569999999999999
2,4,0.008000000000000007,0.012122694486246255,-0.006868150183750088,-0.02995752745174385,0.008000000000000007,0.08599999999999997,0.020000000000000018,0.05700000000000002,-0.07200000000000006,0.063,0.247,-0.287,0.0010000000000000009,0.19299999999999995,-0.22800000000000004
2,6,-0.04390000000000005,0.04863894309479577,-0.028273483940469024,0.007498807741697311,-0.04390000000000005,0.027000000000000024,-0.040000000000000036,0.025000000000000022,-0.04400000000000004,-0.24600000000000005,-0.248,0.013999999999999999,0.03300000000000003,-0.03500000000000003,0.07500000000000001
2,0,-0.09030000000000005,0.0526404712146844,-0.08476041511053589,0.016284180514728908,-0.09029999999999994,0.29100000000000004,-0.11399999999999999,-0.5750000000000001,-0.04200000000000004,0.309,-0.22599999999999998,-0.27299999999999996,0.03700000000000003,-0.16800000000000004,-0.14200000000000002
3,2,0.0021999999999999797,0.011378754251681222,0.007458358135556398,-0.00816241623134939,0.0021999999999999797,0.008000000000000007,0.07799999999999996,0.068,0.020999999999999908,-0.10999999999999999,-0.017000000000000015,-0.01799999999999996,-0.07399999999999995,0.0,0.06599999999999995
3,0,-0.0004999999999999449,0.025605771297844915,-0.010006655417572285,-0.0034900224807099534,-0.000500000000000056,0.10399999999999998,-0.0020000000000000018,-0.304,0.027999999999999914,0.367,0.007000000000000006,-0.14599999999999996,-0.07699999999999996,-0.029000000000000026,0.04699999999999993
3,3,0.02749999999999997,-0.011515084546975807,0.04473006786836442,0.03625448720340563,0.02749999999999997,-0.020000000000000018,-0.04400000000000004,-0.5720000000000001,0.039999999999999925,0.03400000000000003,-0.03600000000000003,0.36200000000000004,0.539,0.0040000000000000036,-0.03200000000000003
