2024-11-23 22:51:59,706 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.3309578389832468, accuracy: 0.703047619047619
2024-11-23 22:52:00,099 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.403082372564258, accuracy: 0.6807619047619048
2024-11-23 22:52:00,137 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.3306230508919918, accuracy: 0.7243809523809523
2024-11-23 22:52:00,929 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.1937510212262472, accuracy: 0.7643809523809524
2024-11-23 22:52:00,965 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.2284858584403993, accuracy: 0.7257142857142858
2024-11-23 22:52:01,140 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.396757427851359, accuracy: 0.6958095238095238
2024-11-23 22:52:01,150 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.4393382812991287, accuracy: 0.659047619047619
2024-11-23 22:52:01,264 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.4489457628943703, accuracy: 0.6739047619047619
2024-11-23 22:52:05,647 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.8496129303267508, accuracy: 0.8213333333333334
2024-11-23 22:52:06,238 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.750887400634361, accuracy: 0.8584761904761905
2024-11-23 22:52:06,266 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.8058990467678416, accuracy: 0.8081904761904762
2024-11-23 22:52:06,591 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.6417259978525567, accuracy: 0.8864761904761905
2024-11-23 22:52:06,891 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.865894901752472, accuracy: 0.7860952380952381
2024-11-23 22:52:06,900 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.7498747502312516, accuracy: 0.8415238095238096
2024-11-23 22:52:06,961 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.8199152193286202, accuracy: 0.8352380952380952
2024-11-23 22:52:07,195 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.8929138602632465, accuracy: 0.8272380952380952
2024-11-23 23:27:32,177 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.9098844401764147, accuracy: 0.8449523809523809
2024-11-23 23:27:32,448 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.8505862880836833, accuracy: 0.8660952380952381
2024-11-23 23:27:34,153 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.8789750048608491, accuracy: 0.8489523809523809
2024-11-23 23:27:34,323 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.8841966932470148, accuracy: 0.8478095238095238
2024-11-23 23:27:34,536 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.7400330436952186, accuracy: 0.8961904761904762
2024-11-23 23:27:34,651 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.824430155212229, accuracy: 0.8649523809523809
2024-11-23 23:27:36,109 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.9077482017603787, accuracy: 0.839047619047619
2024-11-23 23:27:36,414 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.7653903094204989, accuracy: 0.8779047619047619
2024-11-23 23:27:37,899 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.6651125819394083, accuracy: 0.8790476190476191
2024-11-23 23:27:38,296 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.5404166154789202, accuracy: 0.9072380952380953
2024-11-23 23:27:39,831 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.5709182863885706, accuracy: 0.8819047619047619
2024-11-23 23:27:39,924 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.5711705588933194, accuracy: 0.8961904761904762
2024-11-23 23:27:39,977 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.7620910388050657, accuracy: 0.8403809523809523
2024-11-23 23:27:40,004 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.4598677914250981, accuracy: 0.9257142857142857
2024-11-23 23:27:41,937 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.6113736470540364, accuracy: 0.8779047619047619
2024-11-23 23:27:42,280 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.5417367097103234, accuracy: 0.9020952380952381
2024-11-23 23:57:01,072 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.5588350792725881, accuracy: 0.9125714285714286
2024-11-23 23:57:03,058 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.4951642618034825, accuracy: 0.9333333333333333
2024-11-23 23:57:04,355 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.6152506680199594, accuracy: 0.8979047619047619
2024-11-23 23:57:04,722 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.6210634329102256, accuracy: 0.8956190476190476
2024-11-23 23:57:04,803 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.6012658270922574, accuracy: 0.8982857142857142
2024-11-23 23:57:04,995 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.5222835683461392, accuracy: 0.923047619047619
2024-11-23 23:57:05,117 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.6062440557913347, accuracy: 0.9070476190476191
2024-11-23 23:57:05,257 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.5857767955823379, accuracy: 0.9070476190476191
2024-11-23 23:57:06,768 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.4188926280447931, accuracy: 0.928952380952381
2024-11-23 23:57:08,499 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.33211104860811524, accuracy: 0.9512380952380952
2024-11-23 23:57:09,813 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.4456095548290195, accuracy: 0.9220952380952381
2024-11-23 23:57:09,929 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.4326047227238164, accuracy: 0.9188571428571428
