iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.865894901752472,0.7860952380952381,"[1.4393382812991287, 0.865894901752472]","[0.659047619047619, 0.7860952380952381]"
0,6,0.8058990467678416,0.8081904761904762,"[1.403082372564258, 0.8058990467678416]","[0.6807619047619048, 0.8081904761904762]"
0,4,0.750887400634361,0.8584761904761905,"[1.3306230508919918, 0.750887400634361]","[0.7243809523809523, 0.8584761904761905]"
0,3,0.8496129303267508,0.8213333333333334,"[1.3309578389832468, 0.8496129303267508]","[0.703047619047619, 0.8213333333333334]"
0,2,0.8199152193286202,0.8352380952380952,"[1.396757427851359, 0.8199152193286202]","[0.6958095238095238, 0.8352380952380952]"
0,0,0.8929138602632465,0.8272380952380952,"[1.4489457628943703, 0.8929138602632465]","[0.6739047619047619, 0.8272380952380952]"
0,1,0.7498747502312516,0.8415238095238096,"[1.2284858584403993, 0.7498747502312516]","[0.7257142857142858, 0.8415238095238096]"
0,5,0.6417259978525567,0.8864761904761905,"[1.1937510212262472, 0.6417259978525567]","[0.7643809523809524, 0.8864761904761905]"
1,0,0.6651125819394083,0.8790476190476191,"[0.9098844401764147, 0.6651125819394083]","[0.8449523809523809, 0.8790476190476191]"
1,4,0.5404166154789202,0.9072380952380953,"[0.8505862880836833, 0.5404166154789202]","[0.8660952380952381, 0.9072380952380953]"
1,6,0.5709182863885706,0.8819047619047619,"[0.8789750048608491, 0.5709182863885706]","[0.8489523809523809, 0.8819047619047619]"
1,7,0.6113736470540364,0.8779047619047619,"[0.9077482017603787, 0.6113736470540364]","[0.839047619047619, 0.8779047619047619]"
1,3,0.7620910388050657,0.8403809523809523,"[0.824430155212229, 0.7620910388050657]","[0.8649523809523809, 0.8403809523809523]"
1,5,0.4598677914250981,0.9257142857142857,"[0.7400330436952186, 0.4598677914250981]","[0.8961904761904762, 0.9257142857142857]"
1,1,0.5417367097103234,0.9020952380952381,"[0.7653903094204989, 0.5417367097103234]","[0.8779047619047619, 0.9020952380952381]"
1,2,0.5711705588933194,0.8961904761904762,"[0.8841966932470148, 0.5711705588933194]","[0.8478095238095238, 0.8961904761904762]"
2,3,0.4188926280447931,0.928952380952381,"[0.5588350792725881, 0.4188926280447931]","[0.9125714285714286, 0.928952380952381]"
2,5,0.33211104860811524,0.9512380952380952,"[0.4951642618034825, 0.33211104860811524]","[0.9333333333333333, 0.9512380952380952]"
2,7,0.4456095548290195,0.9220952380952381,"[0.6152506680199594, 0.4456095548290195]","[0.8979047619047619, 0.9220952380952381]"
2,2,0.42184033755100137,0.9278095238095239,"[0.6012658270922574, 0.42184033755100137]","[0.8982857142857142, 0.9278095238095239]"
2,1,0.4130642073624062,0.9293333333333333,"[0.5222835683461392, 0.4130642073624062]","[0.923047619047619, 0.9293333333333333]"
2,4,0.42215685699925276,0.9268571428571428,"[0.5857767955823379, 0.42215685699925276]","[0.9070476190476191, 0.9268571428571428]"
2,6,0.4326047227238164,0.9188571428571428,"[0.6210634329102256, 0.4326047227238164]","[0.8956190476190476, 0.9188571428571428]"
2,0,0.469129291267106,0.924,"[0.6062440557913347, 0.469129291267106]","[0.9070476190476191, 0.924]"
