2025-02-27 20:02:56,357 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.718306653863711, accuracy: 0.3354918784739086
2025-02-27 20:02:57,202 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.4606521826452794, accuracy: 0.5022394905833468
2025-02-27 20:02:57,518 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.3827476113700372, accuracy: 0.5131401435432519
2025-02-27 20:02:57,721 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.5971656891166186, accuracy: 0.37083805515082835
2025-02-27 20:02:57,935 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.4897459477983332, accuracy: 0.49695105498893744
2025-02-27 20:04:04,815 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.5388296527323586, accuracy: 0.40078786897630997
2025-02-27 20:04:05,000 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.2766603991016423, accuracy: 0.5670498084291188
2025-02-27 20:04:05,039 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.3353600173905762, accuracy: 0.533538395121688
2025-02-27 20:04:06,971 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.2041368928831955, accuracy: 0.5794074793589121
2025-02-27 20:04:07,436 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.4154290482337564, accuracy: 0.43462306405482704
2025-02-27 20:05:11,543 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.2142909617131903, accuracy: 0.5812962063569155
2025-02-27 20:05:13,096 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.4644136854139662, accuracy: 0.430791646430306
2025-02-27 20:05:13,473 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.2738594441860271, accuracy: 0.5499433381900599
2025-02-27 20:05:15,804 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.3459362174232423, accuracy: 0.4639792779666505
2025-02-27 20:05:16,251 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.1453748699197284, accuracy: 0.6009929307646646
2025-02-27 20:20:51,852 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.4433508944264561, accuracy: 0.42366844746640764
2025-02-27 20:20:51,961 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.2224363623712473, accuracy: 0.5662943176299174
2025-02-27 20:20:52,224 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.346641057184588, accuracy: 0.5310560682100265
2025-02-27 20:20:52,673 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.5630955883302597, accuracy: 0.38324968970913603
2025-02-27 20:20:53,541 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.319488257401148, accuracy: 0.5513463925314338
2025-02-27 20:22:02,152 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.2780469383424062, accuracy: 0.5467594841077114
2025-02-27 20:22:02,425 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.1450381599900226, accuracy: 0.6018563488208947
2025-02-27 20:22:02,734 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.2390416628127472, accuracy: 0.5708272624251255
2025-02-27 20:22:02,950 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.3555613600354035, accuracy: 0.455560951918407
2025-02-27 20:22:03,721 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.472450250536332, accuracy: 0.4286331012897307
2025-02-27 20:23:12,083 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.2370505040066317, accuracy: 0.5582537369812747
2025-02-27 20:23:12,752 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.3002956104340277, accuracy: 0.48135556634828125
2025-02-27 20:23:12,909 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.0995693984887434, accuracy: 0.6184231827748098
2025-02-27 20:23:13,497 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.415167711334459, accuracy: 0.4502185526954832
2025-02-27 20:23:14,000 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.1866589760965474, accuracy: 0.5890669688629864
