2025-02-24 10:00:31,317 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.165212225696268, accuracy: 0.20285714285714285
2025-02-24 10:00:31,689 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 2.193254002969559, accuracy: 0.18214285714285713
2025-02-24 10:00:31,794 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 2.1543383130199834, accuracy: 0.20057142857142857
2025-02-24 10:00:32,733 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.1359646856512655, accuracy: 0.21042857142857144
2025-02-24 10:00:32,777 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.151516781822187, accuracy: 0.2032857142857143
2025-02-24 10:00:52,892 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.933434962954151, accuracy: 0.284
2025-02-24 10:00:52,900 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.873739097216358, accuracy: 0.31185714285714283
2025-02-24 10:00:54,760 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.8792566923790326, accuracy: 0.31614285714285717
2025-02-24 10:00:54,819 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.867424876722571, accuracy: 0.31557142857142856
2025-02-24 10:00:55,200 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.8804279843421832, accuracy: 0.30657142857142855
2025-02-24 10:01:13,821 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.7627569368985145, accuracy: 0.35014285714285714
2025-02-24 10:01:14,911 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.7063770876627535, accuracy: 0.3762857142857143
2025-02-24 10:01:15,194 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.7276153060943569, accuracy: 0.371
2025-02-24 10:01:16,452 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.7089551061255748, accuracy: 0.387
2025-02-24 10:01:16,764 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.7071198317558254, accuracy: 0.38057142857142856
2025-02-24 10:06:41,544 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.8186234461662432, accuracy: 0.33614285714285713
2025-02-24 10:06:42,445 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.822518950183642, accuracy: 0.341
2025-02-24 10:06:42,915 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.8574148988070553, accuracy: 0.3097142857142857
2025-02-24 10:06:42,916 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.837158940426291, accuracy: 0.32857142857142857
2025-02-24 10:06:43,032 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.8235508276991648, accuracy: 0.3335714285714286
2025-02-24 10:07:02,400 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.6479535690725666, accuracy: 0.4002857142857143
2025-02-24 10:07:03,561 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.6485722646049168, accuracy: 0.41014285714285714
2025-02-24 10:07:04,466 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.6727804059851659, accuracy: 0.3932857142857143
2025-02-24 10:07:04,950 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.6995956554804763, accuracy: 0.37514285714285717
2025-02-24 10:07:05,560 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.6402602814920417, accuracy: 0.40585714285714286
2025-02-24 10:07:25,210 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.5308902150691917, accuracy: 0.4471428571428571
2025-02-24 10:07:25,973 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.5480251555845617, accuracy: 0.443
2025-02-24 10:07:26,007 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.523095631844377, accuracy: 0.44971428571428573
2025-02-24 10:07:26,971 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.51280550515815, accuracy: 0.4514285714285714
2025-02-24 10:07:27,991 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.579405892521279, accuracy: 0.427
2025-02-24 10:12:53,420 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.5932524438318052, accuracy: 0.42014285714285715
2025-02-24 10:12:54,557 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.588954858039612, accuracy: 0.42557142857142854
2025-02-24 10:12:55,222 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.632056216807126, accuracy: 0.3962857142857143
2025-02-24 10:12:55,693 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.6026935901271697, accuracy: 0.42114285714285715
2025-02-24 10:12:55,924 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.6115817087426034, accuracy: 0.4157142857142857
2025-02-24 10:13:14,113 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.4766315048960246, accuracy: 0.468
2025-02-24 10:13:16,328 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.5115025223117986, accuracy: 0.44885714285714284
2025-02-24 10:13:16,875 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.4683436888810162, accuracy: 0.47414285714285714
2025-02-24 10:13:18,490 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.4729422215185208, accuracy: 0.4664285714285714
2025-02-24 10:13:19,434 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.4905937186114864, accuracy: 0.46714285714285714
2025-02-24 10:13:35,096 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.3612453334679886, accuracy: 0.5084285714285715
2025-02-24 10:13:36,760 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.4079965313547822, accuracy: 0.4855714285714286
2025-02-24 10:13:38,774 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.36139973004659, accuracy: 0.5157142857142857
2025-02-24 10:13:40,452 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.3829705641694265, accuracy: 0.5112857142857142
2025-02-24 10:13:40,603 - model_logger - INFO - [ITERATION 2 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.3673635161902806, accuracy: 0.51
2025-02-24 10:19:02,409 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.4636746489838377, accuracy: 0.47385714285714287
2025-02-24 10:19:03,059 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.474866267344723, accuracy: 0.4695714285714286
2025-02-24 10:19:03,541 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.4829495372293202, accuracy: 0.4707142857142857
2025-02-24 10:19:03,933 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.4651240245120165, accuracy: 0.47185714285714286
2025-02-24 10:19:04,112 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.5157074773148314, accuracy: 0.44557142857142856
2025-02-24 10:19:24,800 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.357651916540921, accuracy: 0.5122857142857142
2025-02-24 10:19:25,982 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.3401435385011646, accuracy: 0.5202857142857142
