test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.1472714220642284,0.1948,0.1781546261613048,0.19349993173530833,0.1948,0.388,0.023,0.282,0.091,0.094,0.244,0.177,0.088,0.292,0.269,orchestrator,0
2.1058781663323662,0.2122,0.20292700351058462,0.21121179382210112,0.2122,0.274,0.06,0.248,0.128,0.225,0.175,0.2,0.116,0.376,0.32,orchestrator,1
2.086730923622277,0.2172,0.20695903554502304,0.21490723893436586,0.2172,0.226,0.071,0.264,0.144,0.203,0.18,0.226,0.105,0.447,0.306,orchestrator,2
2.0744644654024937,0.2236,0.21331828381644372,0.22184404965070229,0.22360000000000002,0.222,0.08,0.26,0.128,0.224,0.203,0.231,0.116,0.479,0.293,orchestrator,3
2.064452686127584,0.2279,0.21666515881234538,0.22829277764140055,0.2279,0.201,0.088,0.26,0.132,0.244,0.204,0.221,0.119,0.522,0.288,orchestrator,4
2.0574150837151106,0.2294,0.21849345867461611,0.2297194289112013,0.22939999999999997,0.195,0.101,0.264,0.154,0.23,0.208,0.207,0.109,0.534,0.292,orchestrator,5
2.0514407780519717,0.2325,0.2216141175623664,0.23196509336810242,0.23249999999999998,0.205,0.103,0.26,0.14,0.245,0.212,0.224,0.108,0.52,0.308,orchestrator,6
2.046674900753483,0.2329,0.22217721393677267,0.23159455217369537,0.23290000000000002,0.215,0.095,0.276,0.151,0.249,0.199,0.206,0.114,0.52,0.304,orchestrator,7
2.0422582185951765,0.2368,0.22544996534659223,0.23527410458924308,0.23680000000000004,0.204,0.106,0.272,0.145,0.254,0.204,0.229,0.112,0.533,0.309,orchestrator,8
2.0388410379932185,0.238,0.22695963510638495,0.23710263249050523,0.23800000000000004,0.213,0.115,0.276,0.129,0.269,0.209,0.233,0.117,0.533,0.286,orchestrator,9
2.034669213993534,0.2383,0.22833642750817934,0.23747626138782385,0.2383,0.214,0.123,0.268,0.143,0.252,0.206,0.234,0.118,0.531,0.294,orchestrator,10
2.0323267165262986,0.2403,0.2297489067297672,0.2394146191725715,0.24029999999999996,0.224,0.126,0.274,0.153,0.264,0.196,0.229,0.115,0.554,0.268,orchestrator,11
2.028535218755151,0.2409,0.2310058855843407,0.2409737759035874,0.24090000000000003,0.203,0.128,0.271,0.161,0.243,0.201,0.247,0.127,0.551,0.277,orchestrator,12
2.024814959544285,0.2426,0.23200810607626127,0.24232453377034457,0.2426,0.202,0.124,0.27,0.15,0.264,0.194,0.248,0.134,0.563,0.277,orchestrator,13
2.0212353042736173,0.245,0.23488816240277358,0.24415927500469606,0.24499999999999997,0.213,0.127,0.271,0.165,0.251,0.202,0.254,0.132,0.564,0.271,orchestrator,14
2.018482158897789,0.2496,0.2401538115592082,0.2479802519754381,0.2496,0.251,0.123,0.283,0.173,0.273,0.183,0.265,0.131,0.536,0.278,orchestrator,15
2.015381632337145,0.2489,0.23878420419473692,0.24734680223131456,0.24889999999999998,0.245,0.123,0.284,0.178,0.275,0.176,0.261,0.129,0.561,0.257,orchestrator,16
2.010469478406724,0.2523,0.24416698285496347,0.24954524275548612,0.2523,0.236,0.126,0.276,0.189,0.269,0.178,0.264,0.155,0.525,0.305,orchestrator,17
2.0085884727490178,0.2514,0.24135185109546248,0.24928265821602671,0.25139999999999996,0.243,0.13,0.287,0.174,0.27,0.166,0.281,0.135,0.561,0.267,orchestrator,18
2.0064015221443907,0.2519,0.24119199542506128,0.2506878483653217,0.2519,0.264,0.132,0.309,0.176,0.279,0.159,0.259,0.13,0.571,0.24,orchestrator,19
2.001754363630987,0.251,0.24174908383640842,0.24974724016219643,0.251,0.277,0.135,0.288,0.176,0.285,0.169,0.243,0.135,0.549,0.253,orchestrator,20
1.9978079841395093,0.2568,0.24752614317949145,0.2556852360510792,0.25680000000000003,0.275,0.145,0.292,0.192,0.291,0.161,0.256,0.13,0.557,0.269,orchestrator,21
1.9932079983365005,0.2577,0.24822907540442882,0.25598993460505276,0.2577,0.276,0.148,0.296,0.191,0.271,0.166,0.282,0.128,0.556,0.263,orchestrator,22
1.9868301699875266,0.2604,0.2514595726191793,0.2579008388149573,0.2604,0.267,0.143,0.299,0.188,0.273,0.167,0.27,0.146,0.555,0.296,orchestrator,23
1.9827034405082653,0.2611,0.2516786400529557,0.2606237654856602,0.2611,0.252,0.161,0.301,0.181,0.261,0.188,0.268,0.136,0.584,0.279,orchestrator,24
1.9760689887271565,0.2669,0.25802319897420756,0.2651238486795412,0.26689999999999997,0.26,0.17,0.297,0.187,0.26,0.183,0.307,0.14,0.573,0.292,orchestrator,25
1.967719831284444,0.2712,0.2628450534285046,0.26914963848561635,0.2712,0.254,0.172,0.303,0.189,0.274,0.191,0.298,0.151,0.568,0.312,orchestrator,26
1.9620082272086175,0.2767,0.2695246945411834,0.2752924875023498,0.2767,0.26,0.193,0.309,0.191,0.277,0.209,0.309,0.157,0.563,0.299,orchestrator,27
1.95309555986125,0.2779,0.26971447150536215,0.2757184969231781,0.2779,0.28,0.187,0.307,0.181,0.275,0.212,0.316,0.147,0.572,0.302,orchestrator,28
1.9435402337153247,0.2825,0.2751087395784454,0.2799272385857369,0.2825,0.282,0.191,0.313,0.181,0.283,0.208,0.318,0.156,0.554,0.339,orchestrator,29
1.9338654727692817,0.2861,0.2788930632268245,0.28288505839314854,0.28609999999999997,0.298,0.215,0.303,0.182,0.29,0.215,0.326,0.155,0.561,0.316,orchestrator,30
1.9236135801691918,0.2923,0.28669042656218485,0.29031491892802985,0.2923,0.294,0.246,0.31,0.193,0.28,0.223,0.331,0.162,0.541,0.343,orchestrator,31
