iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,2.1380802617556807,0.19931428571428572,"[2.282889082811881, 2.1754215662030205, 2.1380802617556807]","[0.1536, 0.19085714285714286, 0.19931428571428572]"
0,6,2.1446802978930264,0.19725714285714285,"[2.277448146239571, 2.180547344511834, 2.1446802978930264]","[0.15017142857142857, 0.18377142857142856, 0.19725714285714285]"
0,4,2.148981263672096,0.20274285714285714,"[2.295017819473709, 2.1867316874904907, 2.148981263672096]","[0.13234285714285715, 0.18422857142857144, 0.20274285714285714]"
0,3,2.137555391892143,0.20685714285714285,"[2.2834812005360923, 2.1756680426390274, 2.137555391892143]","[0.15245714285714285, 0.19908571428571428, 0.20685714285714285]"
0,2,2.157478688419729,0.1952,"[2.30261238416036, 2.1953438606815063, 2.157478688419729]","[0.13645714285714286, 0.17394285714285715, 0.1952]"
0,0,2.1555295923481816,0.20045714285714286,"[2.2970939684605254, 2.1901393420454385, 2.1555295923481816]","[0.144, 0.18262857142857142, 0.20045714285714286]"
0,1,2.1438389169997065,0.21097142857142856,"[2.287287017573481, 2.1837920762490537, 2.1438389169997065]","[0.15657142857142858, 0.1974857142857143, 0.21097142857142856]"
0,5,2.1471721193064814,0.2064,"[2.284571333207946, 2.183756544970084, 2.1471721193064814]","[0.16274285714285713, 0.1961142857142857, 0.2064]"
1,0,2.119074227153391,0.20914285714285713,"[2.1531992822453594, 2.132940385652625, 2.119074227153391]","[0.19222857142857142, 0.2022857142857143, 0.20914285714285713]"
1,4,2.108779463215151,0.21828571428571428,"[2.1470065393309663, 2.124993832215019, 2.108779463215151]","[0.18948571428571429, 0.20662857142857144, 0.21828571428571428]"
1,6,2.1013196603111597,0.2224,"[2.1380788226058516, 2.1167778726937114, 2.1013196603111597]","[0.19977142857142857, 0.2153142857142857, 0.2224]"
1,7,2.096193977024244,0.216,"[2.1345663174338965, 2.1106978741244995, 2.096193977024244]","[0.19977142857142857, 0.20937142857142857, 0.216]"
1,3,2.098452517951744,0.2144,"[2.133139980012092, 2.11293751951577, 2.098452517951744]","[0.2057142857142857, 0.21142857142857144, 0.2144]"
1,5,2.1054074556931206,0.22514285714285714,"[2.142205936321314, 2.121313665224158, 2.1054074556931206]","[0.20457142857142857, 0.2150857142857143, 0.22514285714285714]"
1,1,2.099611268527266,0.22742857142857142,"[2.1410418455151543, 2.1172484625940737, 2.099611268527266]","[0.20891428571428572, 0.2201142857142857, 0.22742857142857142]"
1,2,2.1193512902743574,0.20914285714285713,"[2.1557359315346982, 2.134131984434266, 2.1193512902743574]","[0.18765714285714286, 0.2009142857142857, 0.20914285714285713]"
2,3,2.0800666895465576,0.22445714285714286,"[2.102133718089781, 2.089118933332139, 2.0800666895465576]","[0.21074285714285715, 0.21874285714285716, 0.22445714285714286]"
2,5,2.085778704587964,0.23062857142857143,"[2.111340780189072, 2.096646443657253, 2.085778704587964]","[0.21302857142857143, 0.2224, 0.23062857142857143]"
2,7,2.076272380524787,0.22148571428571429,"[2.1021797432415728, 2.087565943814706, 2.076272380524787]","[0.20914285714285713, 0.21485714285714286, 0.22148571428571429]"
2,2,2.0997938107753145,0.20868571428571428,"[2.1231029068214307, 2.110608593277309, 2.0997938107753145]","[0.20502857142857142, 0.21074285714285715, 0.20868571428571428]"
2,1,2.0814110230708467,0.23108571428571428,"[2.105084712954535, 2.0922607373500215, 2.0814110230708467]","[0.21828571428571428, 0.2256, 0.23108571428571428]"
2,4,2.0883957527685855,0.23154285714285713,"[2.1140448442403823, 2.0991656624752544, 2.0883957527685855]","[0.21485714285714286, 0.22582857142857143, 0.23154285714285713]"
2,6,2.0818213138027466,0.2294857142857143,"[2.106353872064231, 2.0922536487164707, 2.0818213138027466]","[0.21211428571428573, 0.22262857142857143, 0.2294857142857143]"
2,0,2.0976537500602612,0.21645714285714285,"[2.1223133508709893, 2.109243292739426, 2.0976537500602612]","[0.2032, 0.21302857142857143, 0.21645714285714285]"
3,2,2.088942766189575,0.22102857142857144,"[2.1083387084629224, 2.097122636394224, 2.088942766189575]","[0.20662857142857144, 0.2112, 0.22102857142857144]"
3,0,2.0850658675898677,0.22537142857142858,"[2.105853934218918, 2.0940409916034644, 2.0850658675898677]","[0.20822857142857143, 0.2153142857142857, 0.22537142857142858]"
3,3,2.0675682710564653,0.23017142857142858,"[2.087057680323504, 2.075813994891402, 2.0675682710564653]","[0.21691428571428573, 0.22674285714285713, 0.23017142857142858]"
3,4,2.0751625264900317,0.23131428571428572,"[2.0957899128181348, 2.0843563909116, 2.0751625264900317]","[0.22377142857142857, 0.23017142857142858, 0.23131428571428572]"
3,7,2.063126208125681,0.22925714285714285,"[2.0858502698981245, 2.073344223741172, 2.063126208125681]","[0.21485714285714286, 0.22125714285714285, 0.22925714285714285]"
3,1,2.0666146554808686,0.24091428571428572,"[2.0863664962243345, 2.0756679790607397, 2.0666146554808686]","[0.2294857142857143, 0.23405714285714285, 0.24091428571428572]"
3,5,2.073247221932895,0.2377142857142857,"[2.094501623208972, 2.0829122031944385, 2.073247221932895]","[0.22102857142857144, 0.22171428571428572, 0.2377142857142857]"
3,6,2.0695857604344687,0.2384,"[2.0899819152942603, 2.078431122544883, 2.0695857604344687]","[0.22354285714285715, 0.23131428571428572, 0.2384]"
4,3,2.058741351832514,0.23725714285714286,"[2.0758125056391177, 2.066292304923569, 2.058741351832514]","[0.22354285714285715, 0.2294857142857143, 0.23725714285714286]"
4,6,2.0588913119357564,0.2368,"[2.0780238120452217, 2.0673210689986963, 2.0588913119357564]","[0.2304, 0.2352, 0.2368]"
4,0,2.074763513993526,0.2345142857142857,"[2.093235784682675, 2.0837505641190903, 2.074763513993526]","[0.21622857142857144, 0.22697142857142857, 0.2345142857142857]"
4,5,2.0639924001002656,0.2416,"[2.082207123438517, 2.070661653643069, 2.0639924001002656]","[0.224, 0.2368, 0.2416]"
4,4,2.0636641288149185,0.2336,"[2.082598909087803, 2.071848480597786, 2.0636641288149185]","[0.22697142857142857, 0.22857142857142856, 0.2336]"
4,1,2.0553274914838267,0.24662857142857142,"[2.0730782799098804, 2.0643172350482666, 2.0553274914838267]","[0.2345142857142857, 0.2352, 0.24662857142857142]"
4,2,2.0788222810496455,0.22308571428571428,"[2.0974161694015283, 2.0874874850978022, 2.0788222810496455]","[0.20388571428571428, 0.21691428571428573, 0.22308571428571428]"
4,7,2.053098476451376,0.2342857142857143,"[2.0733191483262656, 2.061649355335512, 2.053098476451376]","[0.22285714285714286, 0.22674285714285713, 0.2342857142857143]"
5,2,2.0723792763723843,0.22262857142857143,"[2.0888686940289927, 2.0799214684444927, 2.0723792763723843]","[0.20754285714285714, 0.21417142857142857, 0.22262857142857143]"
5,6,2.050545879032301,0.24091428571428572,"[2.0686387877533403, 2.058375574540401, 2.050545879032301]","[0.23657142857142857, 0.23565714285714287, 0.24091428571428572]"
5,0,2.0658807668133057,0.2416,"[2.0832607037779214, 2.074619146360867, 2.0658807668133057]","[0.2272, 0.23177142857142857, 0.2416]"
5,7,2.045325728430264,0.23634285714285713,"[2.062510848045349, 2.0537079209866733, 2.045325728430264]","[0.23062857142857143, 0.2294857142857143, 0.23634285714285713]"
5,5,2.0549496032189634,0.2473142857142857,"[2.0728038670360176, 2.0626064849936445, 2.0549496032189634]","[0.2329142857142857, 0.23817142857142856, 0.2473142857142857]"
5,4,2.0546602062557056,0.24022857142857143,"[2.0729093378868657, 2.063239629717841, 2.0546602062557056]","[0.23177142857142857, 0.2368, 0.24022857142857143]"
5,3,2.0524391074111494,0.24,"[2.0678223768870034, 2.0587192825649097, 2.0524391074111494]","[0.22857142857142856, 0.23337142857142856, 0.24]"
5,1,2.04762403688569,0.24777142857142856,"[2.0630935275036357, 2.0553459240042646, 2.04762403688569]","[0.24, 0.24342857142857144, 0.24777142857142856]"
6,7,2.0387621064116987,0.23657142857142857,"[2.055368983227274, 2.04552021579466, 2.0387621064116987]","[0.2329142857142857, 0.23131428571428572, 0.23657142857142857]"
