2024-11-18 13:22:22,679 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 2.1128715536811136, accuracy: 0.2613333333333333
2024-11-18 13:22:24,272 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 2.1044945709633103, accuracy: 0.27676190476190476
2024-11-18 13:22:24,401 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.0983408508878765, accuracy: 0.2662857142857143
2024-11-18 13:22:24,436 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.113119455539819, accuracy: 0.2582857142857143
2024-11-18 13:22:24,471 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 2.111904026522781, accuracy: 0.2702857142857143
2024-11-18 13:22:24,552 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.1166689836617674, accuracy: 0.2775238095238095
2024-11-18 13:22:24,889 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.1152435483354513, accuracy: 0.2885714285714286
2024-11-18 13:22:25,269 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 2.1079391623988295, accuracy: 0.2744761904761905
2024-11-18 13:22:29,000 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.863846982609142, accuracy: 0.4462857142857143
2024-11-18 13:22:30,455 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.8320443391799928, accuracy: 0.45504761904761903
2024-11-18 13:22:30,591 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.85240992343787, accuracy: 0.4144761904761905
2024-11-18 13:22:30,681 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.8951074932560776, accuracy: 0.4184761904761905
2024-11-18 13:22:30,704 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.9364697261290116, accuracy: 0.43123809523809525
2024-11-18 13:22:30,742 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.8353238568161474, accuracy: 0.47104761904761905
2024-11-18 13:22:31,060 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.834129473657319, accuracy: 0.4401904761904762
2024-11-18 13:22:31,516 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.9252919673919677, accuracy: 0.4104761904761905
2024-11-18 14:11:14,681 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.638195393302224, accuracy: 0.5352380952380953
2024-11-18 14:11:14,788 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.6540013710657755, accuracy: 0.5276190476190477
2024-11-18 14:11:14,863 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.6675682739778, accuracy: 0.5211428571428571
2024-11-18 14:11:14,922 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.6639004028204716, accuracy: 0.5051428571428571
2024-11-18 14:11:15,025 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.6651771523735739, accuracy: 0.5388571428571428
2024-11-18 14:11:15,103 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.669821973280473, accuracy: 0.5142857142857142
2024-11-18 14:11:15,139 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.651251397710858, accuracy: 0.5276190476190477
2024-11-18 14:11:15,139 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.6333684408303464, accuracy: 0.5422857142857143
2024-11-18 14:11:20,488 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.3336498545877862, accuracy: 0.6304761904761905
2024-11-18 14:11:20,702 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.3451623569835316, accuracy: 0.6201904761904762
2024-11-18 14:11:21,003 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.2948764847986627, accuracy: 0.6487619047619048
2024-11-18 14:11:21,141 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.36991943879561, accuracy: 0.6064761904761905
2024-11-18 14:11:21,179 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.3538400585001165, accuracy: 0.6331428571428571
2024-11-18 14:11:21,267 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.3062937284960892, accuracy: 0.6451428571428571
2024-11-18 14:11:21,277 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.3389173153674965, accuracy: 0.6247619047619047
2024-11-18 14:11:21,462 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.3788336757457618, accuracy: 0.6131428571428571
2024-11-18 15:00:40,348 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.0886124860156665, accuracy: 0.6956190476190476
2024-11-18 15:00:40,893 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.0955187212337147, accuracy: 0.6996190476190476
2024-11-18 15:00:40,939 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.080148088570797, accuracy: 0.7041904761904761
2024-11-18 15:00:41,665 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.0970625646186598, accuracy: 0.7013333333333334
2024-11-18 15:00:41,866 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.106486369263042, accuracy: 0.6948571428571428
2024-11-18 15:00:41,866 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.0833843704425927, accuracy: 0.6948571428571428
2024-11-18 15:00:42,121 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.0620633519057072, accuracy: 0.7116190476190476
2024-11-18 15:00:42,190 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.0953381856282551, accuracy: 0.6996190476190476
2024-11-18 15:00:46,244 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.9457614822821183, accuracy: 0.7335238095238096
2024-11-18 15:00:46,769 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.9253752704822655, accuracy: 0.7443809523809524
2024-11-18 15:00:47,035 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.9159489093404828, accuracy: 0.7453333333333333
2024-11-18 15:00:47,600 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.9466958905711319, accuracy: 0.7302857142857143
2024-11-18 15:00:47,728 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.9294551751830361, accuracy: 0.7377142857142858
2024-11-18 15:00:47,952 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.9120306148673549, accuracy: 0.7445714285714286
2024-11-18 15:00:48,020 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.9337322953975562, accuracy: 0.7396190476190476
2024-11-18 15:00:48,038 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.9063910141135707, accuracy: 0.7518095238095238
2024-11-18 15:48:19,602 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.8115327836889209, accuracy: 0.7655238095238095
2024-11-18 15:48:21,103 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.8431325406739206, accuracy: 0.7575238095238095
2024-11-18 15:48:21,177 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.8358429543899767, accuracy: 0.7546666666666667
2024-11-18 15:48:21,182 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.8251928679870837, accuracy: 0.7573333333333333
2024-11-18 15:48:21,693 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.833913812492833, accuracy: 0.7632380952380953
2024-11-18 15:48:21,822 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.8204592217098583, accuracy: 0.7630476190476191
2024-11-18 15:48:21,850 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.8590141547448708, accuracy: 0.7491428571428571
2024-11-18 15:48:21,854 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.8338600527156483, accuracy: 0.7483809523809524
2024-11-18 15:48:25,365 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.748810008800391, accuracy: 0.780952380952381
2024-11-18 15:48:26,994 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.7502440618746209, accuracy: 0.7748571428571429
2024-11-18 15:48:27,138 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.7925151741865909, accuracy: 0.772
2024-11-18 15:48:27,199 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.7733215052070039, accuracy: 0.7636190476190476
2024-11-18 15:48:27,549 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.7515780196045384, accuracy: 0.7860952380952381
2024-11-18 15:48:27,599 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.742025616494092, accuracy: 0.7765714285714286
2024-11-18 15:48:27,599 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.7597029628175678, accuracy: 0.7687619047619048
2024-11-18 15:48:27,637 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.7838107165062066, accuracy: 0.7668571428571429
2024-11-18 16:27:33,290 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.7154661359209002, accuracy: 0.7763809523809524
2024-11-18 16:27:34,103 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.7020740380792907, accuracy: 0.7826666666666666
2024-11-18 16:27:34,134 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.7193994444428068, accuracy: 0.7721904761904762
2024-11-18 16:27:34,375 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.7433880186442173, accuracy: 0.7685714285714286
2024-11-18 16:27:34,390 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.7088836054007213, accuracy: 0.7824761904761904
2024-11-18 16:27:34,645 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.697833797787175, accuracy: 0.7866666666666666
2024-11-18 16:27:34,777 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.7271437505880992, accuracy: 0.7779047619047619
2024-11-18 16:27:35,002 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.7133608243682168, accuracy: 0.7902857142857143
2024-11-18 16:27:40,289 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.6674835501295148, accuracy: 0.7904761904761904
2024-11-18 16:27:40,888 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.6774678109270154, accuracy: 0.780952380952381
2024-11-18 16:27:40,958 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.6528023273655863, accuracy: 0.7925714285714286
2024-11-18 16:27:41,303 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.664102087056998, accuracy: 0.7948571428571428
2024-11-18 16:27:41,350 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.6943401938134973, accuracy: 0.780952380952381
2024-11-18 16:27:41,446 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.6798726676088391, accuracy: 0.796
2024-11-18 16:27:41,455 - model_logger - INFO - [ITERATION 4 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.6774983790787783, accuracy: 0.7937142857142857
