2024-11-12 15:12:36,075 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.41399755315347153, accuracy: 0.9285714285714286
2024-11-12 15:13:43,074 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.4958335305705215, accuracy: 0.6847619047619048
2024-11-12 15:13:43,690 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.537402874773199, accuracy: 0.6714285714285714
2024-11-12 15:13:43,996 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.5333286079493436, accuracy: 0.6777142857142857
2024-11-12 15:13:44,155 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.5139161619273098, accuracy: 0.680952380952381
2024-11-12 15:13:44,526 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.5374111247785163, accuracy: 0.6897142857142857
2024-11-12 15:13:44,527 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.5257135730801206, accuracy: 0.6643809523809524
2024-11-12 15:13:44,564 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.5324339447599469, accuracy: 0.6998095238095238
2024-11-12 15:13:45,046 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.5337926756251943, accuracy: 0.6918095238095238
2024-11-12 15:13:49,196 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.9328343684023077, accuracy: 0.8575238095238096
2024-11-12 15:13:49,783 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.9739742528308521, accuracy: 0.8476190476190476
2024-11-12 15:13:50,153 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.9590168147376089, accuracy: 0.8459047619047619
2024-11-12 15:13:50,214 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.9601688179102811, accuracy: 0.8447619047619047
2024-11-12 15:13:50,539 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.9464268185875633, accuracy: 0.8700952380952381
2024-11-12 15:13:50,563 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.9542149402878501, accuracy: 0.8582857142857143
2024-11-12 15:13:50,603 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.9778855276830268, accuracy: 0.8481904761904762
2024-11-12 15:13:50,872 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.9648365931077437, accuracy: 0.8563809523809524
2024-11-12 15:34:10,532 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.7816357327230049, accuracy: 0.88
2024-11-12 15:34:10,653 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.7876627383810101, accuracy: 0.8876190476190476
2024-11-12 15:34:10,800 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.7950624722422975, accuracy: 0.8777142857142857
2024-11-12 15:34:10,838 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.796073393388228, accuracy: 0.8838095238095238
2024-11-12 15:34:10,839 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.796021756439498, accuracy: 0.8784761904761905
2024-11-12 15:34:10,874 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.7974516677133965, accuracy: 0.8754285714285714
2024-11-12 15:34:10,988 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.7784039947119626, accuracy: 0.8815238095238095
2024-11-12 15:34:10,989 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.7907895675211242, accuracy: 0.8744761904761905
2024-11-12 15:34:16,296 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.5746927906166424, accuracy: 0.9121904761904762
2024-11-12 15:34:16,526 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.5806505409154025, accuracy: 0.9139047619047619
