2025-02-23 20:05:23,857 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.779461297626841, accuracy: 0.3536776212832551
2025-02-23 20:05:25,487 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.7778927706972703, accuracy: 0.35015109000647526
2025-02-23 20:05:30,512 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.7811752354101027, accuracy: 0.35819123677962444
2025-02-23 20:05:30,639 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.7753441974559254, accuracy: 0.356915438994118
2025-02-23 20:05:32,186 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.7857656153859096, accuracy: 0.35151907614267985
2025-02-23 20:06:41,675 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.7308624603297815, accuracy: 0.36241972910258485
2025-02-23 20:06:42,349 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.7245299136258077, accuracy: 0.3634254262896611
2025-02-23 20:06:49,125 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.7304888768274276, accuracy: 0.36758040146773147
2025-02-23 20:06:49,365 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.7314681151079865, accuracy: 0.36511791052830395
2025-02-23 20:06:51,606 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.738586630257581, accuracy: 0.3627435108736711
2025-02-23 20:07:59,968 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.6705922745136066, accuracy: 0.38227834439587716
2025-02-23 20:08:02,953 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.6571033777503539, accuracy: 0.38295920569825165
2025-02-23 20:08:05,180 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.6782564138728446, accuracy: 0.38130699908261834
2025-02-23 20:08:09,777 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.6719465542703584, accuracy: 0.3815768172251902
2025-02-23 20:08:10,171 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.6628209648716543, accuracy: 0.3865206129937406
2025-02-23 20:52:16,274 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.6491410793982466, accuracy: 0.39105331318799913
2025-02-23 20:52:18,143 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.6479691999343267, accuracy: 0.3870062594431254
2025-02-23 20:52:18,373 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.6529024482493364, accuracy: 0.3863256165344558
2025-02-23 20:52:21,946 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.6526535402813074, accuracy: 0.38859208893205976
2025-02-23 20:52:22,357 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.6466715100307316, accuracy: 0.3897253251308618
2025-02-23 20:54:12,919 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.576912165613808, accuracy: 0.4145801856248651
2025-02-23 20:54:12,975 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.5738788470304454, accuracy: 0.41263759982732573
2025-02-23 20:54:14,204 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.5776295145592678, accuracy: 0.4160595758458799
2025-02-23 20:54:18,746 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.567300333402813, accuracy: 0.4215099023258324
2025-02-23 20:54:19,652 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.5833106762998777, accuracy: 0.4133613944201608
