2024-10-17 12:16:52,180 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.0401840035257668, accuracy: 0.6018389523544163
2024-10-17 12:16:52,551 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.9240255890221432, accuracy: 0.6625801058790749
2024-10-17 12:16:52,724 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.9973702482108412, accuracy: 0.5842853162440791
2024-10-17 12:16:52,907 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.9391079421701103, accuracy: 0.6199498467539705
2024-10-17 12:16:53,668 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.9895648791872221, accuracy: 0.6391752577319587
2024-10-17 12:16:53,859 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.9331997355510449, accuracy: 0.614934522151017
2024-10-17 12:16:53,897 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.9595826967009182, accuracy: 0.555586514349401
2024-10-17 12:16:53,916 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.9579444877032576, accuracy: 0.6288659793814433
2024-10-17 12:17:04,406 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.6298294229240253, accuracy: 0.7330732794650321
2024-10-17 12:17:04,927 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.5895101872497591, accuracy: 0.7606575647812761
2024-10-17 12:17:05,049 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.6366716900776173, accuracy: 0.7375313457787684
2024-10-17 12:17:05,236 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.7573034855826147, accuracy: 0.6595151852883812
2024-10-17 12:17:06,003 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.6412284882931873, accuracy: 0.7495123989969351
2024-10-17 12:17:06,183 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.6675864869150622, accuracy: 0.7105043187517415
2024-10-17 12:17:06,233 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.7018664653958946, accuracy: 0.6461409863471719
2024-10-17 12:17:06,424 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.6575063621175701, accuracy: 0.6982446363889663
2024-10-17 12:17:16,776 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 7] Training on 7 results: loss: 0.4939094241708517, accuracy: 0.7876845918083032
2024-10-17 12:17:17,353 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 6] Training on 6 results: loss: 0.4296603111614441, accuracy: 0.8266926720534968
2024-10-17 12:17:17,436 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 0.8101995751775545, accuracy: 0.6294232376706603
2024-10-17 12:17:17,608 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 0.5847545440854698, accuracy: 0.7497910281415436
2024-10-17 12:17:18,408 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 0.4862381809808571, accuracy: 0.8063527444970744
2024-10-17 12:17:18,675 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 0.5979612423428173, accuracy: 0.6826414042908888
2024-10-17 12:17:18,753 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 0.6739689748862694, accuracy: 0.7645583728057955
2024-10-17 12:17:18,995 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 5] Training on 5 results: loss: 0.5523646178430525, accuracy: 0.753691836166063
2024-10-17 12:17:29,116 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 7] Training on 7 results: loss: 0.4185573760548542, accuracy: 0.8264140429088883
2024-10-17 12:17:29,657 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 3] Training on 3 results: loss: 0.6611901958440912, accuracy: 0.706603510727222
2024-10-17 12:17:29,829 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 6] Training on 6 results: loss: 0.34462603730759744, accuracy: 0.865422123154082
2024-10-17 12:17:29,846 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 4] Training on 4 results: loss: 0.46265433189170113, accuracy: 0.7993870158818612
2024-10-17 12:17:30,256 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 0] Training on 0 results: loss: 0.4049981450340871, accuracy: 0.8389523544162719
2024-10-17 12:17:30,366 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 1] Training on 1 results: loss: 0.518689481348827, accuracy: 0.7832265254945667
2024-10-17 12:17:30,506 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 2] Training on 2 results: loss: 0.5640778372000004, accuracy: 0.7093898021733074
2024-10-17 12:17:30,707 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 5] Training on 5 results: loss: 0.46008664677883016, accuracy: 0.813039843967679
2024-10-17 12:18:40,900 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.9419126233150219, accuracy: 0.6857063248815826
2024-10-17 12:18:40,915 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.9973828956998628, accuracy: 0.6046252438005015
2024-10-17 12:18:40,932 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.8439178549010178, accuracy: 0.6976873780997492
2024-10-17 12:18:41,140 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.035716968363729, accuracy: 0.6447478406241293
2024-10-17 12:18:41,564 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.947146173181205, accuracy: 0.6581220395653385
2024-10-17 12:18:41,875 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.941396766695483, accuracy: 0.6556143772638618
2024-10-17 12:18:42,162 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.9353872044333096, accuracy: 0.6547784898300362
2024-10-17 12:18:42,585 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.9211168669421097, accuracy: 0.6057397603789356
2024-10-17 12:18:53,251 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.6133438019916929, accuracy: 0.7628865979381443
2024-10-17 12:18:53,402 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.5627732472173099, accuracy: 0.7762607968793536
2024-10-17 12:18:53,550 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.6376101066326273, accuracy: 0.7458902201170242
2024-10-17 12:18:53,582 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.694677372430933, accuracy: 0.684870437447757
2024-10-17 12:18:53,891 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.5781893976803484, accuracy: 0.743103928670939
2024-10-17 12:18:54,239 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.5831078244694348, accuracy: 0.7545277235998885
2024-10-17 12:18:54,708 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.6296678750679411, accuracy: 0.7355809417665088
2024-10-17 12:18:54,928 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.7183781214829149, accuracy: 0.6634159933129006
2024-10-17 12:19:05,642 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 0] Training on 0 results: loss: 0.5004948680770809, accuracy: 0.8027305656171636
2024-10-17 12:19:05,694 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 6] Training on 6 results: loss: 0.4274340668885872, accuracy: 0.8239063806074115
2024-10-17 12:19:05,822 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 4] Training on 4 results: loss: 0.5572890629028452, accuracy: 0.7528559487322374
2024-10-17 12:19:05,864 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 7] Training on 7 results: loss: 0.6005872603634308, accuracy: 0.7500696572861522
2024-10-17 12:19:06,286 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 3] Training on 3 results: loss: 0.5022403154008347, accuracy: 0.7815547506269156
2024-10-17 12:19:06,452 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 1] Training on 1 results: loss: 0.5011776274648206, accuracy: 0.7857341877960434
2024-10-17 12:19:07,135 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 5] Training on 5 results: loss: 0.5330412917096039, accuracy: 0.7790470883254388
2024-10-17 12:19:07,396 - model_logger - INFO - [ITERATION 1 | EPOCH 2 | NODE 2] Training on 2 results: loss: 0.6031373256239397, accuracy: 0.6904430203399275
2024-10-17 12:19:17,950 - model_logger - INFO - [ITERATION 1 | EPOCH 3 | NODE 0] Training on 0 results: loss: 0.429354426483142, accuracy: 0.8347729172471441
2024-10-17 12:19:18,066 - model_logger - INFO - [ITERATION 1 | EPOCH 3 | NODE 6] Training on 6 results: loss: 0.3564417356432512, accuracy: 0.8615213151295625
2024-10-17 12:19:18,223 - model_logger - INFO - [ITERATION 1 | EPOCH 3 | NODE 4] Training on 4 results: loss: 0.49514269212196615, accuracy: 0.7832265254945667
2024-10-17 12:19:18,260 - model_logger - INFO - [ITERATION 1 | EPOCH 3 | NODE 7] Training on 7 results: loss: 0.4820030341888296, accuracy: 0.7979938701588186
2024-10-17 12:19:18,398 - model_logger - INFO - [ITERATION 1 | EPOCH 3 | NODE 3] Training on 3 results: loss: 0.45063182771013216, accuracy: 0.8096962942323767
2024-10-17 12:19:18,474 - model_logger - INFO - [ITERATION 1 | EPOCH 3 | NODE 1] Training on 1 results: loss: 0.4622500055822833, accuracy: 0.796043466146559
2024-10-17 12:19:18,886 - model_logger - INFO - [ITERATION 1 | EPOCH 3 | NODE 5] Training on 5 results: loss: 0.44865151558970584, accuracy: 0.8183337977152411
