2024-10-17 12:16:36,993 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.19670703728436767, accuracy: 0.9629629629629629
2024-10-17 12:16:38,287 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.26284295551971915, accuracy: 0.9245283018867925
2024-10-17 12:16:39,916 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.01700447764768101, accuracy: 0.9948753785231773
2024-10-17 12:16:40,271 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.5047744100584703, accuracy: 0.8096901933379921
2024-10-17 12:16:40,317 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.45560322428012595, accuracy: 0.8332168646634055
2024-10-17 12:16:40,414 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.21673428023110747, accuracy: 0.9480549732122059
2024-10-17 12:16:40,809 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.20081662292153957, accuracy: 0.9580712788259959
2024-10-17 12:16:40,959 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.35894410876447663, accuracy: 0.9156766829722804
2024-10-17 12:16:41,000 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.3160330492126591, accuracy: 0.9000698812019566
2024-10-17 12:16:41,281 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.050239484414786977, accuracy: 0.9836943862101095
2024-10-17 12:16:43,294 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.25708375564392877, accuracy: 0.8940135103657116
2024-10-17 12:16:43,382 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.21040199286140063, accuracy: 0.9145119962730026
2024-10-17 12:16:43,461 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.01746785507095731, accuracy: 0.9944095038434662
2024-10-17 12:16:43,719 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.02668628259904354, accuracy: 0.9923130677847659
2024-10-17 12:16:43,914 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.15841884538531303, accuracy: 0.9678546470999301
2024-10-17 12:16:43,915 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.0790424962007605, accuracy: 0.9725133938970417
2024-10-17 12:17:12,951 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.20024185970096903, accuracy: 0.9382716049382716
2024-10-17 12:17:13,384 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.3977962023414233, accuracy: 0.8625669694852085
2024-10-17 12:17:13,642 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.24894558642443051, accuracy: 0.9426974143955276
2024-10-17 12:17:13,644 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.14710102499264074, accuracy: 0.9578383414861402
2024-10-17 12:17:13,675 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.08805674920029774, accuracy: 0.9720475192173306
2024-10-17 12:17:13,750 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.07609291672227247, accuracy: 0.9767062660144421
2024-10-17 12:17:13,769 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.08853243079262457, accuracy: 0.9776380153738644
2024-10-17 12:17:13,927 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.36069911619757905, accuracy: 0.8697880270207314
2024-10-17 12:17:15,913 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.06826382979873896, accuracy: 0.9790356394129979
2024-10-17 12:17:16,336 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.2335631652351688, accuracy: 0.9084556254367575
2024-10-17 12:17:16,589 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.03876804169404375, accuracy: 0.9888190076869322
2024-10-17 12:17:16,589 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.012141009165241164, accuracy: 0.9953412532028885
2024-10-17 12:17:16,628 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.1414554382482653, accuracy: 0.9699510831586303
