iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.01700447764768101,0.9948753785231773,"[0.19670703728436767, 0.01700447764768101]","[0.9629629629629629, 0.9948753785231773]"
0,6,0.050239484414786977,0.9836943862101095,"[0.26284295551971915, 0.050239484414786977]","[0.9245283018867925, 0.9836943862101095]"
0,4,0.25708375564392877,0.8940135103657116,"[0.5047744100584703, 0.25708375564392877]","[0.8096901933379921, 0.8940135103657116]"
0,3,0.01746785507095731,0.9944095038434662,"[0.21673428023110747, 0.01746785507095731]","[0.9480549732122059, 0.9944095038434662]"
0,2,0.21040199286140063,0.9145119962730026,"[0.45560322428012595, 0.21040199286140063]","[0.8332168646634055, 0.9145119962730026]"
0,0,0.0790424962007605,0.9725133938970417,"[0.3160330492126591, 0.0790424962007605]","[0.9000698812019566, 0.9725133938970417]"
0,1,0.15841884538531303,0.9678546470999301,"[0.35894410876447663, 0.15841884538531303]","[0.9156766829722804, 0.9678546470999301]"
0,5,0.02668628259904354,0.9923130677847659,"[0.20081662292153957, 0.02668628259904354]","[0.9580712788259959, 0.9923130677847659]"
1,0,0.06826382979873896,0.9790356394129979,"[0.20024185970096903, 0.06826382979873896]","[0.9382716049382716, 0.9790356394129979]"
1,4,0.2335631652351688,0.9084556254367575,"[0.3977962023414233, 0.2335631652351688]","[0.8625669694852085, 0.9084556254367575]"
1,6,0.03876804169404375,0.9888190076869322,"[0.14710102499264074, 0.03876804169404375]","[0.9578383414861402, 0.9888190076869322]"
1,7,0.012141009165241164,0.9953412532028885,"[0.08805674920029774, 0.012141009165241164]","[0.9720475192173306, 0.9953412532028885]"
1,3,0.012617173923953326,0.9962730025623108,"[0.07609291672227247, 0.012617173923953326]","[0.9767062660144421, 0.9962730025623108]"
1,5,0.02445762637174031,0.9941765665036105,"[0.08853243079262457, 0.02445762637174031]","[0.9776380153738644, 0.9941765665036105]"
1,1,0.1414554382482653,0.9699510831586303,"[0.24894558642443051, 0.1414554382482653]","[0.9426974143955276, 0.9699510831586303]"
1,2,0.20308669523664696,0.9170743070114139,"[0.36069911619757905, 0.20308669523664696]","[0.8697880270207314, 0.9170743070114139]"
2,3,0.009574767187372987,0.9967388772420219,"[0.052413242399137853, 0.009574767187372987]","[0.9836943862101095, 0.9967388772420219]"
2,5,0.03189647135984748,0.9967388772420219,"[0.05962458397527157, 0.03189647135984748]","[0.9853249475890985, 0.9967388772420219]"
2,7,0.009283137087443131,0.9974376892615886,"[0.06373539760748184, 0.009283137087443131]","[0.9825296995108316, 0.9974376892615886]"
2,2,0.17997949704637423,0.9266247379454927,"[0.3256027187659022, 0.17997949704637423]","[0.8870253901700442, 0.9266247379454927]"
2,1,0.13374482351355255,0.973445143256464,"[0.20055210074711152, 0.13374482351355255]","[0.9527137200093175, 0.973445143256464]"
2,4,0.2044618114390794,0.9168413696715584,"[0.3544072823270279, 0.2044618114390794]","[0.8819007686932215, 0.9168413696715584]"
2,6,0.026083850734935635,0.9920801304449103,"[0.10942634032963884, 0.026083850734935635]","[0.9662240857209411, 0.9920801304449103]"
2,0,0.05922541581779061,0.9820638248311204,"[0.1523178084205617, 0.05922541581779061]","[0.95574190542744, 0.9820638248311204]"
3,2,0.16988491121789112,0.9324481714418821,"[0.28055191256434603, 0.16988491121789112]","[0.9005357558816678, 0.9324481714418821]"
3,0,0.052039862021475154,0.9836943862101095,"[0.12690556564313524, 0.052039862021475154]","[0.9620312136035406, 0.9836943862101095]"
3,3,0.007582283227427123,0.9979035639412998,"[0.045011479541298124, 0.007582283227427123]","[0.9869555089680876, 0.9979035639412998]"
3,4,0.1968628640341408,0.9266247379454927,"[0.31422167008413987, 0.1968628640341408]","[0.8926158863265782, 0.9266247379454927]"
3,7,0.014944249988997505,0.9960400652224551,"[0.04834220666345894, 0.014944249988997505]","[0.9878872583275099, 0.9960400652224551]"
3,1,0.12043233899235287,0.973445143256464,"[0.18337361140669706, 0.12043233899235287]","[0.960167714884696, 0.973445143256464]"
